# schema bench results
# date: 2026-08-06T19:24:12Z
# host: macbook  arch: arm64  os: Darwin 25.5.0
# cpu: Apple M2
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -I../serialize-cs-port/serialize
# pinning: none
# noise: quiet: idle desktop, no pinning available on macOS
# schema commit: 960bdd0
# serialize commit: 19d332e
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct
cpp,rigidbody_moving,write,2000000,105,7,24428326,24123403,24849737,2446.15,2.97
cpp,rigidbody_moving,read,2000000,105,7,82155062,81238481,85098688,8226.66,4.70
cpp,rigidbody_at_rest,write,4000000,57,7,43610554,43063695,44434734,2370.65,3.14
cpp,rigidbody_at_rest,read,4000000,57,7,115690806,113161506,116892128,6288.89,3.22
cpp,chat,write,4000000,13,7,106621411,105969270,107194780,1321.87,1.15
cpp,chat,read,4000000,13,7,130885769,130456762,133555927,1622.69,2.37
cpp,test,write,16000000,6,7,762179981,742238379,772654483,4361.23,3.99
cpp,test,read,16000000,6,7,532229702,515976454,541109528,3045.44,4.72
cpp,inputpacket,write,2000000,61,7,39117094,38951522,39257574,2275.60,0.78
cpp,inputpacket,read,2000000,61,7,34769759,34118000,35108482,2022.70,2.85
cpp,shipcreate,write,4000000,28,7,69444946,68717059,69890817,1854.38,1.69
cpp,shipcreate,read,4000000,28,7,109052244,46859098,109672672,2912.01,57.60
cpp,ship_shallow,write,4000000,28,7,73269915,70976518,78290718,1956.52,9.98
cpp,ship_shallow,read,4000000,28,7,113733836,113374131,115751348,3037.02,2.09
cpp,probe_header,write,16000000,10,7,1039743074,922713142,1044875235,9915.76,11.75
cpp,probe_header,read,16000000,10,7,551919994,543121598,558722620,5263.52,2.83
cpp,probebits,write,4000000,26,7,82957648,82019174,83546115,2056.98,1.84
cpp,probebits,read,4000000,26,7,494646503,488435316,497868500,12265.02,1.91
cpp,probearray,write,2000000,47,7,45896121,45479654,46294064,2057.19,1.77
cpp,probearray,read,2000000,47,7,60337058,60036698,61085023,2704.47,1.74
cpp,testdata,write,1000000,92,7,16755120,16238731,16835442,1470.06,3.56
cpp,testdata,read,1000000,92,7,13698818,13532105,13929662,1201.91,2.90
cpp,message_batch,write,3276800,25,7,73622099,70141553,82788242,1755.29,17.18
cpp,message_batch,read,3276800,25,7,30299885,30141784,31558798,722.41,4.68

# schema bench results
# date: 2026-08-06T19:24:22Z
# host: macbook  arch: arm64  os: Darwin 25.5.0
# cpu: Apple M2
# build: Debug
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -O0 -g -DSERIALIZE_DEBUG -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -I../serialize-cs-port/serialize
# pinning: none
# noise: quiet: idle desktop, no pinning available on macOS
# schema commit: 960bdd0
# serialize commit: 19d332e
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct
cpp,rigidbody_moving,write,250000,105,7,3732762,3720160,3775432,373.78,1.48
cpp,rigidbody_moving,read,250000,105,7,3356200,3343475,3479725,336.08,4.06
cpp,rigidbody_at_rest,write,500000,57,7,6435158,6422209,6582498,349.81,2.49
cpp,rigidbody_at_rest,read,500000,57,7,5829102,5686422,5981499,316.87,5.06
cpp,chat,write,500000,13,7,6966574,6833604,7061278,86.37,3.27
cpp,chat,read,500000,13,7,5396559,4901246,5540476,66.91,11.85
cpp,test,write,2000000,6,7,18373452,17786421,18597162,105.13,4.41
cpp,test,read,2000000,6,7,19852816,19312662,19936262,113.60,3.14
cpp,inputpacket,write,250000,61,7,3595844,3580016,3604026,209.19,0.67
cpp,inputpacket,read,250000,61,7,2576050,2499467,2586405,149.86,3.37
cpp,shipcreate,write,500000,28,7,5208331,5194594,5222828,139.08,0.54
cpp,shipcreate,read,500000,28,7,4295949,4249003,4425453,114.71,4.11
cpp,ship_shallow,write,500000,28,7,5437509,5270432,5467287,145.20,3.62
cpp,ship_shallow,read,500000,28,7,4990364,4981541,5026235,133.26,0.90
cpp,probe_header,write,2000000,10,7,17651550,17621301,17687493,168.34,0.37
cpp,probe_header,read,2000000,10,7,16081302,15768995,16294346,153.36,3.27
cpp,probebits,write,500000,26,7,10641345,10617524,10725893,263.86,1.02
cpp,probebits,read,500000,26,7,11677184,11642788,11754231,289.54,0.95
cpp,probearray,write,250000,47,7,4009020,3995703,4020588,179.70,0.62
cpp,probearray,read,250000,47,7,3381209,3352633,3417329,151.55,1.91
cpp,testdata,write,125000,92,7,1657004,1645300,1660059,145.38,0.89
cpp,testdata,read,125000,92,7,1215503,1154406,1229028,106.65,6.14
cpp,message_batch,write,819200,25,7,10938351,10859135,10954392,260.79,0.87
cpp,message_batch,read,819200,25,7,2039552,2020115,2074948,48.63,2.69
