# schema bench results — const-emit pair (write-path generation-time bound folding)
# date: 2026-08-07T01:15:19Z
# host: macbook  arch: arm64  os: Darwin 25.5.0
# cpu: Apple M2
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti
# pinning: none (macOS)
# noise: quiet (idle dotnet build daemons at 0% only)
# schema commits: BEFORE = main b8b438c, AFTER = optimize-const-emit (this PR)
# serialize commit: 378892c (const-params merged)
# section BEFORE (main b8b438c)
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct
cpp,rigidbody_moving,write,2000000,105,7,23746060,23398746,23809311,2377.83,1.73
cpp,rigidbody_moving,read,2000000,105,7,90759890,89431440,92146437,9088.31,2.99
cpp,rigidbody_at_rest,write,4000000,57,7,45067841,44433357,46616221,2449.86,4.84
cpp,rigidbody_at_rest,read,4000000,57,7,120855353,119577443,123063670,6569.63,2.88
cpp,chat,write,4000000,13,7,109126747,108563635,110687320,1352.93,1.95
cpp,chat,read,4000000,13,7,139891728,134684102,140071349,1734.34,3.85
cpp,test,write,16000000,6,7,749187868,708872900,767344687,4286.89,7.80
cpp,test,read,16000000,6,7,579724156,572773566,585911573,3317.21,2.27
cpp,inputpacket,write,2000000,61,7,37636018,37547227,37660971,2189.44,0.30
cpp,inputpacket,read,2000000,61,7,47300940,47140025,47417523,2751.69,0.59
cpp,shipcreate,write,4000000,28,7,68062226,67609681,69458363,1817.46,2.72
cpp,shipcreate,read,4000000,28,7,113712819,110704426,113824047,3036.46,2.74
cpp,ship_shallow,write,4000000,28,7,74990450,73556568,76917345,2002.46,4.48
cpp,ship_shallow,read,4000000,28,7,121733021,119292890,122156211,3250.62,2.35
cpp,probe_header,write,16000000,10,7,1068480090,975577515,1105681832,10189.82,12.18
cpp,probe_header,read,16000000,10,7,622911470,621482916,638408245,5940.55,2.72
cpp,probebits,write,4000000,26,7,83117458,82926475,83630103,2060.94,0.85
cpp,probebits,read,4000000,26,7,497053897,495118440,499040906,12324.72,0.79
cpp,probearray,write,2000000,47,7,44892832,44166075,45875944,2012.22,3.81
cpp,probearray,read,2000000,47,7,77206043,74251913,77373803,3460.58,4.04
cpp,testdata,write,1000000,92,7,18294035,18277067,18359502,1605.08,0.45
cpp,testdata,read,1000000,92,7,26121311,26098019,26518223,2291.83,1.61
cpp,message_batch,write,3276800,25,7,82371412,82070634,83035004,1963.89,1.17
cpp,message_batch,read,3276800,25,7,68327225,66931465,70066188,1629.05,4.59
# section AFTER (optimize-const-emit)
cpp,rigidbody_moving,write,2000000,105,7,23911051,23638124,24186721,2394.35,2.29
cpp,rigidbody_moving,read,2000000,105,7,90371140,86779032,92080150,9049.39,5.87
cpp,rigidbody_at_rest,write,4000000,57,7,44183943,43595225,44536941,2401.81,2.13
cpp,rigidbody_at_rest,read,4000000,57,7,125442317,119289632,131715247,6818.97,9.91
cpp,chat,write,4000000,13,7,108465873,106829047,109106405,1344.73,2.10
cpp,chat,read,4000000,13,7,133522120,132452344,137566956,1655.38,3.83
cpp,test,write,16000000,6,7,749449623,723056257,762575065,4288.39,5.27
cpp,test,read,16000000,6,7,576151824,574379961,581610198,3296.77,1.25
cpp,inputpacket,write,2000000,61,7,39609255,39527417,39671881,2304.23,0.36
cpp,inputpacket,read,2000000,61,7,45927125,45849126,46181511,2671.77,0.72
cpp,shipcreate,write,4000000,28,7,70317874,69629246,71028560,1877.69,1.99
cpp,shipcreate,read,4000000,28,7,113766992,112764070,115100322,3037.91,2.05
cpp,ship_shallow,write,4000000,28,7,75681012,71625007,77802217,2020.90,8.16
cpp,ship_shallow,read,4000000,28,7,123378726,120149887,124456475,3294.57,3.49
cpp,probe_header,write,16000000,10,7,1074790290,996713959,1088083780,10250.00,8.50
cpp,probe_header,read,16000000,10,7,631022642,626110784,634687665,6017.90,1.36
cpp,probebits,write,4000000,26,7,95315351,90713319,98257062,2363.39,7.91
cpp,probebits,read,4000000,26,7,507128836,492686682,525146853,12574.53,6.40
cpp,probearray,write,2000000,47,7,47790201,46129096,48705747,2142.09,5.39
cpp,probearray,read,2000000,47,7,68888709,66401521,74516226,3087.78,11.78
cpp,testdata,write,1000000,92,7,20575814,20419537,20654187,1805.28,1.14
cpp,testdata,read,1000000,92,7,26637454,26363110,26694400,2337.12,1.24
cpp,message_batch,write,3276800,25,7,85890370,78319195,95176961,2047.79,19.63
cpp,message_batch,read,3276800,25,7,70548153,68137785,71564929,1682.00,4.86
