# schema bench results — const-emit triple (main vs template-forms vs generation-time fold)
# date: 2026-08-07T01:15:33Z
# host: spacegame  arch: x86_64  os: Linux (Ubuntu 24.04)
# cpu: AMD EPYC (game server pinned to isolated cores 1-15 at ~372% CPU throughout)
# build: Release
# cpp compiler: g++ (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Wno-class-memaccess -Wno-type-limits
# pinning: taskset -c 0 (the shared core — isolcpus 1-15 belong to the game server)
# noise: NOISY: game server owns isolated cores, bench on shared core 0; same-binary medians swing up to 23% across repetitions (test write, MAIN: 108M run1/2 -> 133M run3) — only repetition-stable deltas are meaningful
# schema commits: MAIN = b8b438c; V1-TEMPLATES = template-form emission (not shipped, see md); V2-FOLD = optimize-const-emit (this PR)
# serialize commit: 378892c (serialize.h shipped to the host; the host's own serialize checkout is older and was not used or touched)
# section MAIN run1
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct
cpp,rigidbody_moving,write,2000000,105,7,25684493,23411796,26657070,2571.94,12.64
cpp,rigidbody_moving,read,2000000,105,7,30012570,29994097,30041118,3005.33,0.16
cpp,rigidbody_at_rest,write,4000000,57,7,48671383,48447757,50386375,2645.75,3.98
cpp,rigidbody_at_rest,read,4000000,57,7,59882599,59822619,59976912,3255.18,0.26
cpp,chat,write,4000000,13,7,35903535,33626577,36800284,445.12,8.84
cpp,chat,read,4000000,13,7,64651875,64369827,67667173,801.54,5.10
cpp,test,write,16000000,6,7,108180495,101779320,112585079,619.01,9.99
cpp,test,read,16000000,6,7,223083002,214236137,224205534,1276.49,4.47
cpp,inputpacket,write,2000000,61,7,32031070,31843644,33531285,1863.38,5.27
cpp,inputpacket,read,2000000,61,7,38022878,31575185,38106077,2211.95,17.18
cpp,shipcreate,write,4000000,28,7,33169025,32414130,33228762,885.71,2.46
cpp,shipcreate,read,4000000,28,7,74578948,70723456,74694159,1991.47,5.32
cpp,ship_shallow,write,4000000,28,7,54259998,49213194,56481603,1448.90,13.40
cpp,ship_shallow,read,4000000,28,7,77869364,69557393,77939701,2079.34,10.76
