# schema bench results
# date: 2026-08-06T20:12:46Z
# host: macbook  arch: arm64  os: Darwin 25.5.0
# cpu: Apple M2
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -I../serialize-cs-port/serialize
# go: go version go1.26.5 darwin/arm64 (go run, default optimized build)
# rust: cargo 1.97.1 (c980f4866 2026-06-30); rustc 1.97.1 (8bab26f4f 2026-07-14) (cargo run --release: opt-level 3, no LTO)
# dotnet: 10.0.302 (dotnet run -c Release, workstation GC)
# pinning: none
# noise: quiet: idle desktop, no pinning available on macOS
# schema commit: d164c77
# serialize commit: 19d332e
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct
cpp,rigidbody_moving,write,2000000,105,7,24918444,23985824,25475151,2495.23,5.98
cpp,rigidbody_moving,read,2000000,105,7,84003023,83524019,85469629,8411.71,2.32
cpp,rigidbody_at_rest,write,4000000,57,7,44936878,44523804,45274519,2442.74,1.67
cpp,rigidbody_at_rest,read,4000000,57,7,116204331,114285851,118200833,6316.80,3.37
cpp,chat,write,4000000,13,7,107979822,106381329,110085179,1338.71,3.43
cpp,chat,read,4000000,13,7,130857402,127556442,133152468,1622.34,4.28
cpp,test,write,16000000,6,7,746717069,709316823,771702628,4272.75,8.35
cpp,test,read,16000000,6,7,540582399,533495604,541191891,3093.24,1.42
cpp,inputpacket,write,2000000,61,7,37684330,36809223,38679732,2192.25,4.96
cpp,inputpacket,read,2000000,61,7,35884497,34881389,36109502,2087.55,3.42
cpp,shipcreate,write,4000000,28,7,68010537,67030213,69145882,1816.08,3.11
cpp,shipcreate,read,4000000,28,7,110299187,109981887,110587868,2945.31,0.55
cpp,ship_shallow,write,4000000,28,7,77281806,75379194,79232762,2063.65,4.99
cpp,ship_shallow,read,4000000,28,7,119193656,118827029,121341891,3182.81,2.11
cpp,probe_header,write,16000000,10,7,1106143680,997526947,1106357231,10549.01,9.84
cpp,probe_header,read,16000000,10,7,591590176,589774780,593367267,5641.84,0.61
cpp,probebits,write,4000000,26,7,83338542,83017190,85445286,2066.42,2.91
cpp,probebits,read,4000000,26,7,499568060,498338911,519691432,12387.06,4.27
cpp,probearray,write,2000000,47,7,44981768,44162825,45618227,2016.20,3.24
cpp,probearray,read,2000000,47,7,64879681,64534172,65385386,2908.08,1.31
cpp,testdata,write,1000000,92,7,17108981,16935996,17588190,1501.11,3.81
cpp,testdata,read,1000000,92,7,13703589,13686178,13708888,1202.33,0.17
cpp,message_batch,write,3276800,25,7,85177137,84698553,85866646,2030.78,1.37
cpp,message_batch,read,3276800,25,7,31368695,31316930,31536348,747.89,0.70
go,rigidbody_moving,write,2000000,105,7,18102251,18082692,18121441,1812.68,0.21
go,rigidbody_moving,read,2000000,105,7,11273857,11217097,11360406,1128.92,1.27
go,rigidbody_at_rest,write,4000000,57,7,29744375,29681472,29774468,1616.89,0.31
go,rigidbody_at_rest,read,4000000,57,7,17643148,17555351,17723115,959.07,0.95
go,chat,write,4000000,13,7,31767883,31700735,31790522,393.85,0.28
go,chat,read,4000000,13,7,19797027,19149934,20236284,245.44,5.49
go,test,write,16000000,6,7,67842905,67606670,67980147,388.20,0.55
go,test,read,16000000,6,7,48685307,48572303,48780401,278.58,0.43
go,inputpacket,write,2000000,61,7,13094433,13048187,13100472,761.76,0.40
