# schema bench results
# date: 2026-08-06T22:39:40Z
# host: macbook  arch: arm64  os: Darwin 25.5.0
# cpu: Apple M2
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -I../serialize-cs-port/serialize
# go: go version go1.26.5 darwin/arm64 (go run, default optimized build)
# rust: cargo 1.97.1 (c980f4866 2026-06-30); rustc 1.97.1 (8bab26f4f 2026-07-14) (cargo run --release: opt-level 3, no LTO)
# dotnet: 10.0.302 (dotnet run -c Release, workstation GC)
# pinning: none
# noise: quiet: idle desktop, no pinning available on macOS
# schema commit: 2568056
# serialize commit: 19d332e
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct
cpp,rigidbody_moving,write,2000000,105,7,23768283,23555103,23933513,2380.06,1.59
cpp,rigidbody_moving,read,2000000,105,7,82602671,78908693,85526584,8271.48,8.01
cpp,rigidbody_at_rest,write,4000000,57,7,43803634,27705908,44207159,2381.14,37.67
cpp,rigidbody_at_rest,read,4000000,57,7,120249968,115726787,126125107,6536.72,8.65
cpp,chat,write,4000000,13,7,106038213,104179439,107070800,1314.64,2.73
cpp,chat,read,4000000,13,7,135707076,133104837,138494766,1682.46,3.97
cpp,test,write,16000000,6,7,744168741,735154757,748940951,4258.17,1.85
cpp,test,read,16000000,6,7,577978993,572337341,585274857,3307.22,2.24
cpp,inputpacket,write,2000000,61,7,37172764,36845927,37464438,2162.49,1.66
cpp,inputpacket,read,2000000,61,7,46159484,45348347,46470246,2685.29,2.43
cpp,shipcreate,write,4000000,28,7,66950135,66704095,67079390,1787.76,0.56
cpp,shipcreate,read,4000000,28,7,111787141,110058548,112639434,2985.04,2.31
cpp,ship_shallow,write,4000000,28,7,75736000,74645434,77891035,2022.37,4.29
cpp,ship_shallow,read,4000000,28,7,118114448,116134745,120122526,3154.00,3.38
cpp,probe_header,write,16000000,10,7,990382458,970468933,1038126831,9445.02,6.83
cpp,probe_header,read,16000000,10,7,633726110,623607431,645660296,6043.68,3.48
cpp,probebits,write,4000000,26,7,81556506,80306235,82159002,2022.24,2.27
cpp,probebits,read,4000000,26,7,502428361,494213563,521951931,12457.98,5.52
cpp,probearray,write,2000000,47,7,44260068,44005369,44439713,1983.86,0.98
cpp,probearray,read,2000000,47,7,67913444,64463797,69872962,3044.06,7.96
cpp,testdata,write,1000000,92,7,16842909,16739939,16964428,1477.76,1.33
cpp,testdata,read,1000000,92,7,14017152,13886277,14085937,1229.84,1.42
cpp,message_batch,write,3276800,25,7,79843648,75768908,82448096,1903.62,8.37
cpp,message_batch,read,3276800,25,7,67241755,66168960,68460638,1603.17,3.41
go,rigidbody_moving,write,2000000,105,7,17541590,17490633,17607054,1756.54,0.66
go,rigidbody_moving,read,2000000,105,7,12895942,11821565,13290037,1291.35,11.39
go,rigidbody_at_rest,write,4000000,57,7,29152483,29042022,29212433,1584.71,0.58
go,rigidbody_at_rest,read,4000000,57,7,22864323,22355241,22906118,1242.89,2.41
go,chat,write,4000000,13,7,30906865,30852592,30964256,383.18,0.36
go,chat,read,4000000,13,7,64159115,63699298,64526060,795.43,1.29
go,test,write,16000000,6,7,65499603,52397850,65606372,374.79,20.17
go,test,read,16000000,6,7,67808139,67306688,68038782,388.00,1.08
go,inputpacket,write,2000000,61,7,12803349,12698513,12838972,744.82,1.10
go,inputpacket,read,2000000,61,7,8666175,8644392,8693052,504.15,0.56
go,shipcreate,write,4000000,28,7,17513279,17503038,17615632,467.65,0.64
go,shipcreate,read,4000000,28,7,17569311,17333585,17577994,469.15,1.39
go,ship_shallow,write,4000000,28,7,19015127,18851122,19154921,507.76,1.60
go,ship_shallow,read,4000000,28,7,19867673,19675316,19977613,530.52,1.52
go,probe_header,write,16000000,10,7,66729956,66066801,67176567,636.39,1.66
go,probe_header,read,16000000,10,7,62122895,61758317,62505137,592.45,1.20
go,probebits,write,4000000,26,7,44979408,44546716,45224952,1115.29,1.51
go,probebits,read,4000000,26,7,44835698,44572239,45266279,1111.72,1.55
go,probearray,write,2000000,47,7,14900650,14802133,14981545,667.89,1.20
go,probearray,read,2000000,47,7,12780097,12700489,12829861,572.84,1.01
go,testdata,write,1000000,92,7,6615727,6357308,6675852,580.45,4.81
go,testdata,read,1000000,92,7,5858761,5792040,5890244,514.04,1.68
go,message_batch,write,3276800,25,7,34635991,33522036,35439903,825.79,5.54
go,message_batch,read,3276800,25,7,31152065,30987461,31259980,742.72,0.87
rust,rigidbody_moving,write,2000000,105,7,25531548,25410835,25660875,2556.62,0.98
rust,rigidbody_moving,read,2000000,105,7,37032723,36083931,37529848,3708.30,3.90
rust,rigidbody_at_rest,write,4000000,57,7,47639771,28698882,47961582,2589.67,40.43
rust,rigidbody_at_rest,read,4000000,57,7,76308513,74572896,79684251,4148.09,6.70
rust,chat,write,4000000,13,7,37538565,37076545,37665005,465.39,1.57
rust,chat,read,4000000,13,7,93959298,93189317,94768014,1164.89,1.68
rust,test,write,16000000,6,7,227689266,224917721,229336429,1302.85,1.94
rust,test,read,16000000,6,7,217472067,214907892,219000707,1244.39,1.88
rust,inputpacket,write,2000000,61,7,18720026,18356651,18844872,1089.02,2.61
rust,inputpacket,read,2000000,61,7,16534653,16353932,16748280,961.89,2.38
rust,shipcreate,write,4000000,28,7,38480239,38255639,39256530,1027.53,2.60
rust,shipcreate,read,4000000,28,7,43132343,42134350,43338921,1151.76,2.79
rust,ship_shallow,write,4000000,28,7,42387156,42091122,42450584,1131.86,0.85
rust,ship_shallow,read,4000000,28,7,38748598,38334172,39065520,1034.70,1.89
rust,probe_header,write,16000000,10,7,168378589,165126845,169558208,1605.78,2.63
rust,probe_header,read,16000000,10,7,170063658,169421980,170846018,1621.85,0.84
rust,probebits,write,4000000,26,7,77087072,69040709,82594428,1911.41,17.58
rust,probebits,read,4000000,26,7,72604559,65933975,74645666,1800.27,12.00
rust,probearray,write,2000000,47,7,30806514,30647446,30918332,1380.83,0.88
rust,probearray,read,2000000,47,7,31609163,31460948,31725511,1416.81,0.84
rust,testdata,write,1000000,92,7,9681714,9646787,9723886,849.45,0.80
rust,testdata,read,1000000,92,7,10326525,10285707,10353235,906.03,0.65
rust,message_batch,write,3276800,25,7,53152883,52427856,54058037,1267.26,3.07
rust,message_batch,read,3276800,25,7,20614996,15132225,20686417,491.50,26.94
cs,rigidbody_moving,write,2000000,105,7,15176096,14495012,15461136,1519.67,6.37
cs,rigidbody_moving,read,2000000,105,7,17610750,17388583,17775818,1763.47,2.20
cs,rigidbody_at_rest,write,4000000,57,7,28355220,27966220,28477575,1541.37,1.80
cs,rigidbody_at_rest,read,4000000,57,7,32335905,32176973,32450675,1757.76,0.85
cs,chat,write,4000000,13,7,38733080,38519503,38826055,480.20,0.79
cs,chat,read,4000000,13,7,75815011,75184861,76142325,939.94,1.26
cs,test,write,16000000,6,7,93112308,90588582,93885033,532.79,3.54
cs,test,read,16000000,6,7,114271757,86424401,124168748,653.87,33.03
cs,inputpacket,write,2000000,61,7,13459168,11158597,13979533,782.98,20.96
cs,inputpacket,read,2000000,61,7,15027402,14655654,15225196,874.21,3.79
cs,shipcreate,write,4000000,28,7,27904180,26488189,28667465,745.12,7.81
cs,shipcreate,read,4000000,28,7,34615102,29414685,35781504,924.32,18.39
cs,ship_shallow,write,4000000,28,7,30462033,28504849,30598163,813.42,6.87
cs,ship_shallow,read,4000000,28,7,36957920,25942945,37738875,986.88,31.92
cs,probe_header,write,16000000,10,7,87273981,86275229,87932863,832.31,1.90
cs,probe_header,read,16000000,10,7,96683105,83779722,102750503,922.04,19.62
cs,probebits,write,4000000,26,7,55712945,36486729,56276837,1381.43,35.52
cs,probebits,read,4000000,26,7,54056099,46493841,55114638,1340.35,15.95
cs,probearray,write,2000000,47,7,20240354,19513642,20429865,907.23,4.53
cs,probearray,read,2000000,47,7,23980528,23158387,24191900,1074.87,4.31
cs,testdata,write,1000000,92,7,6300479,6251016,6345286,552.79,1.50
cs,testdata,read,1000000,92,7,7512104,7225423,7578232,659.10,4.70
cs,message_batch,write,3276800,25,7,44717683,41168312,47144131,1066.15,13.36
cs,message_batch,read,3276800,25,7,35603073,28759400,36018488,848.84,20.39
