# schema bench results
# date: 2026-08-06T23:30:18Z
# host: spacegame  arch: x86_64  os: Linux 6.8.0-90-generic
# cpu: AMD EPYC 9124 16-Core Processor
# build: Release
# cpp compiler: g++ (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -I../serialize-cs-port/serialize -Wno-class-memaccess -Wno-type-limits
# go: go version go1.26.5 linux/amd64 (go run, default optimized build)
# rust: cargo 1.97.1 (c980f4866 2026-06-30); rustc 1.97.1 (8bab26f4f 2026-07-14) (cargo run --release: opt-level 3, no LTO)
# dotnet: 10.0.302 (dotnet run -c Release, workstation GC)
# pinning: taskset -c 0
# noise: NOISY: game server running with one pinned thread per isolated core 1-15; bench pinned to shared core 0 (irqs, ssh, server aux threads)
# schema commit: unknown
# serialize commit: unknown
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct
cpp,rigidbody_moving,write,2000000,105,7,23358096,22634503,23442148,2338.98,3.46
cpp,rigidbody_moving,read,2000000,105,7,30172911,30093941,31584081,3021.39,4.94
cpp,rigidbody_at_rest,write,4000000,57,7,40039798,36029210,40089315,2176.54,10.14
cpp,rigidbody_at_rest,read,4000000,57,7,59779328,57793819,59892182,3249.57,3.51
cpp,chat,write,4000000,13,7,35719543,35610346,36641990,442.84,2.89
cpp,chat,read,4000000,13,7,70685288,53235991,74505412,876.34,30.09
cpp,test,write,16000000,6,7,107544528,102182934,108512136,615.37,5.89
cpp,test,read,16000000,6,7,202666923,201947593,210568506,1159.67,4.25
cpp,inputpacket,write,2000000,61,7,31910842,31656411,33467302,1856.39,5.67
cpp,inputpacket,read,2000000,61,7,36397554,30227024,36456029,2117.40,17.11
cpp,shipcreate,write,4000000,28,7,32891051,30035634,32999660,878.29,9.01
cpp,shipcreate,read,4000000,28,7,73590998,69802712,73685983,1965.09,5.28
cpp,ship_shallow,write,4000000,28,7,56800990,54477041,56916056,1516.75,4.29
cpp,ship_shallow,read,4000000,28,7,76818777,64129105,77076581,2051.28,16.85
cpp,probe_header,write,16000000,10,7,122625586,116261427,127440627,1169.45,9.12
cpp,probe_header,read,16000000,10,7,183183674,177779213,183977140,1746.98,3.38
cpp,probebits,write,4000000,26,7,83353141,83259397,88505697,2066.79,6.29
cpp,probebits,read,4000000,26,7,137149189,136383151,151168370,3400.69,10.78
cpp,probearray,write,2000000,47,7,27583968,25344540,27708909,1236.39,8.57
cpp,probearray,read,2000000,47,7,57507905,52905429,57596506,2577.66,8.16
cpp,testdata,write,1000000,92,7,9198664,8527664,9469267,807.07,10.24
cpp,testdata,read,1000000,92,7,19045891,18048220,19061233,1671.05,5.32
cpp,message_batch,write,3276800,25,7,65351044,64971466,65463642,1558.09,0.75
cpp,message_batch,read,3276800,25,7,41636590,38143119,43260532,992.69,12.29
go,rigidbody_moving,write,2000000,105,7,10316075,10014036,10490245,1033.01,4.62
go,rigidbody_moving,read,2000000,105,7,7885692,7414873,7964665,789.64,6.97
go,rigidbody_at_rest,write,4000000,57,7,17713714,14644349,18883890,962.91,23.93
go,rigidbody_at_rest,read,4000000,57,7,13762291,13385896,13916777,748.11,3.86
go,chat,write,4000000,13,7,20789956,17188830,21114971,257.75,18.88
go,chat,read,4000000,13,7,37639409,24693953,41315534,466.64,44.16
go,test,write,16000000,6,7,39303768,36546886,42571690,224.90,15.33
go,test,read,16000000,6,7,43664750,43037041,43981866,249.85,2.16
go,inputpacket,write,2000000,61,7,8507810,8414132,8525735,494.93,1.31
go,inputpacket,read,2000000,61,7,5522415,5401288,5641954,321.26,4.36
go,shipcreate,write,4000000,28,7,11033589,10806261,11124150,294.63,2.88
go,shipcreate,read,4000000,28,7,11283144,9051440,11526792,301.29,21.94
go,ship_shallow,write,4000000,28,7,11820707,11539103,11929553,315.65,3.30
go,ship_shallow,read,4000000,28,7,12953420,12585933,13160161,345.89,4.43
go,probe_header,write,16000000,10,7,42142673,41017545,42525398,401.90,3.58
go,probe_header,read,16000000,10,7,38528002,36934437,38590600,367.43,4.30
go,probebits,write,4000000,26,7,27514452,25674511,28079807,682.24,8.74
go,probebits,read,4000000,26,7,27978881,26403735,28540924,693.75,7.64
go,probearray,write,2000000,47,7,9307435,8583750,9327076,417.18,7.99
go,probearray,read,2000000,47,7,8655937,8358774,8770584,387.98,4.76
go,testdata,write,1000000,92,7,4214028,4039270,4235821,369.73,4.66
go,testdata,read,1000000,92,7,3734405,3599153,3789317,327.65,5.09
go,message_batch,write,3276800,25,7,25682743,25556833,26364874,612.32,3.15
go,message_batch,read,3276800,25,7,31775200,28182056,31850004,757.58,11.54
rust,rigidbody_moving,write,2000000,105,7,16829948,16438818,16837243,1685.28,2.37
