# schema bench results
# date: 2026-08-06T20:12:51Z
# host: spacegame  arch: x86_64  os: Linux 6.8.0-90-generic
# cpu: AMD EPYC 9124 16-Core Processor
# build: Release
# cpp compiler: g++ (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -I../serialize-cs-port/serialize -Wno-class-memaccess -Wno-type-limits
# go: go version go1.26.5 linux/amd64 (go run, default optimized build)
# rust: cargo 1.97.1 (c980f4866 2026-06-30); rustc 1.97.1 (8bab26f4f 2026-07-14) (cargo run --release: opt-level 3, no LTO)
# dotnet: 10.0.302 (dotnet run -c Release, workstation GC)
# pinning: taskset -c 0
# noise: NOISY: game server running with one pinned thread per isolated core 1-15; bench pinned to shared core 0 (irqs, ssh, server aux threads)
# schema commit: unknown
# serialize commit: unknown
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct
cpp,rigidbody_moving,write,2000000,105,7,23369028,20649087,23410467,2340.08,11.82
cpp,rigidbody_moving,read,2000000,105,7,24142241,24109744,24161651,2417.50,0.22
cpp,rigidbody_at_rest,write,4000000,57,7,39785242,39663305,39824579,2162.70,0.41
cpp,rigidbody_at_rest,read,4000000,57,7,46472669,41169332,46661500,2526.23,11.82
cpp,chat,write,4000000,13,7,35888858,33444810,36910072,444.94,9.66
cpp,chat,read,4000000,13,7,31701056,29909914,32466467,393.02,8.06
cpp,test,write,16000000,6,7,139460148,129213002,139676722,798.00,7.50
cpp,test,read,16000000,6,7,197182980,196559181,205066861,1128.29,4.31
cpp,inputpacket,write,2000000,61,7,31979764,28245858,33584215,1860.40,16.69
cpp,inputpacket,read,2000000,61,7,22435377,21783975,22506775,1305.16,3.22
cpp,shipcreate,write,4000000,28,7,33314810,32535828,33366088,889.60,2.49
cpp,shipcreate,read,4000000,28,7,56141355,53885600,56208174,1499.14,4.14
cpp,ship_shallow,write,4000000,28,7,57038457,54750734,57073954,1523.09,4.07
cpp,ship_shallow,read,4000000,28,7,57895057,55638656,58034010,1545.96,4.14
cpp,probe_header,write,16000000,10,7,123243432,115498705,126199022,1175.34,8.68
cpp,probe_header,read,16000000,10,7,180858708,160788963,181130323,1724.80,11.25
cpp,probebits,write,4000000,26,7,84780829,84465660,90027277,2102.19,6.56
cpp,probebits,read,4000000,26,7,124691022,124575116,136018115,3091.78,9.18
cpp,probearray,write,2000000,47,7,27751193,26726155,27894667,1243.88,4.21
cpp,probearray,read,2000000,47,7,43921088,35036701,46826809,1968.66,26.84
cpp,testdata,write,1000000,92,7,9473248,9260512,9530496,831.16,2.85
cpp,testdata,read,1000000,92,7,14591565,12574477,14619544,1280.24,14.02
cpp,message_batch,write,3276800,25,7,65144330,64955441,65393361,1553.16,0.67
cpp,message_batch,read,3276800,25,7,20261631,19322915,20701025,483.07,6.80
go,rigidbody_moving,write,2000000,105,7,10533600,10344245,10548613,1054.79,1.94
go,rigidbody_moving,read,2000000,105,7,6416413,6208994,6492727,642.51,4.42
