# schema bench results
# date: 2026-08-06T19:29:43Z
# host: spacegame  arch: x86_64  os: Linux 6.8.0-90-generic
# cpu: AMD EPYC 9124 16-Core Processor
# build: Release
# cpp compiler: Ubuntu clang version 18.1.3 (1ubuntu1)
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -I../serialize-cs-port/serialize
# pinning: taskset -c 0
# noise: NOISY: game server running with one pinned thread per isolated core 1-15; bench pinned to shared core 0 (irqs, ssh, server aux threads)
# schema commit: 979fc16 (tree rsynced without .git: 979fc16 + the run.sh gcc warning suppression)
# serialize commit: 19d332e
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct
cpp,rigidbody_moving,write,2000000,105,7,24418217,24307580,25308845,2445.14,4.10
cpp,rigidbody_moving,read,2000000,105,7,56103983,52006174,56169949,5618.02,7.42
cpp,rigidbody_at_rest,write,4000000,57,7,50949878,44932864,52812672,2769.61,15.47
cpp,rigidbody_at_rest,read,4000000,57,7,81085948,72228939,86123474,4407.79,17.14
cpp,chat,write,4000000,13,7,65274059,57820671,68433920,809.25,16.26
cpp,chat,read,4000000,13,7,65680317,64635751,69335281,814.29,7.16
cpp,test,write,16000000,6,7,505013641,499378916,555645694,2889.71,11.14
cpp,test,read,16000000,6,7,379389975,324588053,416555152,2170.89,24.24
cpp,inputpacket,write,2000000,61,7,30529335,27929605,32049949,1776.02,13.50
cpp,inputpacket,read,2000000,61,7,33459268,31849740,35148910,1946.46,9.86
cpp,shipcreate,write,4000000,28,7,50837170,50714995,52776229,1357.50,4.05
cpp,shipcreate,read,4000000,28,7,71392765,67849835,71507548,1906.39,5.12
cpp,ship_shallow,write,4000000,28,7,59388957,51855328,59629529,1585.86,13.09
cpp,ship_shallow,read,4000000,28,7,75058303,71133886,75314491,2004.27,5.57
cpp,probe_header,write,16000000,10,7,495523731,481705245,551259827,4725.68,14.04
cpp,probe_header,read,16000000,10,7,359471802,306746021,386280203,3428.19,22.13
cpp,probebits,write,4000000,26,7,62976127,62879940,65961578,1561.53,4.89
cpp,probebits,read,4000000,26,7,267222799,252033790,322522184,6625.93,26.38
cpp,probearray,write,2000000,47,7,36285025,34511332,36374176,1626.39,5.13
cpp,probearray,read,2000000,47,7,53029352,43221519,54433555,2376.92,21.14
cpp,testdata,write,1000000,92,7,12755354,11549965,13227746,1119.13,13.15
cpp,testdata,read,1000000,92,7,15805208,15637733,16538131,1386.72,5.70
cpp,message_batch,write,3276800,25,7,56692478,53275052,59652959,1351.65,11.25
cpp,message_batch,read,3276800,25,7,29518136,29151951,30299338,703.77,3.89
