# schema bench results
# date: 2026-08-06T19:28:44Z
# host: spacegame  arch: x86_64  os: Linux 6.8.0-90-generic
# cpu: AMD EPYC 9124 16-Core Processor
# build: Release
# cpp compiler: g++ (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -I../serialize-cs-port/serialize -Wno-class-memaccess -Wno-type-limits
# pinning: taskset -c 0
# noise: NOISY: game server running with one pinned thread per isolated core 1-15; bench pinned to shared core 0 (irqs, ssh, server aux threads)
# schema commit: 979fc16 (tree rsynced without .git: 979fc16 + the run.sh gcc warning suppression)
# serialize commit: 19d332e
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct
cpp,rigidbody_moving,write,2000000,105,7,23352134,22599355,23470533,2338.38,3.73
cpp,rigidbody_moving,read,2000000,105,7,24279648,23502309,24379399,2431.26,3.61
cpp,rigidbody_at_rest,write,4000000,57,7,40209762,33481946,40266799,2185.78,16.87
cpp,rigidbody_at_rest,read,4000000,57,7,46436009,41624591,46577762,2524.24,10.67
cpp,chat,write,4000000,13,7,35693663,33919856,36475565,442.52,7.16
cpp,chat,read,4000000,13,7,31916139,29125739,32438317,395.69,10.38
cpp,test,write,16000000,6,7,139381508,126584083,143159645,797.55,11.89
cpp,test,read,16000000,6,7,199341527,193573784,206450252,1140.64,6.46
cpp,inputpacket,write,2000000,61,7,32005385,31882297,33443887,1861.89,4.88
cpp,inputpacket,read,2000000,61,7,22369992,21663743,22420007,1301.35,3.38
cpp,shipcreate,write,4000000,28,7,32755262,30850050,33274007,874.66,7.40
cpp,shipcreate,read,4000000,28,7,55449710,51900986,56209074,1480.67,7.77
cpp,ship_shallow,write,4000000,28,7,56970213,49299405,57049770,1521.27,13.60
cpp,ship_shallow,read,4000000,28,7,57782398,55077328,57889801,1542.96,4.87
cpp,probe_header,write,16000000,10,7,123545568,113874905,126557469,1178.22,10.27
cpp,probe_header,read,16000000,10,7,180408848,174491493,180871526,1720.51,3.54
cpp,probebits,write,4000000,26,7,84599432,84096525,86377185,2097.69,2.70
cpp,probebits,read,4000000,26,7,123823532,98109568,124620211,3070.27,21.41
cpp,probearray,write,2000000,47,7,27624236,26547375,27672828,1238.19,4.07
cpp,probearray,read,2000000,47,7,43805964,41303326,46689965,1963.50,12.30
cpp,testdata,write,1000000,92,7,9257618,9199531,9516773,812.25,3.43
cpp,testdata,read,1000000,92,7,14581334,13990064,14623967,1279.34,4.35
cpp,message_batch,write,3276800,25,7,65174803,64596253,65267354,1553.89,1.03
cpp,message_batch,read,3276800,25,7,20265541,19325309,20597669,483.17,6.28

# schema bench results
# date: 2026-08-06T19:29:01Z
# host: spacegame  arch: x86_64  os: Linux 6.8.0-90-generic
# cpu: AMD EPYC 9124 16-Core Processor
# build: Debug
# cpp compiler: g++ (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0
# cpp flags: -O0 -g -DSERIALIZE_DEBUG -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -I../serialize-cs-port/serialize -Wno-class-memaccess -Wno-type-limits
# pinning: taskset -c 0
# noise: NOISY: game server running with one pinned thread per isolated core 1-15; bench pinned to shared core 0 (irqs, ssh, server aux threads)
# schema commit: 979fc16 (tree rsynced without .git: 979fc16 + the run.sh gcc warning suppression)
# serialize commit: 19d332e
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct
cpp,rigidbody_moving,write,250000,105,7,2300813,2132062,2365294,230.39,10.14
cpp,rigidbody_moving,read,250000,105,7,2498112,2258995,2502169,250.15,9.73
cpp,rigidbody_at_rest,write,500000,57,7,4172211,4082689,4185673,226.80,2.47
cpp,rigidbody_at_rest,read,500000,57,7,4296925,4034005,4304978,233.58,6.31
cpp,chat,write,500000,13,7,5353208,4938182,5523127,66.37,10.93
cpp,chat,read,500000,13,7,11241907,11192394,12007667,139.37,7.25
cpp,test,write,2000000,6,7,13283518,12345545,13308365,76.01,7.25
cpp,test,read,2000000,6,7,11580696,10698855,11733593,66.27,8.94
cpp,inputpacket,write,250000,61,7,2480769,2464152,2487392,144.32,0.94
cpp,inputpacket,read,250000,61,7,1880173,1741945,1885213,109.38,7.62
cpp,shipcreate,write,500000,28,7,3821165,3756722,3910457,102.04,4.02
cpp,shipcreate,read,500000,28,7,2713442,2596767,2742753,72.46,5.38
cpp,ship_shallow,write,500000,28,7,3918565,3696471,4013429,104.64,8.09
cpp,ship_shallow,read,500000,28,7,3150230,3132669,3188243,84.12,1.76
cpp,probe_header,write,2000000,10,7,10559188,10032395,10604367,100.70,5.42
cpp,probe_header,read,2000000,10,7,9956098,9486965,9992579,94.95,5.08
cpp,probebits,write,500000,26,7,7334753,6325458,7360522,181.87,14.11
cpp,probebits,read,500000,26,7,7490053,7458849,7514034,185.72,0.74
cpp,probearray,write,250000,47,7,2628331,2617334,2700180,117.81,3.15
cpp,probearray,read,250000,47,7,2252875,2096458,2306185,100.98,9.31
cpp,testdata,write,125000,92,7,1270547,1197551,1271911,111.48,5.85
cpp,testdata,read,125000,92,7,1143701,1110112,1174087,100.35,5.59
cpp,message_batch,write,819200,25,7,9268371,8396377,9405526,220.98,10.89
cpp,message_batch,read,819200,25,7,7802620,7603459,7813621,186.03,2.69
