# schema bench results
# date: 2026-08-07T05:46:51Z
# host: macbook  arch: arm64  os: Darwin 25.5.0
# cpu: Apple M2
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -I../serialize-cs-port/serialize
# go: go version go1.26.5 darwin/arm64 (go run, default optimized build)
# rust: cargo 1.97.1 (c980f4866 2026-06-30); rustc 1.97.1 (8bab26f4f 2026-07-14) (cargo run --release: opt-level 3, no LTO)
# dotnet: 10.0.302 (dotnet run -c Release, workstation GC)
# pinning: none
# noise: quiet: idle desktop, no pinning available on macOS
# schema commit: 41c1ff5
# serialize commit: 378892c
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct
cpp,rigidbody_moving,write,2000000,105,7,22714969,21534320,23120474,2274.58,6.98
cpp,rigidbody_moving,read,2000000,105,7,85465370,83570552,86761151,8558.14,3.73
cpp,rigidbody_at_rest,write,4000000,57,7,43258988,42655159,43944334,2351.53,2.98
cpp,rigidbody_at_rest,read,4000000,57,7,124421634,118396905,125694592,6763.49,5.87
cpp,chat,write,4000000,13,7,104206580,103796801,104811962,1291.93,0.97
cpp,chat,read,4000000,13,7,133121448,131091846,133238401,1650.41,1.61
cpp,test,write,16000000,6,7,729995012,720972411,749054903,4177.06,3.85
cpp,test,read,16000000,6,7,557899509,555688208,561576751,3192.33,1.06
cpp,inputpacket,write,2000000,61,7,36844881,36719594,36927934,2143.42,0.57
cpp,inputpacket,read,2000000,61,7,45931168,45214770,46042900,2672.01,1.80
cpp,shipcreate,write,4000000,28,7,66424816,42144505,66567416,1773.73,36.77
cpp,shipcreate,read,4000000,28,7,111534142,108579227,112239086,2978.28,3.28
cpp,ship_shallow,write,4000000,28,7,74502232,50113041,75799626,1989.42,34.48
cpp,ship_shallow,read,4000000,28,7,117598345,115471081,118938769,3140.21,2.95
cpp,probe_header,write,16000000,10,7,990530591,947198645,1019162356,9446.44,7.27
cpp,probe_header,read,16000000,10,7,613288232,607942211,614629142,5848.77,1.09
cpp,probebits,write,4000000,26,7,94605607,93585404,95858896,2345.80,2.40
cpp,probebits,read,4000000,26,7,486840104,476594733,496496040,12071.46,4.09
cpp,probearray,write,2000000,47,7,44509602,44293027,45127838,1995.04,1.88
cpp,probearray,read,2000000,47,7,66864289,63982427,67859869,2997.04,5.80
cpp,testdata,write,1000000,92,7,20356252,20085968,20397080,1786.02,1.53
cpp,testdata,read,1000000,92,7,25544388,25402767,25627035,2241.21,0.88
cpp,message_batch,write,3276800,25,7,81796538,78027175,86128735,1950.18,9.90
cpp,message_batch,read,3276800,25,7,66949642,64104598,68360366,1596.20,6.36
go,rigidbody_moving,write,2000000,105,7,16939283,16705083,17260506,1696.23,3.28
go,rigidbody_moving,read,2000000,105,7,23387493,17015026,23855080,2341.93,29.25
go,rigidbody_at_rest,write,4000000,57,7,29213935,28776366,29332359,1588.05,1.90
go,rigidbody_at_rest,read,4000000,57,7,41064846,40014105,41186851,2232.26,2.86
