# schema bench results
# date: 2026-08-07T13:17:10Z
# host: macbook  arch: arm64  os: Darwin 25.5.0
# cpu: Apple M2
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -I../serialize-cs-port/serialize
# go: go version go1.26.5 darwin/arm64 (go run, default optimized build)
# rust: cargo 1.97.1 (c980f4866 2026-06-30); rustc 1.97.1 (8bab26f4f 2026-07-14) (cargo run --release: opt-level 3, no LTO)
# dotnet: 10.0.302 (dotnet run -c Release, workstation GC)
# pinning: none
# noise: quiet: idle desktop, no pinning available on macOS
# schema commit: a36e1bd
# serialize commit: d042fc8
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct
cpp,rigidbody_moving,write,2000000,105,7,58630036,53722102,59537173,5870.97,9.92
cpp,rigidbody_moving,read,2000000,105,7,88884445,86292910,91137278,8900.52,5.45
cpp,rigidbody_at_rest,write,4000000,57,7,105217355,100912629,105438077,5719.56,4.30
cpp,rigidbody_at_rest,read,4000000,57,7,125047217,118678807,128557942,6797.50,7.90
cpp,chat,write,4000000,13,7,106689547,105926124,107171685,1322.71,1.17
cpp,chat,read,4000000,13,7,135788655,133337222,136865606,1683.48,2.60
cpp,test,write,16000000,6,7,743727702,730068558,749123608,4255.64,2.56
cpp,test,read,16000000,6,7,566585600,565277824,574796097,3242.03,1.68
cpp,inputpacket,write,2000000,61,7,65015896,64521938,65953633,3782.24,2.20
cpp,inputpacket,read,2000000,61,7,45378228,44147674,45726740,2639.84,3.48
cpp,shipcreate,write,4000000,28,7,101919701,100289272,102469515,2721.55,2.14
cpp,shipcreate,read,4000000,28,7,106678401,101835695,112276762,2848.62,9.79
cpp,ship_shallow,write,4000000,28,7,125372360,125002606,126195243,3347.80,0.95
cpp,ship_shallow,read,4000000,28,7,118745895,116824849,121275515,3170.86,3.75
cpp,probe_header,write,16000000,10,7,1042003011,1029239537,1058422751,9937.32,2.80
cpp,probe_header,read,16000000,10,7,627614038,613270602,629998768,5985.39,2.67
cpp,probebits,write,4000000,26,7,180908165,174318212,188125739,4485.71,7.63
cpp,probebits,read,4000000,26,7,488912861,477690367,496755564,12122.85,3.90
cpp,probearray,write,2000000,47,7,73464253,72922839,74550485,3292.87,2.22
cpp,probearray,read,2000000,47,7,67693349,64835776,70513990,3034.20,8.39
cpp,testdata,write,1000000,92,7,28082821,27956290,28175264,2463.93,0.78
cpp,testdata,read,1000000,92,7,25882094,25719806,26024328,2270.84,1.18
cpp,message_batch,write,3276800,25,7,82540862,79207553,88011396,1967.93,10.67
cpp,message_batch,read,3276800,25,7,78499075,71938069,80064994,1871.56,10.35
go,rigidbody_moving,write,2000000,105,7,17572537,17492087,17662618,1759.64,0.97
go,rigidbody_moving,read,2000000,105,7,24075090,23814237,24299221,2410.78,2.01
go,rigidbody_at_rest,write,4000000,57,7,29271184,28829842,29414036,1591.17,2.00
go,rigidbody_at_rest,read,4000000,57,7,40908928,40549342,41069431,2223.79,1.27
go,chat,write,4000000,13,7,30924697,30241640,30997449,383.40,2.44
go,chat,read,4000000,13,7,69480532,69128207,69652332,861.40,0.75
go,test,write,16000000,6,7,65431544,65014222,65775534,374.40,1.16
go,test,read,16000000,6,7,84763104,84040989,85027819,485.02,1.16
go,inputpacket,write,2000000,61,7,12585156,12547051,12607575,732.13,0.48
go,inputpacket,read,2000000,61,7,16134063,15976653,16230313,938.59,1.57
go,shipcreate,write,4000000,28,7,17427631,17375704,17464167,465.37,0.51
go,shipcreate,read,4000000,28,7,23523473,23369389,23578012,628.14,0.89
go,ship_shallow,write,4000000,28,7,18995025,18932566,19073474,507.22,0.74
go,ship_shallow,read,4000000,28,7,26153891,25710707,26258622,698.38,2.09
go,probe_header,write,16000000,10,7,67243784,66698904,67341095,641.29,0.96
go,probe_header,read,16000000,10,7,77177351,76903528,77426473,736.02,0.68
go,probebits,write,4000000,26,7,44120830,43993249,44246462,1094.00,0.57
go,probebits,read,4000000,26,7,62654883,62423921,62867423,1553.56,0.71
go,probearray,write,2000000,47,7,15002832,14942137,15075334,672.47,0.89
go,probearray,read,2000000,47,7,17512694,17372887,17525687,784.97,0.87
go,testdata,write,1000000,92,7,6776631,6738976,6799722,594.57,0.90
go,testdata,read,1000000,92,7,7437301,7172823,7453645,652.53,3.78
go,message_batch,write,3276800,25,7,34938372,34226729,35164237,833.00,2.68
go,message_batch,read,3276800,25,7,37663412,37500680,37791825,897.97,0.77
rust,rigidbody_moving,write,2000000,105,7,26089835,25970822,26171830,2612.53,0.77
rust,rigidbody_moving,read,2000000,105,7,47919448,47754067,48302664,4798.45,1.14
rust,rigidbody_at_rest,write,4000000,57,7,51439447,51271014,51567879,2796.22,0.58
rust,rigidbody_at_rest,read,4000000,57,7,90079946,89810274,90857897,4896.70,1.16
rust,chat,write,4000000,13,7,66385542,65935425,66639549,823.03,1.06
rust,chat,read,4000000,13,7,91748729,91435799,92647548,1137.48,1.32
rust,test,write,16000000,6,7,228156266,204836269,228949195,1305.52,10.57
rust,test,read,16000000,6,7,218370038,214417212,219090173,1249.52,2.14
rust,inputpacket,write,2000000,61,7,39458466,39234213,39649858,2295.46,1.05
rust,inputpacket,read,2000000,61,7,19265727,19095114,19544658,1120.77,2.33
rust,shipcreate,write,4000000,28,7,65949556,65364996,66395782,1761.04,1.56
rust,shipcreate,read,4000000,28,7,53755313,53153292,54193413,1435.42,1.93
rust,ship_shallow,write,4000000,28,7,84514705,84134656,84803407,2256.79,0.79
rust,ship_shallow,read,4000000,28,7,39059432,38899879,39270132,1043.00,0.95
rust,probe_header,write,16000000,10,7,198593092,197608832,199196367,1893.93,0.80
rust,probe_header,read,16000000,10,7,158132912,153932556,161565570,1508.07,4.83
rust,probebits,write,4000000,26,7,97849352,97274982,98935822,2426.23,1.70
rust,probebits,read,4000000,26,7,128912183,125709406,132302840,3196.45,5.11
rust,probearray,write,2000000,47,7,39099474,38855007,39149127,1752.54,0.75
rust,probearray,read,2000000,47,7,68117281,67723721,68858075,3053.20,1.67
rust,testdata,write,1000000,92,7,14902861,14877797,14967885,1307.55,0.60
rust,testdata,read,1000000,92,7,10160580,9649440,10178052,891.47,5.20
rust,message_batch,write,3276800,25,7,75359269,66850504,77031924,1796.70,13.51
rust,message_batch,read,3276800,25,7,50237507,49261699,50804348,1197.76,3.07
cs,rigidbody_moving,write,2000000,105,7,15463336,15370463,15834661,1548.43,3.00
cs,rigidbody_moving,read,2000000,105,7,17204789,17120356,17231159,1722.82,0.64
cs,rigidbody_at_rest,write,4000000,57,7,28720756,28414378,29001963,1561.24,2.05
cs,rigidbody_at_rest,read,4000000,57,7,33573158,33383771,33820118,1825.02,1.30
cs,chat,write,4000000,13,7,39520888,39424287,39595649,489.97,0.43
cs,chat,read,4000000,13,7,79395956,79247309,79738776,984.33,0.62
cs,test,write,16000000,6,7,109578459,109121984,110038465,627.01,0.84
cs,test,read,16000000,6,7,135080373,134789736,135270177,772.94,0.36
cs,inputpacket,write,2000000,61,7,14033876,13991434,14085271,816.41,0.67
cs,inputpacket,read,2000000,61,7,15438841,15309130,15490571,898.14,1.18
cs,shipcreate,write,4000000,28,7,28146022,27462512,28196297,751.58,2.61
cs,shipcreate,read,4000000,28,7,35658633,35427575,35823291,952.19,1.11
