# schema bench results
# date: 2026-08-07T15:12:10Z
# host: macbook  arch: arm64  os: Darwin 25.5.0
# cpu: Apple M2
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -I../serialize-cs-port/serialize
# go: go version go1.26.5 darwin/arm64 (go run, default optimized build)
# rust: cargo 1.97.1 (c980f4866 2026-06-30); rustc 1.97.1 (8bab26f4f 2026-07-14) (cargo run --release: opt-level 3, no LTO)
# dotnet: 10.0.302 (dotnet run -c Release, workstation GC)
# pinning: none
# noise: unlabelled
# schema commit: 3baa6fd
# serialize commit: 040d286
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct
cpp,rigidbody_moving,write,2000000,105,7,57830488,56993317,58224375,5790.90,2.13
cpp,rigidbody_moving,read,2000000,105,7,87317973,82810735,88150870,8743.66,6.12
cpp,rigidbody_at_rest,write,4000000,57,7,102193217,98180692,104812876,5555.17,6.49
cpp,rigidbody_at_rest,read,4000000,57,7,118189919,114447167,127598491,6424.74,11.13
cpp,chat,write,4000000,13,7,103497571,97129026,105063512,1283.14,7.67
cpp,chat,read,4000000,13,7,130886305,128934168,134998882,1622.70,4.63
cpp,test,write,16000000,6,7,734448893,707203137,752914603,4202.55,6.22
cpp,test,read,16000000,6,7,561873393,519442573,573748317,3215.07,9.67
cpp,inputpacket,write,2000000,61,7,63962390,63251357,64994943,3720.96,2.73
cpp,inputpacket,read,2000000,61,7,45920007,44166035,46493698,2671.36,5.07
cpp,shipcreate,write,4000000,28,7,100530719,96417583,101775126,2684.46,5.33
cpp,shipcreate,read,4000000,28,7,110374387,104444211,112324578,2947.31,7.14
cpp,ship_shallow,write,4000000,28,7,124232441,123480930,125084694,3317.36,1.29
cpp,ship_shallow,read,4000000,28,7,116487467,105759487,118298861,3110.55,10.76
cpp,probe_header,write,16000000,10,7,1048381152,962866977,1070592171,9998.14,10.28
cpp,probe_header,read,16000000,10,7,632563182,609049145,644600279,6032.59,5.62
cpp,probebits,write,4000000,26,7,177188465,174569897,183739791,4393.48,5.18
cpp,probebits,read,4000000,26,7,503405855,487391249,506633736,12482.22,3.82
cpp,probearray,write,2000000,47,7,69718090,68970374,74020615,3124.95,7.24
cpp,probearray,read,2000000,47,7,67323445,63452868,69342215,3017.62,8.75
cpp,testdata,write,1000000,92,7,27704668,26806687,27977310,2430.75,4.23
cpp,testdata,read,1000000,92,7,25445914,24563738,25725238,2232.57,4.56
cpp,message_batch,write,3276800,25,7,80999057,80244397,83491821,1931.17,4.01
cpp,message_batch,read,3276800,25,7,74208150,68963183,74819049,1769.26,7.89
go,rigidbody_moving,write,2000000,105,7,18196127,17576797,18259858,1822.08,3.75
go,rigidbody_moving,read,2000000,105,7,24004597,14325459,24180909,2403.72,41.06
go,rigidbody_at_rest,write,4000000,57,7,33007124,31347809,33849897,1794.25,7.58
go,rigidbody_at_rest,read,4000000,57,7,40638430,40097973,41218771,2209.08,2.76
go,chat,write,4000000,13,7,33464951,33298047,33919888,414.89,1.86
go,chat,read,4000000,13,7,68377091,66984471,68942586,847.72,2.86
go,test,write,16000000,6,7,105633193,104359283,106322506,604.44,1.86
go,test,read,16000000,6,7,84178978,83450577,84681960,481.68,1.46
go,inputpacket,write,2000000,61,7,16373083,16097006,16468179,952.49,2.27
go,inputpacket,read,2000000,61,7,15998491,15490617,16137009,930.70,4.04
go,shipcreate,write,4000000,28,7,31099675,30798667,31478372,830.45,2.19
go,shipcreate,read,4000000,28,7,23377156,22835465,23551145,624.24,3.06
go,ship_shallow,write,4000000,28,7,34723378,34197143,34877169,927.21,1.96
go,ship_shallow,read,4000000,28,7,26246432,26201681,26336683,700.86,0.51
go,probe_header,write,16000000,10,7,84712878,84584274,84940963,807.88,0.42
go,probe_header,read,16000000,10,7,77272257,77185402,77543972,736.93,0.46
go,probebits,write,4000000,26,7,61513422,61017311,62024919,1525.26,1.64
go,probebits,read,4000000,26,7,62552657,60184729,62910063,1551.03,4.36
go,probearray,write,2000000,47,7,20185462,19834981,20226111,904.77,1.94
go,probearray,read,2000000,47,7,17404326,17184893,17459879,780.11,1.58
go,testdata,write,1000000,92,7,9294393,9252206,9371347,815.47,1.28
go,testdata,read,1000000,92,7,9787377,9662820,9879450,858.73,2.21
go,message_batch,write,3276800,25,7,39744542,39226594,40202641,947.58,2.46
go,message_batch,read,3276800,25,7,37505812,37229154,37706300,894.21,1.27
rust,rigidbody_moving,write,2000000,105,7,26000899,25597160,26121155,2603.62,2.02
rust,rigidbody_moving,read,2000000,105,7,48079619,47745136,48280898,4814.49,1.11
rust,rigidbody_at_rest,write,4000000,57,7,51401191,51243071,51902469,2794.14,1.28
rust,rigidbody_at_rest,read,4000000,57,7,90220562,87959853,91730670,4904.34,4.18
rust,chat,write,4000000,13,7,66217491,65569427,66639594,820.95,1.62
rust,chat,read,4000000,13,7,91971115,91498110,92490361,1140.24,1.08
rust,test,write,16000000,6,7,227616658,224027407,228604086,1302.43,2.01
rust,test,read,16000000,6,7,215750338,210471853,218208227,1234.53,3.59
rust,inputpacket,write,2000000,61,7,39571539,38380073,39786083,2302.04,3.55
rust,inputpacket,read,2000000,61,7,19365373,19138023,19491143,1126.56,1.82
rust,shipcreate,write,4000000,28,7,66365442,65287780,66574664,1772.15,1.94
rust,shipcreate,read,4000000,28,7,54021507,53155175,54271845,1442.53,2.07
rust,ship_shallow,write,4000000,28,7,84646380,83928997,85024072,2260.30,1.29
rust,ship_shallow,read,4000000,28,7,38359140,37856875,39296784,1024.30,3.75
rust,probe_header,write,16000000,10,7,197102084,193801482,198423360,1879.71,2.34
rust,probe_header,read,16000000,10,7,157131693,155624992,163137475,1498.52,4.78
rust,probebits,write,4000000,26,7,98029204,97739469,98684615,2430.69,0.96
rust,probebits,read,4000000,26,7,129244189,124564674,131056412,3204.68,5.02
rust,probearray,write,2000000,47,7,39454800,18479691,39648581,1768.47,53.65
rust,probearray,read,2000000,47,7,68691344,67905182,69006464,3078.93,1.60
rust,testdata,write,1000000,92,7,16286313,16228190,16311096,1428.93,0.51
rust,testdata,read,1000000,92,7,15148235,14804643,15187038,1329.08,2.52
rust,message_batch,write,3276800,25,7,66741746,61829575,67973119,1591.25,9.20
rust,message_batch,read,3276800,25,7,48494117,46329246,49027379,1156.19,5.56
cs,rigidbody_moving,write,2000000,105,7,32679044,32520695,32865493,3272.34,1.06
cs,rigidbody_moving,read,2000000,105,7,35750419,35613170,36065473,3579.90,1.27
cs,rigidbody_at_rest,write,4000000,57,7,52466104,52290179,53333333,2852.03,1.99
cs,rigidbody_at_rest,read,4000000,57,7,56439858,56139169,56732438,3068.04,1.05
cs,chat,write,4000000,13,7,39731021,39023743,39933909,492.58,2.29
cs,chat,read,4000000,13,7,79156822,78818976,79814352,981.37,1.26
cs,test,write,16000000,6,7,125490491,125094896,125794767,718.06,0.56
cs,test,read,16000000,6,7,157229614,156161702,157636245,899.68,0.94
cs,inputpacket,write,2000000,61,7,33587309,33383910,33622600,1953.91,0.71
cs,inputpacket,read,2000000,61,7,28640944,28564981,28725520,1666.16,0.56
cs,shipcreate,write,4000000,28,7,52932458,52694257,53085812,1413.45,0.74
cs,shipcreate,read,4000000,28,7,51469784,51348871,51786639,1374.39,0.85
cs,ship_shallow,write,4000000,28,7,54626525,54498512,54891747,1458.69,0.72
cs,ship_shallow,read,4000000,28,7,54732590,54546893,55003156,1461.52,0.83
cs,probe_header,write,16000000,10,7,114219304,113617965,114447167,1089.28,0.73
cs,probe_header,read,16000000,10,7,126179980,125499842,126584281,1203.35,0.86
cs,probebits,write,4000000,26,7,87446412,38745799,87835835,2168.28,56.14
cs,probebits,read,4000000,26,7,93382889,92691936,94295811,2315.48,1.72
cs,probearray,write,2000000,47,7,39752185,39578176,39982008,1781.80,1.02
cs,probearray,read,2000000,47,7,40116096,39423549,40297476,1798.11,2.18
cs,testdata,write,1000000,92,7,13896822,13851298,13977627,1219.28,0.91
cs,testdata,read,1000000,92,7,9878085,9525370,9935173,866.68,4.15
cs,message_batch,write,3276800,25,7,57662223,44163451,60070542,1374.77,27.59
cs,message_batch,read,3276800,25,7,42349925,29184182,42976568,1009.70,32.57
