# schema bench results
# date: 2026-08-07T15:58:10Z
# host: spacegame  arch: x86_64  os: Linux 6.8.0-90-generic
# cpu: AMD EPYC 9124 16-Core Processor
# build: Release
# cpp compiler: Ubuntu clang version 18.1.3 (1ubuntu1)
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -I../serialize-cs-port/serialize
# go: go version go1.26.5 linux/amd64 (go run, default optimized build)
# rust: cargo 1.97.1 (c980f4866 2026-06-30); rustc 1.97.1 (8bab26f4f 2026-07-14) (cargo run --release: opt-level 3, no LTO)
# dotnet: 10.0.302 (dotnet run -c Release, workstation GC)
# pinning: taskset -c 0
# noise: RESERVED core 0: game server owns isolated cores 1-15 (one pinned thread each); core 0 does no game work - reserved for bench (Glenn, 2026-08-07) - but remains the sole general-purpose core (irqs, ssh, systemd)
# schema commit: unknown
# serialize commit: unknown
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct
cpp,rigidbody_moving,write,2000000,105,7,24691894,24646541,25571802,2472.54,3.75
cpp,rigidbody_moving,read,2000000,105,7,57713242,57428144,58284427,5779.16,1.48
cpp,rigidbody_at_rest,write,4000000,57,7,50539891,50343309,52465252,2747.32,4.20
cpp,rigidbody_at_rest,read,4000000,57,7,85551712,68880121,91056888,4650.54,25.92
cpp,chat,write,4000000,13,7,65515051,65274210,68694000,812.24,5.22
cpp,chat,read,4000000,13,7,87704773,70711593,94059546,1087.34,26.62
cpp,test,write,16000000,6,7,505036326,498816222,554973165,2889.84,11.12
cpp,test,read,16000000,6,7,377323560,368403968,401988458,2159.06,8.90
cpp,inputpacket,write,2000000,61,7,31127221,30745961,32584422,1810.80,5.91
cpp,inputpacket,read,2000000,61,7,42384588,42265340,45182289,2465.69,6.88
cpp,shipcreate,write,4000000,28,7,52625498,47343694,54675064,1405.25,13.93
cpp,shipcreate,read,4000000,28,7,77021552,72895673,77206133,2056.70,5.60
cpp,ship_shallow,write,4000000,28,7,61354151,54512943,61500467,1638.33,11.39
cpp,ship_shallow,read,4000000,28,7,80336878,80049991,80498852,2145.23,0.56
cpp,probe_header,write,16000000,10,7,501820096,484913355,550165524,4785.73,13.00
cpp,probe_header,read,16000000,10,7,302326290,287283594,303337936,2883.21,5.31
cpp,probebits,write,4000000,26,7,89993926,88971784,96160477,2231.45,7.99
cpp,probebits,read,4000000,26,7,268904358,259988935,346441307,6667.63,32.15
cpp,probearray,write,2000000,47,7,35269741,31909482,36767503,1580.88,13.77
cpp,probearray,read,2000000,47,7,54976837,50897400,55072421,2464.21,7.59
cpp,testdata,write,1000000,92,7,14089050,12343214,14166759,1236.15,12.94
cpp,testdata,read,1000000,92,7,21238258,20046505,22593643,1863.40,11.99
cpp,message_batch,write,3276800,25,7,60365347,56082506,60583914,1439.22,7.46
cpp,message_batch,read,3276800,25,7,51639559,46032897,54686702,1231.18,16.76
