# schema bench results
# date: 2026-08-07T15:58:54Z
# host: spacegame  arch: x86_64  os: Linux 6.8.0-90-generic
# cpu: AMD EPYC 9124 16-Core Processor
# build: Release
# cpp compiler: Ubuntu clang version 18.1.3 (1ubuntu1)
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -I../serialize-pre-restrict
# go: go version go1.26.5 linux/amd64 (go run, default optimized build)
# rust: cargo 1.97.1 (c980f4866 2026-06-30); rustc 1.97.1 (8bab26f4f 2026-07-14) (cargo run --release: opt-level 3, no LTO)
# dotnet: 10.0.302 (dotnet run -c Release, workstation GC)
# pinning: taskset -c 0
# noise: RESERVED core 0: game server owns isolated cores 1-15 (one pinned thread each); core 0 does no game work - reserved for bench (Glenn, 2026-08-07) - but remains the sole general-purpose core (irqs, ssh, systemd)
# schema commit: unknown
# serialize commit: unknown
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct
cpp,rigidbody_moving,write,2000000,105,7,24452518,23289750,24495133,2448.57,4.93
cpp,rigidbody_moving,read,2000000,105,7,57703950,53101057,58125288,5778.23,8.71
cpp,rigidbody_at_rest,write,4000000,57,7,50459863,50394920,52483439,2742.97,4.14
cpp,rigidbody_at_rest,read,4000000,57,7,85098683,69952576,92168120,4625.92,26.11
cpp,chat,write,4000000,13,7,65380510,65234914,68846555,810.57,5.52
cpp,chat,read,4000000,13,7,88023768,87646813,93790922,1091.30,6.98
cpp,test,write,16000000,6,7,505494430,500759107,559063933,2892.46,11.53
cpp,test,read,16000000,6,7,383196991,325596853,414954885,2192.67,23.32
cpp,inputpacket,write,2000000,61,7,31133813,25814901,32578864,1811.18,21.73
cpp,inputpacket,read,2000000,61,7,42172670,39709337,44945261,2453.36,12.42
cpp,shipcreate,write,4000000,28,7,52520822,52371304,54687932,1402.46,4.41
cpp,shipcreate,read,4000000,28,7,76897640,72854715,77273119,2053.39,5.75
cpp,ship_shallow,write,4000000,28,7,61361038,48299460,64228977,1638.52,25.96
cpp,ship_shallow,read,4000000,28,7,80454868,79512831,80550865,2148.38,1.29
cpp,probe_header,write,16000000,10,7,496360224,477448772,502682589,4733.66,5.08
cpp,probe_header,read,16000000,10,7,302343443,250367936,302979749,2883.37,17.40
cpp,probebits,write,4000000,26,7,89494721,89003643,95952573,2219.07,7.76
cpp,probebits,read,4000000,26,7,263515878,252443359,341511703,6534.02,33.80
cpp,probearray,write,2000000,47,7,36541068,34763320,36668149,1637.87,5.21
cpp,probearray,read,2000000,47,7,54912098,50889266,55027726,2461.31,7.54
cpp,testdata,write,1000000,92,7,14089018,12235097,14159680,1236.14,13.66
cpp,testdata,read,1000000,92,7,21230376,21098105,22563585,1862.71,6.90
cpp,message_batch,write,3276800,25,7,60584990,57128687,60771735,1444.46,6.01
cpp,message_batch,read,3276800,25,7,53415806,47157185,56212459,1273.53,16.95
