# schema bench results
# date: 2026-08-07T15:58:30Z
# host: spacegame  arch: x86_64  os: Linux 6.8.0-90-generic
# cpu: AMD EPYC 9124 16-Core Processor
# build: Release
# cpp compiler: g++ (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -I../serialize-pre-restrict -Wno-class-memaccess -Wno-type-limits
# go: go version go1.26.5 linux/amd64 (go run, default optimized build)
# rust: cargo 1.97.1 (c980f4866 2026-06-30); rustc 1.97.1 (8bab26f4f 2026-07-14) (cargo run --release: opt-level 3, no LTO)
# dotnet: 10.0.302 (dotnet run -c Release, workstation GC)
# pinning: taskset -c 0
# noise: RESERVED core 0: game server owns isolated cores 1-15 (one pinned thread each); core 0 does no game work - reserved for bench (Glenn, 2026-08-07) - but remains the sole general-purpose core (irqs, ssh, systemd)
# schema commit: unknown
# serialize commit: unknown
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct
cpp,rigidbody_moving,write,2000000,105,7,24237330,24209652,24262678,2427.02,0.22
cpp,rigidbody_moving,read,2000000,105,7,30231814,26912230,30257376,3027.29,11.06
cpp,rigidbody_at_rest,write,4000000,57,7,40958902,37749843,42205185,2226.50,10.88
cpp,rigidbody_at_rest,read,4000000,57,7,59795990,59716648,59874004,3250.48,0.26
cpp,chat,write,4000000,13,7,35690339,35630840,36647430,442.48,2.85
cpp,chat,read,4000000,13,7,75575811,62528291,75666643,936.97,17.38
cpp,test,write,16000000,6,7,118374686,115075532,119318435,677.35,3.58
cpp,test,read,16000000,6,7,223661860,215289765,224017842,1279.80,3.90
cpp,inputpacket,write,2000000,61,7,31785782,29516051,33476342,1849.11,12.46
cpp,inputpacket,read,2000000,61,7,36438622,34625317,36502998,2119.79,5.15
cpp,shipcreate,write,4000000,28,7,31632921,30554133,33088324,844.69,8.01
cpp,shipcreate,read,4000000,28,7,74440370,69763836,74557643,1987.77,6.44
cpp,ship_shallow,write,4000000,28,7,55676790,53639559,55863276,1486.73,3.99
cpp,ship_shallow,read,4000000,28,7,77741085,64003861,77815899,2075.91,17.77
cpp,probe_header,write,16000000,10,7,122336642,111918449,123877202,1166.69,9.78
cpp,probe_header,read,16000000,10,7,179918282,173973380,180751555,1715.83,3.77
cpp,probebits,write,4000000,26,7,83349763,79964121,88642030,2066.70,10.41
cpp,probebits,read,4000000,26,7,140517367,139925681,156783521,3484.20,12.00
cpp,probearray,write,2000000,47,7,29710956,28498281,29815004,1331.73,4.43
cpp,probearray,read,2000000,47,7,58385698,53962668,58522501,2617.00,7.81
cpp,testdata,write,1000000,92,7,9058085,9022382,9289253,794.74,2.95
cpp,testdata,read,1000000,92,7,22991196,22813300,24627752,2017.20,7.89
cpp,message_batch,write,3276800,25,7,61061463,58032069,61286557,1455.82,5.33
cpp,message_batch,read,3276800,25,7,42198302,41876372,43777114,1006.09,4.50
