# schema bench results
# date: 2026-08-07T14:15:05Z
# host: macbook  arch: arm64  os: Darwin 25.5.0
# cpu: Apple M2
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -I../serialize-cs-port/serialize
# go: go version go1.26.5 darwin/arm64 (go run, default optimized build)
# rust: cargo 1.97.1 (c980f4866 2026-06-30); rustc 1.97.1 (8bab26f4f 2026-07-14) (cargo run --release: opt-level 3, no LTO)
# dotnet: 10.0.302 (dotnet run -c Release, workstation GC)
# pinning: none
# noise: idle desktop, unpinned
# schema commit: 98a2084
# serialize commit: d042fc8
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct
cpp,rigidbody_moving,write,2000000,105,7,58162149,57437292,58592391,5824.11,1.99
cpp,rigidbody_moving,read,2000000,105,7,86062993,85205032,89261638,8617.99,4.71
cpp,rigidbody_at_rest,write,4000000,57,7,103927598,101728968,105511084,5649.45,3.64
cpp,rigidbody_at_rest,read,4000000,57,7,123265774,117921633,125907914,6700.66,6.48
cpp,chat,write,4000000,13,7,106301229,105722564,107035107,1317.90,1.23
cpp,chat,read,4000000,13,7,134230440,133344076,135790195,1664.16,1.82
cpp,test,write,16000000,6,7,743362022,731386778,750175834,4253.55,2.53
cpp,test,read,16000000,6,7,560498844,555742076,565165487,3207.20,1.68
cpp,inputpacket,write,2000000,61,7,65167631,64385715,65384851,3791.07,1.53
cpp,inputpacket,read,2000000,61,7,44379232,44208258,44796680,2581.72,1.33
cpp,shipcreate,write,4000000,28,7,101664114,100696272,101997018,2714.72,1.28
cpp,shipcreate,read,4000000,28,7,111739906,106942221,112131457,2983.78,4.64
cpp,ship_shallow,write,4000000,28,7,125353375,123754401,125655766,3347.30,1.52
cpp,ship_shallow,read,4000000,28,7,117837533,116044478,120343127,3146.60,3.65
cpp,probe_header,write,16000000,10,7,1047760391,1036694650,1057184286,9992.22,1.96
cpp,probe_header,read,16000000,10,7,640424833,627908567,648735220,6107.57,3.25
cpp,probebits,write,4000000,26,7,176866256,176353554,179747006,4385.49,1.92
cpp,probebits,read,4000000,26,7,506027481,494361191,521005714,12547.22,5.27
cpp,probearray,write,2000000,47,7,72764428,72150507,73443456,3261.50,1.78
cpp,probearray,read,2000000,47,7,66306767,61662814,70776417,2972.05,13.74
cpp,testdata,write,1000000,92,7,27944865,27689422,28041871,2451.83,1.26
cpp,testdata,read,1000000,92,7,25653331,24981472,25751184,2250.77,3.00
cpp,message_batch,write,3276800,25,7,78577824,73838180,82979457,1873.44,11.63
cpp,message_batch,read,3276800,25,7,74720805,73467352,77297450,1781.48,5.13
go,rigidbody_moving,write,2000000,105,7,18196320,17926963,18469764,1822.10,2.98
go,rigidbody_moving,read,2000000,105,7,24173846,23677477,24338142,2420.67,2.73
go,rigidbody_at_rest,write,4000000,57,7,32171970,31957954,32745618,1748.85,2.45
go,rigidbody_at_rest,read,4000000,57,7,41234156,39687527,41340001,2241.47,4.01
go,chat,write,4000000,13,7,33957311,33850899,33992481,420.99,0.42
go,chat,read,4000000,13,7,69369525,68806156,69883033,860.03,1.55
go,test,write,16000000,6,7,106770946,106366536,106944931,610.95,0.54
go,test,read,16000000,6,7,84347424,83602010,84442892,482.64,1.00
go,inputpacket,write,2000000,61,7,16461526,11496006,16565216,957.64,30.79
go,inputpacket,read,2000000,61,7,16237874,16073999,16337545,944.62,1.62
go,shipcreate,write,4000000,28,7,31426467,30852215,31553818,839.18,2.23
go,shipcreate,read,4000000,28,7,23416856,22877602,23533980,625.30,2.80
go,ship_shallow,write,4000000,28,7,34710032,34655463,35052014,926.86,1.14
go,ship_shallow,read,4000000,28,7,26263464,26203405,26288326,701.31,0.32
go,probe_header,write,16000000,10,7,84125110,83266330,84502784,802.28,1.47
go,probe_header,read,16000000,10,7,77310403,76973051,77495522,737.29,0.68
go,probebits,write,4000000,26,7,61743879,61513816,61985672,1530.97,0.76
go,probebits,read,4000000,26,7,62539820,62156399,62776281,1550.71,0.99
go,probearray,write,2000000,47,7,20297434,20007645,20362814,909.79,1.75
go,probearray,read,2000000,47,7,17253396,17177132,17356215,773.34,1.04
go,testdata,write,1000000,92,7,9303454,9260352,9348357,816.27,0.95
go,testdata,read,1000000,92,7,9772492,9700815,9870706,857.42,1.74
go,message_batch,write,3276800,25,7,39663219,25197779,40115772,945.64,37.61
