# schema bench results
# date: 2026-08-07T13:50:00Z (sitting start; three interleaved runs per side)
# host: macbook  arch: arm64  os: Darwin 25.5.0
# cpu: Apple M2
# build: Release
# rust: cargo 1.97.1 (c980f4866 2026-06-30); rustc 1.97.1 (8bab26f4f 2026-07-14) (cargo build --release: opt-level 3, no LTO)
# pinning: none
# noise: ambient desktop only (WindowServer + app UI, <1 core combined); sibling-lane workloads verified absent during the window
# method: paired interleave base,levers x3 from bench/rust; each run is the runner's own median-of-7 after warmup; golden self-check gated
# schema commit: 8956046
# serialize.rs commit: 422e4fa
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct
# run: 1
rust,rigidbody_moving,write,2000000,105,7,26152466,25983545,26264714,2618.80,1.08
rust,rigidbody_moving,read,2000000,105,7,48617244,47675378,49038589,4868.33,2.80
rust,rigidbody_at_rest,write,4000000,57,7,51630363,51226091,51973532,2806.60,1.45
rust,rigidbody_at_rest,read,4000000,57,7,90717090,88891277,91599294,4931.33,2.99
rust,chat,write,4000000,13,7,65757073,53633832,67072596,815.24,20.44
rust,chat,read,4000000,13,7,92708031,91903582,93167974,1149.37,1.36
rust,test,write,16000000,6,7,230781714,229419188,231861937,1320.54,1.06
rust,test,read,16000000,6,7,217549811,216449727,218251512,1244.83,0.83
rust,inputpacket,write,2000000,61,7,39561331,38375562,39870885,2301.45,3.78
rust,inputpacket,read,2000000,61,7,19526221,19229860,19723525,1135.92,2.53
rust,shipcreate,write,4000000,28,7,66947287,66652179,67336195,1787.69,1.02
rust,shipcreate,read,4000000,28,7,52865125,38219360,53384285,1411.65,28.69
rust,ship_shallow,write,4000000,28,7,85337808,84142769,85818339,2278.77,1.96
rust,ship_shallow,read,4000000,28,7,36500402,23754768,39314116,974.67,42.63
rust,probe_header,write,16000000,10,7,186198610,144217173,198193447,1775.73,28.99
rust,probe_header,read,16000000,10,7,145285101,132819581,154047724,1385.55,14.61
rust,probebits,write,4000000,26,7,98758117,97488948,99384643,2448.76,1.92
rust,probebits,read,4000000,26,7,130464387,126102248,133692445,3234.93,5.82
rust,probearray,write,2000000,47,7,39500549,39007836,39975249,1770.52,2.45
rust,probearray,read,2000000,47,7,67482075,66711606,68151615,3024.73,2.13
rust,testdata,write,1000000,92,7,16170229,15972495,16285727,1418.74,1.94
rust,testdata,read,1000000,92,7,14510155,14233474,15258304,1273.09,7.06
rust,message_batch,write,3276800,25,7,67961314,65382460,69304000,1620.32,5.77
rust,message_batch,read,3276800,25,7,47928038,39810876,49231386,1142.69,19.66
# run: 2
rust,rigidbody_moving,write,2000000,105,7,26151810,26034745,26278749,2618.73,0.93
rust,rigidbody_moving,read,2000000,105,7,48514889,48063492,48878394,4858.08,1.68
rust,rigidbody_at_rest,write,4000000,57,7,51682314,51450530,51731078,2809.42,0.54
rust,rigidbody_at_rest,read,4000000,57,7,92027715,91154240,93008926,5002.57,2.02
rust,chat,write,4000000,13,7,67114986,66624703,67319715,832.08,1.04
rust,chat,read,4000000,13,7,92979830,91237494,93504825,1152.74,2.44
rust,test,write,16000000,6,7,229172187,228460054,229819292,1311.33,0.59
rust,test,read,16000000,6,7,219595340,216948294,220988752,1256.53,1.84
rust,inputpacket,write,2000000,61,7,40121032,39814233,40172608,2334.01,0.89
rust,inputpacket,read,2000000,61,7,19582461,19361357,19973178,1139.19,3.12
rust,shipcreate,write,4000000,28,7,66925539,66154156,67412180,1787.10,1.88
rust,shipcreate,read,4000000,28,7,54763544,54530118,54932887,1462.34,0.74
rust,ship_shallow,write,4000000,28,7,85341907,84913822,85853568,2278.87,1.10
rust,ship_shallow,read,4000000,28,7,39158820,38070825,39413414,1045.65,3.43
rust,probe_header,write,16000000,10,7,199099386,198499057,200884941,1898.76,1.20
rust,probe_header,read,16000000,10,7,157686478,154078877,160708120,1503.82,4.20
rust,probebits,write,4000000,26,7,98689992,97803296,98862259,2447.07,1.07
rust,probebits,read,4000000,26,7,128632183,125650500,133466056,3189.50,6.08
rust,probearray,write,2000000,47,7,39665816,39238896,39763836,1777.93,1.32
rust,probearray,read,2000000,47,7,68474782,68057304,69486467,3069.22,2.09
rust,testdata,write,1000000,92,7,16290227,16257299,16345857,1429.27,0.54
rust,testdata,read,1000000,92,7,15127430,15099743,15192556,1327.25,0.61
rust,message_batch,write,3276800,25,7,68756616,66315371,69851979,1639.29,5.14
rust,message_batch,read,3276800,25,7,48302391,48127987,48692586,1151.62,1.17
# run: 3
rust,rigidbody_moving,write,2000000,105,7,26170574,26135506,26259182,2620.61,0.47
rust,rigidbody_moving,read,2000000,105,7,48513909,47923418,48651838,4857.98,1.50
rust,rigidbody_at_rest,write,4000000,57,7,51480990,51190090,51735092,2798.48,1.06
rust,rigidbody_at_rest,read,4000000,57,7,89568114,88966901,91173286,4868.87,2.46
rust,chat,write,4000000,13,7,66364249,65992988,66556801,822.77,0.85
rust,chat,read,4000000,13,7,92127069,91779958,92783744,1142.17,1.09
rust,test,write,16000000,6,7,228928311,227477234,229406442,1309.94,0.84
rust,test,read,16000000,6,7,217253307,216579256,219087422,1243.13,1.15
rust,inputpacket,write,2000000,61,7,39612000,39449028,39726254,2304.39,0.70
rust,inputpacket,read,2000000,61,7,19455324,18669401,19579058,1131.80,4.68
rust,shipcreate,write,4000000,28,7,66728020,66284976,67111091,1781.83,1.24
rust,shipcreate,read,4000000,28,7,54297229,54096058,54588536,1449.89,0.91
rust,ship_shallow,write,4000000,28,7,84621833,84223825,85152886,2259.65,1.10
rust,ship_shallow,read,4000000,28,7,39386877,39237501,39410760,1051.74,0.44
rust,probe_header,write,16000000,10,7,198909521,198504393,199501869,1896.95,0.50
rust,probe_header,read,16000000,10,7,156685770,155616668,160306988,1494.27,2.99
rust,probebits,write,4000000,26,7,98383033,97601347,98988462,2439.46,1.41
rust,probebits,read,4000000,26,7,128825858,126775185,132693639,3194.31,4.59
rust,probearray,write,2000000,47,7,39652315,39608111,39725858,1777.32,0.30
rust,probearray,read,2000000,47,7,68364188,67914597,69224714,3064.27,1.92
rust,testdata,write,1000000,92,7,16286468,16070916,16343118,1428.94,1.67
rust,testdata,read,1000000,92,7,15173499,15117739,15199878,1331.29,0.54
rust,message_batch,write,3276800,25,7,68272416,64556834,70265326,1627.74,8.36
rust,message_batch,read,3276800,25,7,48595640,48214677,49011826,1158.61,1.64
