# schema bench results
# date: 2026-08-07T13:50:00Z (sitting start; three interleaved runs per side)
# host: macbook  arch: arm64  os: Darwin 25.5.0
# cpu: Apple M2
# build: Release
# rust: cargo 1.97.1 (c980f4866 2026-06-30); rustc 1.97.1 (8bab26f4f 2026-07-14) (cargo build --release: opt-level 3, no LTO)
# pinning: none
# noise: ambient desktop only (WindowServer + app UI, <1 core combined); sibling-lane workloads verified absent during the window
# method: paired interleave base,levers x3 from bench/rust; each run is the runner's own median-of-7 after warmup; golden self-check gated
# schema commit: bb077af
# serialize.rs commit: 422e4fa
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct
# run: 1
rust,rigidbody_moving,write,2000000,105,7,26616937,26476594,26964050,2665.31,1.83
rust,rigidbody_moving,read,2000000,105,7,49098782,47575295,49385715,4916.55,3.69
rust,rigidbody_at_rest,write,4000000,57,7,51867024,50869443,52266003,2819.46,2.69
rust,rigidbody_at_rest,read,4000000,57,7,89918287,81370275,91433623,4887.91,11.19
rust,chat,write,4000000,13,7,66804543,65650272,67344319,828.23,2.54
rust,chat,read,4000000,13,7,91360182,87153485,92712239,1132.66,6.08
rust,test,write,16000000,6,7,228836087,226721890,230197746,1309.41,1.52
rust,test,read,16000000,6,7,217422940,215333544,219140057,1244.10,1.75
rust,inputpacket,write,2000000,61,7,39848112,39636042,39946605,2318.13,0.78
rust,inputpacket,read,2000000,61,7,18996366,18029192,19181049,1105.10,6.06
rust,shipcreate,write,4000000,28,7,66209180,66045154,66737389,1767.98,1.05
rust,shipcreate,read,4000000,28,7,54434883,48974070,54872193,1453.57,10.84
rust,ship_shallow,write,4000000,28,7,84896175,84389966,85589798,2266.97,1.41
rust,ship_shallow,read,4000000,28,7,39182314,38784760,39466382,1046.28,1.74
rust,probe_header,write,16000000,10,7,199285996,198860074,199752182,1900.54,0.45
rust,probe_header,read,16000000,10,7,157970540,153379319,161143718,1506.52,4.92
rust,probebits,write,4000000,26,7,98820332,97839781,99210040,2450.30,1.39
rust,probebits,read,4000000,26,7,127579836,124590215,131264642,3163.41,5.23
rust,probearray,write,2000000,47,7,39208832,38814570,39460120,1757.45,1.65
rust,probearray,read,2000000,47,7,68997637,68390780,69597898,3092.66,1.75
rust,testdata,write,1000000,92,7,14920604,14875520,15018031,1309.10,0.96
rust,testdata,read,1000000,92,7,10087433,10069125,10119994,885.05,0.50
rust,message_batch,write,3276800,25,7,71580235,69200390,74325765,1706.61,7.16
rust,message_batch,read,3276800,25,7,50406523,48672967,50716476,1201.79,4.05
# run: 2
rust,rigidbody_moving,write,2000000,105,7,26338344,26233981,26434790,2637.41,0.76
rust,rigidbody_moving,read,2000000,105,7,48716127,47757583,49228395,4878.23,3.02
rust,rigidbody_at_rest,write,4000000,57,7,51798598,50710020,51927624,2815.74,2.35
rust,rigidbody_at_rest,read,4000000,57,7,90792763,89058430,91965651,4935.44,3.20
rust,chat,write,4000000,13,7,66782517,66337008,66997841,827.95,0.99
rust,chat,read,4000000,13,7,92944992,92740451,93089013,1152.31,0.38
rust,test,write,16000000,6,7,228281049,223711692,230878982,1306.23,3.14
rust,test,read,16000000,6,7,217047623,215826247,217643149,1241.96,0.84
rust,inputpacket,write,2000000,61,7,39605235,38623025,40015873,2304.00,3.52
rust,inputpacket,read,2000000,61,7,19572743,19387806,19604944,1138.63,1.11
rust,shipcreate,write,4000000,28,7,65189491,48763242,66223978,1740.75,26.78
rust,shipcreate,read,4000000,28,7,54285041,49812942,54875016,1449.57,9.32
rust,ship_shallow,write,4000000,28,7,85089486,84764170,85144653,2272.13,0.45
rust,ship_shallow,read,4000000,28,7,39317320,39052076,39405955,1049.89,0.90
rust,probe_header,write,16000000,10,7,199589385,197929778,200570478,1903.43,1.32
rust,probe_header,read,16000000,10,7,153976194,146856693,161113901,1468.43,9.26
rust,probebits,write,4000000,26,7,98267826,54303527,98950607,2436.60,45.43
rust,probebits,read,4000000,26,7,125003906,121410027,134412364,3099.54,10.40
rust,probearray,write,2000000,47,7,39044134,18161201,39404888,1750.06,54.41
rust,probearray,read,2000000,47,7,68296098,68130333,68739743,3061.22,0.89
rust,testdata,write,1000000,92,7,14880021,14619981,14965822,1305.54,2.32
rust,testdata,read,1000000,92,7,10154204,10116470,10194719,890.91,0.77
rust,message_batch,write,3276800,25,7,76470445,70564801,78452090,1823.20,10.31
rust,message_batch,read,3276800,25,7,49217490,48691139,49843359,1173.44,2.34
# run: 3
rust,rigidbody_moving,write,2000000,105,7,26068638,26045609,26163998,2610.40,0.45
rust,rigidbody_moving,read,2000000,105,7,48366278,47667661,48802508,4843.20,2.35
rust,rigidbody_at_rest,write,4000000,57,7,51580153,51518038,51687572,2803.87,0.33
rust,rigidbody_at_rest,read,4000000,57,7,90191657,89418945,91274623,4902.77,2.06
rust,chat,write,4000000,13,7,66474123,66173079,67048424,824.13,1.32
rust,chat,read,4000000,13,7,92406409,91547671,92732658,1145.63,1.28
rust,test,write,16000000,6,7,229205700,227139638,230702264,1311.53,1.55
rust,test,read,16000000,6,7,217600479,215640689,218820377,1245.12,1.46
rust,inputpacket,write,2000000,61,7,39750203,39694518,39828274,2312.43,0.34
rust,inputpacket,read,2000000,61,7,19556412,19215818,19761463,1137.68,2.79
rust,shipcreate,write,4000000,28,7,66308051,65937553,66594339,1770.62,0.99
rust,shipcreate,read,4000000,28,7,54221083,53953408,54593627,1447.86,1.18
rust,ship_shallow,write,4000000,28,7,84554977,83907648,85198606,2257.86,1.53
rust,ship_shallow,read,4000000,28,7,39264575,38895419,39397449,1048.48,1.28
rust,probe_header,write,16000000,10,7,198400089,198120434,199420643,1892.09,0.66
