# schema bench results — rust LTO / codegen-units experiment (bench/rust config-only)
# date: 2026-08-07T14:50:00Z
# host: macbook  arch: arm64  os: Darwin 25.5.0
# cpu: Apple M2
# build: Release, six [profile.release] variants of bench/rust at schema cb0ab7d (rust-emit-levers)
# variants: default (opt-level 3, lto off, cu 16) | thin (lto="thin") | fat (lto=true) | cu1 (codegen-units=1) | thin-cu1 | fat-cu1
# rust: cargo 1.97.1 (c980f4866 2026-06-30); rustc 1.97.1 (8bab26f4f 2026-07-14)
# pinning: none
# noise: quiet window (sibling lanes idle, verified); ambient desktop only
# method: interleaved default,thin,fat,cu1,thin-cu1,fat-cu1 x3 reps from bench/rust; each run median-of-7 after warmup; golden self-check gated
# serialize.rs commit: 422e4fa
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct
# variant: default run: 1
rust,rigidbody_moving,write,2000000,105,7,26902030,26435925,27127993,2693.86,2.57
rust,rigidbody_moving,read,2000000,105,7,50141232,49455526,50438605,5020.93,1.96
rust,rigidbody_at_rest,write,4000000,57,7,52495333,52212959,52885015,2853.62,1.28
rust,rigidbody_at_rest,read,4000000,57,7,92248972,90285471,92771461,5014.60,2.69
rust,chat,write,4000000,13,7,68454274,67858574,69018720,848.68,1.69
rust,chat,read,4000000,13,7,94071441,91021142,95064659,1166.28,4.30
rust,test,write,16000000,6,7,231315408,229359031,231972729,1323.60,1.13
rust,test,read,16000000,6,7,207948958,206673842,209380347,1189.89,1.30
rust,inputpacket,write,2000000,61,7,40059556,39854134,40206999,2330.43,0.88
rust,inputpacket,read,2000000,61,7,19435701,19350415,19472395,1130.66,0.63
rust,shipcreate,write,4000000,28,7,66705161,66492033,67321415,1781.22,1.24
rust,shipcreate,read,4000000,28,7,54362968,54192311,54633675,1451.65,0.81
rust,ship_shallow,write,4000000,28,7,84831881,84270106,85314299,2265.26,1.23
rust,ship_shallow,read,4000000,28,7,39299020,39195976,39568359,1049.40,0.95
rust,probe_header,write,16000000,10,7,199579533,198357353,200326364,1903.34,0.99
rust,probe_header,read,16000000,10,7,166196210,165368267,166929595,1584.97,0.94
rust,probebits,write,4000000,26,7,98879060,98166134,99105879,2451.76,0.95
rust,probebits,read,4000000,26,7,128509411,123894946,131073229,3186.46,5.59
rust,probearray,write,2000000,47,7,39663292,39409352,39774248,1777.82,0.92
rust,probearray,read,2000000,47,7,68875364,68590829,69077668,3087.18,0.71
rust,testdata,write,1000000,92,7,16324376,16266676,16410593,1432.27,0.88
rust,testdata,read,1000000,92,7,15205637,15095403,15286283,1334.11,1.26
rust,message_batch,write,3276800,25,7,68668903,64245312,70269720,1637.19,8.77
rust,message_batch,read,3276800,25,7,49188184,48445244,49797059,1172.74,2.75
# variant: default run: 2
rust,rigidbody_moving,write,2000000,105,7,26122492,25576415,26268279,2615.80,2.65
rust,rigidbody_moving,read,2000000,105,7,47265680,45518469,48093878,4732.99,5.45
rust,rigidbody_at_rest,write,4000000,57,7,50374899,47775717,51810703,2738.35,8.01
rust,rigidbody_at_rest,read,4000000,57,7,87466824,86975429,88895473,4754.65,2.20
rust,chat,write,4000000,13,7,65108758,63171028,65895234,807.20,4.18
rust,chat,read,4000000,13,7,90349881,37937317,92352715,1120.14,60.23
rust,test,write,16000000,6,7,224164461,221475386,227301382,1282.68,2.60
rust,test,read,16000000,6,7,204563581,190994604,209154201,1170.52,8.88
rust,inputpacket,write,2000000,61,7,37863639,35009128,39532983,2202.68,11.95
rust,inputpacket,read,2000000,61,7,18997036,17883023,19613828,1105.14,9.11
rust,shipcreate,write,4000000,28,7,66006646,63319025,67068426,1762.57,5.68
