# schema bench results
# date: 2026-08-07T06:16:04Z
# host: macbook  arch: arm64  os: Darwin 25.5.0
# cpu: Apple M2
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -I../serialize
# go: go version go1.26.5 darwin/arm64 (go run, default optimized build)
# rust: cargo 1.97.1 (c980f4866 2026-06-30); rustc 1.97.1 (8bab26f4f 2026-07-14) (cargo run --release: opt-level 3, no LTO)
# dotnet: 10.0.302 (dotnet run -c Release, workstation GC)
# pinning: none
# noise: unlabelled
# schema commit: be5441f
# serialize commit: 378892c
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct
cpp,rigidbody_moving,write,2000000,105,7,23775217,22287589,23939875,2380.75,6.95
cpp,rigidbody_moving,read,2000000,105,7,86367287,84719137,88303308,8648.46,4.15
cpp,rigidbody_at_rest,write,4000000,57,7,43677420,42512262,44133244,2374.28,3.71
cpp,rigidbody_at_rest,read,4000000,57,7,123555780,121407720,126927546,6716.42,4.47
cpp,chat,write,4000000,13,7,106263221,105453137,108102385,1317.43,2.49
cpp,chat,read,4000000,13,7,131789203,130756164,135156061,1633.89,3.34
cpp,test,write,16000000,6,7,748273990,738420357,760872150,4281.66,3.00
cpp,test,read,16000000,6,7,563583687,560637128,567391801,3224.85,1.20
cpp,inputpacket,write,2000000,61,7,38496889,37064549,38676584,2239.52,4.19
cpp,inputpacket,read,2000000,61,7,44721344,44341474,44799731,2601.63,1.02
cpp,shipcreate,write,4000000,28,7,68178525,67848263,68932685,1820.56,1.59
cpp,shipcreate,read,4000000,28,7,112526814,109358214,113239998,3004.79,3.45
cpp,ship_shallow,write,4000000,28,7,71197656,70027500,72836859,1901.18,3.95
cpp,ship_shallow,read,4000000,28,7,118268550,116082788,120850485,3158.11,4.03
cpp,probe_header,write,16000000,10,7,967018154,518904906,1025994535,9222.20,52.44
cpp,probe_header,read,16000000,10,7,572903471,174011634,606516252,5463.63,75.49
cpp,probebits,write,4000000,26,7,91761886,90785723,93481786,2275.28,2.94
cpp,probebits,read,4000000,26,7,492231964,481113759,514499825,12205.15,6.78
cpp,probearray,write,2000000,47,7,45919129,44765888,46685249,2058.22,4.18
cpp,probearray,read,2000000,47,7,65861330,64130056,70371843,2952.08,9.48
cpp,testdata,write,1000000,92,7,20002884,19965227,20128892,1755.01,0.82
cpp,testdata,read,1000000,92,7,25789204,25578010,25900585,2262.69,1.25
cpp,message_batch,write,3276800,25,7,79944782,73265307,88710714,1906.03,19.32
cpp,message_batch,read,3276800,25,7,68921964,67439538,69123754,1643.23,2.44
go,rigidbody_moving,write,2000000,105,7,17619981,17598062,17659271,1764.39,0.35
go,rigidbody_moving,read,2000000,105,7,23525941,23278325,24183992,2355.79,3.85
go,rigidbody_at_rest,write,4000000,57,7,29435203,29295462,29598588,1600.08,1.03
go,rigidbody_at_rest,read,4000000,57,7,41190403,40954461,41345735,2239.09,0.95
go,chat,write,4000000,13,7,31002975,30860745,31080836,384.37,0.71
go,chat,read,4000000,13,7,69086319,68799154,69326594,856.52,0.76
go,test,write,16000000,6,7,65910119,64749606,66088348,377.14,2.03
go,test,read,16000000,6,7,84476274,84085615,84658082,483.38,0.68
go,inputpacket,write,2000000,61,7,12622212,12567893,12735419,734.29,1.33
