# schema bench results
# date: 2026-08-07T06:13:12Z
# host: macbook  arch: arm64  os: Darwin 25.5.0
# cpu: Apple M2
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -I../serialize
# go: go version go1.26.5 darwin/arm64 (go run, default optimized build)
# rust: cargo 1.97.1 (c980f4866 2026-06-30); rustc 1.97.1 (8bab26f4f 2026-07-14) (cargo run --release: opt-level 3, no LTO)
# dotnet: 10.0.302 (dotnet run -c Release, workstation GC)
# pinning: none
# noise: unlabelled
# schema commit: be5441f
# serialize commit: 378892c
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct
cpp,rigidbody_moving,write,2000000,105,7,23747516,23479265,23887359,2377.98,1.72
cpp,rigidbody_moving,read,2000000,105,7,84232842,81627792,85760075,8434.72,4.91
cpp,rigidbody_at_rest,write,4000000,57,7,43749775,43168049,43977187,2378.21,1.85
cpp,rigidbody_at_rest,read,4000000,57,7,122420871,116818022,125547308,6654.73,7.13
cpp,chat,write,4000000,13,7,105140954,103508062,106525343,1303.51,2.87
cpp,chat,read,4000000,13,7,132619034,130824944,134582900,1644.18,2.83
cpp,test,write,16000000,6,7,742544127,726649295,750796266,4248.87,3.25
cpp,test,read,16000000,6,7,557929488,554776210,565611699,3192.50,1.94
cpp,inputpacket,write,2000000,61,7,38411862,38011642,38489480,2234.58,1.24
cpp,inputpacket,read,2000000,61,7,44238572,44050477,44454530,2573.54,0.91
cpp,shipcreate,write,4000000,28,7,67962052,67560578,68295223,1814.78,1.08
cpp,shipcreate,read,4000000,28,7,111142886,108384071,112689547,2967.84,3.87
cpp,ship_shallow,write,4000000,28,7,69925893,68957592,71345123,1867.22,3.41
cpp,ship_shallow,read,4000000,28,7,117514278,114763761,120158307,3137.97,4.59
cpp,probe_header,write,16000000,10,7,1052207582,996393241,1077353369,10034.63,7.69
cpp,probe_header,read,16000000,10,7,610665649,606898746,622676105,5823.76,2.58
cpp,probebits,write,4000000,26,7,93177829,88517852,93582575,2310.39,5.44
cpp,probebits,read,4000000,26,7,497308811,487943706,505720970,12331.04,3.57
cpp,probearray,write,2000000,47,7,46659927,45633275,46935686,2091.42,2.79
cpp,probearray,read,2000000,47,7,65100812,63722679,67497163,2917.99,5.80
cpp,testdata,write,1000000,92,7,19961690,19904277,20038106,1751.40,0.67
cpp,testdata,read,1000000,92,7,25647273,25078920,25876123,2250.24,3.11
cpp,message_batch,write,3276800,25,7,80101611,32631153,92181751,1909.77,74.34
cpp,message_batch,read,3276800,25,7,68186701,66045209,69311575,1625.70,4.79
go,rigidbody_moving,write,2000000,105,7,17604265,17517992,17615817,1762.82,0.56
go,rigidbody_moving,read,2000000,105,7,24106466,24075356,24164257,2413.92,0.37
go,rigidbody_at_rest,write,4000000,57,7,29404747,29133815,29549781,1598.43,1.41
