# schema bench results
# date: 2026-08-14T09:49:25Z
# host: macbook  arch: arm64  os: Darwin 25.5.0
# cpu: Apple M2
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -Itest -I../serialize
# c compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# c flags: -O3 -DNDEBUG -std=c99 -Wall -Wextra -Werror -Igenerated/c -I../serialize.c (serialize.c compiled in, no LTO)
# go: go version go1.26.5 darwin/arm64 (go run, default optimized build)
# rust: cargo 1.97.1 (c980f4866 2026-06-30); rustc 1.97.1 (8bab26f4f 2026-07-14) (cargo run --release: opt-level 3, no LTO)
# dotnet: 10.0.302 (dotnet run -c Release, workstation GC)
# pinning: none
# noise: unlabelled
# schema commit: bd379a6
# serialize commit: f8eb71f
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct
cpp,rigidbody_moving,write,2000000,105,7,58361998,53281473,58542582,5844.13,9.01
cpp,rigidbody_moving,read,2000000,105,7,87075145,85525063,89015160,8719.34,4.01
cpp,rigidbody_at_rest,write,4000000,57,7,104371196,102086826,104976660,5673.56,2.77
cpp,rigidbody_at_rest,read,4000000,57,7,123646331,116641455,126093797,6721.34,7.64
cpp,chat,write,4000000,13,7,105915491,105242040,106412695,1313.12,1.11
cpp,chat,read,4000000,13,7,133971749,130525052,135588050,1660.95,3.78
cpp,test,write,16000000,6,7,713236305,671709131,727971744,4081.17,7.89
cpp,test,read,16000000,6,7,557291442,548286325,562940078,3188.85,2.63
cpp,inputpacket,write,2000000,61,7,64986142,64044918,65455112,3780.51,2.17
cpp,inputpacket,read,2000000,61,7,46260111,45796632,46932336,2691.14,2.46
cpp,shipcreate,write,4000000,28,7,102086716,101494723,102563774,2726.01,1.05
cpp,shipcreate,read,4000000,28,7,110332148,107743019,112405466,2946.19,4.23
cpp,ship_shallow,write,4000000,28,7,123758547,122291436,124544956,3304.71,1.82
cpp,ship_shallow,read,4000000,28,7,118286033,111828288,120027605,3158.58,6.93
cpp,probe_header,write,16000000,10,7,1047889122,972092854,1058653220,9993.45,8.26
cpp,probe_header,read,16000000,10,7,620926165,614949044,629337957,5921.61,2.32
cpp,probebits,write,4000000,26,7,184192100,178612630,190375337,4567.14,6.39
cpp,probebits,read,4000000,26,7,496842997,492295091,512286881,12319.49,4.02
cpp,probearray,write,2000000,47,7,73211802,73067923,73665957,3281.55,0.82
cpp,probearray,read,2000000,47,7,68881197,67882135,70619704,3087.44,3.97
cpp,testdata,write,1000000,92,7,28146286,28051146,28356125,2469.50,1.08
cpp,testdata,read,1000000,92,7,25838013,25623314,25944880,2266.98,1.24
cpp,message_batch,write,3276800,25,7,76516425,72985238,78806251,1824.29,7.61
cpp,message_batch,read,3276800,25,7,76213884,74691923,78230144,1817.08,4.64
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct
c,rigidbody_moving,write,2000000,105,7,38808577,36803945,39665225,3886.13,7.37
c,rigidbody_moving,read,2000000,105,7,46855965,46012976,47092065,4691.96,2.30
c,rigidbody_at_rest,write,4000000,57,7,67176085,65379775,67565285,3651.65,3.25
c,rigidbody_at_rest,read,4000000,57,7,91284603,90381182,92534758,4962.18,2.36
c,chat,write,4000000,13,7,59771077,59415059,60116927,741.03,1.17
c,chat,read,4000000,13,7,184145107,182999360,184561436,2282.99,0.85
c,test,write,16000000,6,7,228741351,126510216,232311646,1308.87,46.25
c,test,read,16000000,6,7,431767276,431162253,434016004,2470.59,0.66
c,inputpacket,write,2000000,61,7,33846102,33262374,34015341,1968.97,2.22
c,inputpacket,read,2000000,61,7,30543677,30353159,30782017,1776.85,1.40
c,shipcreate,write,4000000,28,7,53712905,53304904,53840149,1434.29,1.00
c,shipcreate,read,4000000,28,7,71366126,70851637,71764326,1905.68,1.28
c,ship_shallow,write,4000000,28,7,44870716,28083774,45097862,1198.18,37.92
c,ship_shallow,read,4000000,28,7,48677790,48509544,48843627,1299.84,0.69
c,probe_header,write,16000000,10,7,204363153,203084343,205312460,1948.96,1.09
c,probe_header,read,16000000,10,7,229400548,129176019,231900862,2187.73,44.78
c,probebits,write,4000000,26,7,121902904,120001200,123422506,3022.65,2.81
c,probebits,read,4000000,26,7,179436569,176616036,181554103,4449.23,2.75
c,probearray,write,2000000,47,7,32223243,32000000,32607278,1444.33,1.88
c,probearray,read,2000000,47,7,39556180,39170372,39911397,1773.01,1.87
c,testdata,write,1000000,92,7,9134589,6106385,9189065,801.45,33.75
c,testdata,read,1000000,92,7,12096725,12014032,12128563,1061.34,0.95
c,message_batch,write,3276800,25,7,80078201,72554968,83137971,1909.21,13.22
c,message_batch,read,3276800,25,7,89923161,83827066,100651185,2143.94,18.71
go,rigidbody_moving,write,2000000,105,7,18397586,18065440,18876049,1842.26,4.41
go,rigidbody_moving,read,2000000,105,7,24678892,24346129,24752131,2471.24,1.65
go,rigidbody_at_rest,write,4000000,57,7,34136392,33399890,34842409,1855.64,4.23
go,rigidbody_at_rest,read,4000000,57,7,41734285,41415549,42157442,2268.65,1.78
go,chat,write,4000000,13,7,34028640,33174430,34113926,421.88,2.76
go,chat,read,4000000,13,7,72121235,71284782,72353283,894.14,1.48
go,test,write,16000000,6,7,107663059,107153919,108279978,616.05,1.05
go,test,read,16000000,6,7,85039550,84562443,85304595,486.60,0.87
go,inputpacket,write,2000000,61,7,16805075,16677240,16827185,977.62,0.89
go,inputpacket,read,2000000,61,7,16464237,16436859,16555309,957.79,0.72
go,shipcreate,write,4000000,28,7,31567961,31499721,31667355,842.96,0.53
go,shipcreate,read,4000000,28,7,22502250,21641874,22627885,600.87,4.38
go,ship_shallow,write,4000000,28,7,35617398,35179758,35741438,951.09,1.58
go,ship_shallow,read,4000000,28,7,26478975,26406199,26509034,707.06,0.39
go,probe_header,write,16000000,10,7,86431376,66532032,86685453,824.27,23.32
go,probe_header,read,16000000,10,7,75874333,52830737,79098703,723.59,34.62
go,probebits,write,4000000,26,7,63063549,62330175,63254358,1563.69,1.47
go,probebits,read,4000000,26,7,63801280,62067427,63989634,1581.99,3.01
go,probearray,write,2000000,47,7,20283821,14445387,20362780,909.18,29.17
go,probearray,read,2000000,47,7,17776428,17647519,17808316,796.79,0.90
go,testdata,write,1000000,92,7,9298797,9288422,9307405,815.86,0.20
go,testdata,read,1000000,92,7,10017543,9971743,10119055,878.92,1.47
go,message_batch,write,3276800,25,7,40183578,38572938,40425915,958.05,4.61
go,message_batch,read,3276800,25,7,37867999,37760324,38000622,902.84,0.63
rust,rigidbody_moving,write,2000000,105,7,26776136,26738281,26804172,2681.25,0.25
rust,rigidbody_moving,read,2000000,105,7,50041961,49465361,50544087,5010.99,2.16
rust,rigidbody_at_rest,write,4000000,57,7,52613782,51394916,52746470,2860.06,2.57
rust,rigidbody_at_rest,read,4000000,57,7,92647100,42844060,93636795,5036.24,54.82
rust,chat,write,4000000,13,7,67804176,66635246,68007742,840.62,2.02
rust,chat,read,4000000,13,7,95676231,95339393,96542376,1186.17,1.26
rust,test,write,16000000,6,7,232197299,230412394,233577778,1328.64,1.36
rust,test,read,16000000,6,7,219064175,215109900,221995728,1253.50,3.14
rust,inputpacket,write,2000000,61,7,40091776,40033661,40412238,2332.30,0.94
rust,inputpacket,read,2000000,61,7,19770440,19024970,19960345,1150.13,4.73
rust,shipcreate,write,4000000,28,7,67533345,66815936,67789285,1803.33,1.44
rust,shipcreate,read,4000000,28,7,55478662,51770441,55641368,1481.44,6.98
rust,ship_shallow,write,4000000,28,7,86424044,84583361,86826126,2307.77,2.60
rust,ship_shallow,read,4000000,28,7,36976252,36717304,37726314,987.37,2.73
rust,probe_header,write,16000000,10,7,200289273,199243393,201857085,1910.11,1.30
rust,probe_header,read,16000000,10,7,167424437,164149213,170740122,1596.68,3.94
rust,probebits,write,4000000,26,7,100693844,100427023,100910824,2496.76,0.48
rust,probebits,read,4000000,26,7,130250202,129082225,134957129,3229.62,4.51
rust,probearray,write,2000000,47,7,40211445,39892788,40428373,1802.39,1.33
rust,probearray,read,2000000,47,7,70616170,69964727,71116800,3165.21,1.63
rust,testdata,write,1000000,92,7,16427161,16139401,16516993,1441.29,2.30
rust,testdata,read,1000000,92,7,15317034,15292576,15452637,1343.89,1.04
rust,message_batch,write,3276800,25,7,72315720,68069254,73190439,1724.14,7.08
rust,message_batch,read,3276800,25,7,43930233,43597586,43951077,1047.38,0.80
cs,rigidbody_moving,write,2000000,105,7,32042244,27642980,33254962,3208.58,17.51
cs,rigidbody_moving,read,2000000,105,7,36263220,35783937,36374880,3631.25,1.63
cs,rigidbody_at_rest,write,4000000,57,7,53435431,52711478,53594661,2904.72,1.65
cs,rigidbody_at_rest,read,4000000,57,7,56905885,56749260,57100114,3093.37,0.62
cs,chat,write,4000000,13,7,40495626,39989883,40828325,502.06,2.07
cs,chat,read,4000000,13,7,79707315,78615580,80283239,988.19,2.09
cs,test,write,16000000,6,7,125467268,124689640,126039431,717.93,1.08
cs,test,read,16000000,6,7,156873819,156027387,157538151,897.64,0.96
cs,inputpacket,write,2000000,61,7,33004771,32677603,33087712,1920.02,1.24
cs,inputpacket,read,2000000,61,7,28685350,28627989,28796328,1668.75,0.59
cs,shipcreate,write,4000000,28,7,52553095,51933281,53046106,1403.32,2.12
cs,shipcreate,read,4000000,28,7,50391796,30271337,50582969,1345.61,40.31
cs,ship_shallow,write,4000000,28,7,55093307,54885872,55293067,1471.15,0.74
