# schema bench results
# date: 2026-08-14T06:21:26Z
# host: macbook  arch: arm64  os: Darwin 25.5.0
# cpu: Apple M2
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -Itest -I../serialize
# c compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# c flags: -O3 -DNDEBUG -std=c99 -Wall -Wextra -Werror -Igenerated/c -I../serialize.c (serialize.c compiled in, no LTO)
# go: go version go1.26.5 darwin/arm64 (go run, default optimized build)
# rust: cargo 1.97.1 (c980f4866 2026-06-30); rustc 1.97.1 (8bab26f4f 2026-07-14) (cargo run --release: opt-level 3, no LTO)
# dotnet: 10.0.302 (dotnet run -c Release, workstation GC)
# pinning: none
# noise: NOISY: shared desktop — GUI compositor and an unrelated qemu VM active on other cores; spotlight settled before the run
# schema commit: bfd977f
# serialize commit: 1a99090
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct
cpp,rigidbody_moving,write,2000000,105,7,58790173,53213072,58930775,5887.00,9.73
cpp,rigidbody_moving,read,2000000,105,7,87281456,85450914,88799923,8740.00,3.84
cpp,rigidbody_at_rest,write,4000000,57,7,102621663,101379072,103827785,5578.46,2.39
cpp,rigidbody_at_rest,read,4000000,57,7,122059603,117099018,127998632,6635.09,8.93
cpp,chat,write,4000000,13,7,105369104,94036795,106812644,1306.34,12.12
cpp,chat,read,4000000,13,7,132475006,123530977,134092448,1642.39,7.97
cpp,test,write,16000000,6,7,709479310,651543184,747125308,4059.67,13.47
cpp,test,read,16000000,6,7,547924095,523457436,552603863,3135.25,5.32
cpp,inputpacket,write,2000000,61,7,64155427,63096708,64396424,3732.19,2.03
cpp,inputpacket,read,2000000,61,7,45438797,21793100,46070919,2643.36,53.43
cpp,shipcreate,write,4000000,28,7,100897463,99344431,101490966,2694.25,2.13
cpp,shipcreate,read,4000000,28,7,107903846,105480478,111195923,2881.34,5.30
cpp,ship_shallow,write,4000000,28,7,121516834,120622413,122498665,3244.85,1.54
cpp,ship_shallow,read,4000000,28,7,115736414,113014703,118220777,3090.50,4.50
cpp,probe_header,write,16000000,10,7,989106963,950873988,1044986132,9432.86,9.51
cpp,probe_header,read,16000000,10,7,605470982,580674423,610791929,5774.22,4.97
cpp,probebits,write,4000000,26,7,175866052,171338012,179235898,4360.69,4.49
cpp,probebits,read,4000000,26,7,500218845,425239766,513201528,12403.19,17.58
cpp,probearray,write,2000000,47,7,72547774,71360397,74346103,3251.79,4.12
cpp,probearray,read,2000000,47,7,67153811,61308319,68953232,3010.01,11.38
cpp,testdata,write,1000000,92,7,27932376,27499158,28086107,2450.73,2.10
cpp,testdata,read,1000000,92,7,24759012,24424050,24934650,2172.31,2.06
cpp,message_batch,write,3276800,25,7,74622537,71977508,77723652,1779.14,7.70
cpp,message_batch,read,3276800,25,7,74624945,73405977,77897257,1779.20,6.02
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct
c,rigidbody_moving,write,2000000,105,7,16449939,15956089,17030843,1647.23,6.53
c,rigidbody_moving,read,2000000,105,7,21113082,20974694,21479509,2114.18,2.39
c,rigidbody_at_rest,write,4000000,57,7,30567953,30162273,31534053,1661.66,4.49
c,rigidbody_at_rest,read,4000000,57,7,34955563,33867881,35647447,1900.16,5.09
c,chat,write,4000000,13,7,50142279,49981257,50593845,621.65,1.22
c,chat,read,4000000,13,7,24994064,24527839,25115847,309.87,2.35
