# schema bench results
# date: 2026-08-14T09:55:32Z
# host: spacegame  arch: x86_64  os: Linux 6.8.0-90-generic
# cpu: AMD EPYC 9124 16-Core Processor
# build: Release
# cpp compiler: c++ (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -Itest -I../serialize
# c compiler: cc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0
# c flags: -O3 -DNDEBUG -std=c99 -Wall -Wextra -Werror -Igenerated/c -I../serialize.c (serialize.c compiled in, no LTO)
# go: not present (go run, default optimized build)
# rust: not present (cargo run --release: opt-level 3, no LTO)
# dotnet: not present (dotnet run -c Release, workstation GC)
# pinning: taskset -c 15
# noise: unlabeled
# schema commit: bd379a6
# serialize commit: 1a99090
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct
cpp,rigidbody_moving,write,2000000,105,7,26030314,26010899,26044796,2606.57,0.13
cpp,rigidbody_moving,read,2000000,105,7,36604555,36602106,36611264,3665.43,0.03
cpp,rigidbody_at_rest,write,4000000,57,7,42868810,42865338,42873566,2330.32,0.02
cpp,rigidbody_at_rest,read,4000000,57,7,72521012,72514469,72523035,3942.20,0.01
cpp,chat,write,4000000,13,7,43799940,43761205,43824124,543.02,0.14
cpp,chat,read,4000000,13,7,86009004,85998451,86171614,1066.32,0.20
cpp,test,write,16000000,6,7,160856710,160854288,160858017,920.43,0.00
cpp,test,read,16000000,6,7,261305475,261057085,261488587,1495.20,0.17
cpp,inputpacket,write,2000000,61,7,39317492,39291747,39335433,2287.26,0.11
cpp,inputpacket,read,2000000,61,7,45529139,45521322,45531309,2648.62,0.02
cpp,shipcreate,write,4000000,28,7,41870855,41870054,41875516,1118.07,0.01
cpp,shipcreate,read,4000000,28,7,87917704,87896236,87933825,2347.66,0.04
cpp,ship_shallow,write,4000000,28,7,66492075,66418941,67075129,1775.53,0.99
cpp,ship_shallow,read,4000000,28,7,93567600,93560279,93574221,2498.52,0.01
cpp,probe_header,write,16000000,10,7,154154152,153666670,154157361,1470.13,0.32
cpp,probe_header,read,16000000,10,7,217007302,216994014,217018750,2069.54,0.01
cpp,probebits,write,4000000,26,7,102326654,102244124,102346493,2537.24,0.10
cpp,probebits,read,4000000,26,7,177927040,177888071,177965053,4411.80,0.04
cpp,probearray,write,2000000,47,7,35042213,34956639,35167027,1570.69,0.60
cpp,probearray,read,2000000,47,7,70624034,70614494,70633131,3165.56,0.03
cpp,testdata,write,1000000,92,7,11251982,11224697,11270365,987.23,0.41
cpp,testdata,read,1000000,92,7,30220788,30219104,30222724,2651.51,0.01
cpp,message_batch,write,3276800,25,7,79979613,79408428,80156815,1906.86,0.94
cpp,message_batch,read,3276800,25,7,50720724,50468467,51029182,1209.28,1.11
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct
c,rigidbody_moving,write,2000000,105,7,28878422,28797082,28996976,2891.76,0.69
c,rigidbody_moving,read,2000000,105,7,43014935,43013150,43016545,4307.34,0.01
c,rigidbody_at_rest,write,4000000,57,7,53555417,53452323,53732320,2911.24,0.52
c,rigidbody_at_rest,read,4000000,57,7,73946177,73938290,73950975,4019.67,0.02
c,chat,write,4000000,13,7,41493110,41489554,41493402,514.42,0.01
c,chat,read,4000000,13,7,123293252,123162324,124188527,1528.56,0.83
c,test,write,16000000,6,7,155878932,155841235,156019849,891.95,0.11
c,test,read,16000000,6,7,184914269,184911578,184929420,1058.09,0.01
c,inputpacket,write,2000000,61,7,20096826,20081478,20097265,1169.12,0.08
c,inputpacket,read,2000000,61,7,31880624,31878821,31883003,1854.63,0.01
c,shipcreate,write,4000000,28,7,38034150,38028697,38036246,1015.62,0.02
c,shipcreate,read,4000000,28,7,63772831,63771771,63775017,1702.92,0.01
c,ship_shallow,write,4000000,28,7,32888209,32883357,32895332,878.21,0.04
c,ship_shallow,read,4000000,28,7,44570460,44569431,44570763,1190.16,0.00
c,probe_header,write,16000000,10,7,119403895,119402371,119440966,1138.72,0.03
c,probe_header,read,16000000,10,7,176045241,176011001,176069887,1678.90,0.03
c,probebits,write,4000000,26,7,87302606,87205368,87305488,2164.71,0.11
c,probebits,read,4000000,26,7,134300743,134277935,134324785,3330.06,0.03
c,probearray,write,2000000,47,7,19597329,19552663,19628533,878.41,0.39
c,probearray,read,2000000,47,7,26265450,26206268,26327787,1177.29,0.46
c,testdata,write,1000000,92,7,7941194,7849349,7962744,696.74,1.43
c,testdata,read,1000000,92,7,10964207,10954622,10979434,961.98,0.23
c,message_batch,write,3276800,25,7,65859019,65646747,65928013,1570.20,0.43
c,message_batch,read,3276800,25,7,53288217,53158533,53333975,1270.49,0.33
