# schema bench results
# date: 2026-08-14T13:56:47Z
# host: macbook  arch: arm64  os: Darwin 25.5.0
# cpu: Apple M2
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -O2 -DNDEBUG -DSERIALIZE_RELEASE -DBENCH_OPT="O2" -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -Itest -I../serialize
# c compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# c flags: -O2 -DNDEBUG -DBENCH_OPT="O2" -std=c99 -Wall -Wextra -Werror -Igenerated/c -I../serialize.c (serialize.c compiled in, no LTO)
# go: go version go1.26.5 darwin/arm64 (go run, default optimized build)
# rust: cargo 1.97.1 (c980f4866 2026-06-30); rustc 1.97.1 (8bab26f4f 2026-07-14) (cargo run --release: opt-level 3, no LTO)
# dotnet: 10.0.302 (dotnet run -c Release, workstation GC)
# pinning: none
# noise: overnight autonomous pass; no agents running; machine otherwise idle
# schema commit: 20c11f1
# serialize commit: f8eb71f (degenerate-range-int64-fixed)
# serialize.c commit: de823b8 (main)
# serialize.go commit: 99ddc82 (degenerate-range-compat-and-docs)
# serialize.rs commit: 9fce5bc (docs-state-anchors)
# serialize.cs commit: d3d34c9 (main)
# rounds: 7   interleaved: yes
# langs: cpp c rust
# load_start: 2.60 2.14 1.98
# load_end: 1.91 1.96 2.03
# load_max: 4.18
# core_busy_pct: n/a
# foreign_procs: 3
# control_start_median: 102026714   control_end_median: 99458925
# control_delta_pct: 2.5   window: OK
# corpus_id: 6b118770d85af4f6
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
cpp,rigidbody_moving,write,24000000,105,7,57841384,57451396,58056153,5791.99,1.05,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,rigidbody_moving,read,24000000,105,7,82143758,76710198,82977904,8225.53,7.63,6b118770d85af4f6,gen,hdr,removed,O2,partial:1
cpp,rigidbody_at_rest,write,32000000,57,7,103866400,98342368,104639295,5646.12,6.06,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,rigidbody_at_rest,read,32000000,57,7,126149575,124187485,132732879,6857.42,6.77,6b118770d85af4f6,gen,hdr,removed,O2,partial:1
cpp,chat,write,48000000,13,7,79985169,79229210,80034242,991.64,1.01,6b118770d85af4f6,gen,hdr,removed,O2,partial:1
cpp,chat,read,48000000,13,7,135718028,134767957,135989536,1682.60,0.90,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,test,write,192000000,6,7,749131256,743808736,768216382,4286.56,3.26,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,test,read,192000000,6,7,583868134,582999935,587987973,3340.92,0.85,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,inputpacket,write,16000000,61,7,65896252,64303071,65941539,3833.46,2.49,6b118770d85af4f6,gen,hdr,removed,O2,partial:1
cpp,inputpacket,read,16000000,61,7,46339863,42684613,46565887,2695.78,8.38,6b118770d85af4f6,gen,hdr,removed,O2,partial:1
cpp,shipcreate,write,32000000,28,7,99208477,99168419,99227960,2649.15,0.06,6b118770d85af4f6,gen,hdr,removed,O2,partial:1
cpp,shipcreate,read,32000000,28,7,113270945,104353185,114214551,3024.66,8.71,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,ship_shallow,write,32000000,28,7,125820021,125549340,126321690,3359.76,0.61,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,ship_shallow,read,32000000,28,7,122153295,120395726,123394307,3261.84,2.45,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,probe_header,write,256000000,10,7,1037955132,1016793815,1057013530,9898.71,3.87,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,probe_header,read,256000000,10,7,657534527,644195254,659156318,6270.74,2.28,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,probebits,write,128000000,26,7,184000476,181665643,186837527,4562.39,2.81,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,probebits,read,128000000,26,7,511266419,503736041,523559406,12677.12,3.88,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,probearray,write,20000000,47,7,73966959,73685983,74138533,3315.40,0.61,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,probearray,read,20000000,47,7,69537020,68022998,73065077,3116.84,7.25,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,testdata,write,8000000,92,7,27800631,27760656,27819257,2439.17,0.21,6b118770d85af4f6,gen,hdr,removed,O2,partial:2
cpp,testdata,read,8000000,92,7,25274092,25199003,25791854,2217.50,2.35,6b118770d85af4f6,gen,hdr,removed,O2,partial:6
cpp,message_batch,write,26214400,25,7,75622052,69478860,77810761,1802.97,11.02,6b118770d85af4f6,gen,hdr,removed,O2,partial:2
cpp,message_batch,read,26214400,25,7,67337409,64055406,67724693,1605.45,5.45,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,bench_packet,write,32000000,49,7,52210485,52169043,52245950,2439.80,0.15,6b118770d85af4f6,rt,hdr,removed,O2,partial:6
cpp,bench_packet,read,32000000,49,7,105263504,97551780,109408972,4918.97,11.26,6b118770d85af4f6,rt,hdr,removed,O2,full
cpp,bench_ints,write,40000000,14,7,115555588,114224169,115748709,1542.83,1.32,6b118770d85af4f6,rt,hdr,removed,O2,partial:3
cpp,bench_ints,read,40000000,14,7,155248064,149520134,175195110,2072.79,16.54,6b118770d85af4f6,rt,hdr,removed,O2,full
cpp,bench_bits,write,48000000,20,7,122019757,121969244,122223733,2327.34,0.21,6b118770d85af4f6,rt,hdr,removed,O2,partial:2
cpp,bench_bits,read,48000000,20,7,171153758,166976026,177730246,3264.50,6.28,6b118770d85af4f6,rt,hdr,removed,O2,full
cpp,bench_mixed,write,40000000,21,7,78634402,78367948,79019441,1574.82,0.83,6b118770d85af4f6,rt,hdr,removed,O2,partial:5
