# schema bench results
# era: harness schema 20c11f1 — PRE-7db74ef verdicts, PRE-ab2165a stride (stamped 2026-08-15, issue #20)
# era: the five cpp `partial:1` verdicts below are unroll-inflated and genuinely full —
# era:   7db74ef (attribution stops overcounting unrolled loops) closed this in the
# era:   harness, not in this artifact; quoting them understates C++ inlining.
# era: six verdicts remain `unknown` — closed in the harness by 7db74ef, still
# era:   un-ratioable here under BENCH-STANDARD.md §5.3 rule 7.
# era: rates predate ab2165a (read buffers to 4096+64 stride) — comparable only within
# era:   the pre-ab2165a era; the two eras never share a table.
# date: 2026-08-14T13:21:41Z
# host: macbook  arch: arm64  os: Darwin 25.5.0
# cpu: Apple M2
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -DBENCH_OPT="O3" -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -Itest -I../serialize
# c compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# c flags: -O3 -DNDEBUG -DBENCH_OPT="O3" -std=c99 -Wall -Wextra -Werror -Igenerated/c -I../serialize.c (serialize.c compiled in, no LTO)
# go: go version go1.26.5 darwin/arm64 (go run, default optimized build)
# rust: cargo 1.97.1 (c980f4866 2026-06-30); rustc 1.97.1 (8bab26f4f 2026-07-14) (cargo run --release: opt-level 3, no LTO)
# dotnet: 10.0.302 (dotnet run -c Release, workstation GC)
# pinning: none
# noise: overnight autonomous pass; no agents running; machine otherwise idle
# schema commit: 20c11f1
# serialize commit: f8eb71f (degenerate-range-int64-fixed)
# serialize.c commit: de823b8 (main)
# serialize.go commit: 99ddc82 (degenerate-range-compat-and-docs)
# serialize.rs commit: 9fce5bc (docs-state-anchors)
# serialize.cs commit: d3d34c9 (main)
# rounds: 7   interleaved: yes
# langs: cpp c go rust cs
# load_start: 1.27 1.54 1.50
# load_end: 1.60 1.86 1.87
# load_max: 2.66
# core_busy_pct: n/a
# foreign_procs: 6
# control_start_median: 103553253   control_end_median: 103524328
# control_delta_pct: 0.0   window: OK
# corpus_id: 6b118770d85af4f6
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
cpp,rigidbody_moving,write,24000000,105,7,59087007,58508401,59240317,5916.72,1.24,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,rigidbody_moving,read,24000000,105,7,88161421,84901130,89788226,8828.11,5.54,6b118770d85af4f6,gen,hdr,removed,O3,partial:1
cpp,rigidbody_at_rest,write,32000000,57,7,105285944,104347415,106702530,5723.28,2.24,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,rigidbody_at_rest,read,32000000,57,7,126723033,123295734,134699008,6888.59,9.00,6b118770d85af4f6,gen,hdr,removed,O3,partial:1
cpp,chat,write,48000000,13,7,96155572,95946526,96500597,1192.11,0.58,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,chat,read,48000000,13,7,135156206,132830101,138498560,1675.64,4.19,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,test,write,192000000,6,7,765313877,744335467,767659672,4379.16,3.05,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,test,read,192000000,6,7,751645202,739338909,752619468,4300.95,1.77,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,inputpacket,write,16000000,61,7,66021978,65620319,66047131,3840.77,0.65,6b118770d85af4f6,gen,hdr,removed,O3,partial:1
cpp,inputpacket,read,16000000,61,7,45068476,44249975,46709527,2621.82,5.46,6b118770d85af4f6,gen,hdr,removed,O3,partial:1
cpp,shipcreate,write,32000000,28,7,99869922,97796697,99905103,2666.81,2.11,6b118770d85af4f6,gen,hdr,removed,O3,partial:1
cpp,shipcreate,read,32000000,28,7,114388664,109700416,114847287,3054.51,4.50,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,ship_shallow,write,32000000,28,7,121353624,121109496,121412214,3240.49,0.25,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,ship_shallow,read,32000000,28,7,123496176,120341224,124448590,3297.70,3.33,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probe_header,write,256000000,10,7,1043749302,1025732803,1087559325,9953.97,5.92,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probe_header,read,256000000,10,7,944254992,917468455,985724325,9005.12,7.23,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probebits,write,128000000,26,7,189078303,185963700,190193648,4688.30,2.24,6b118770d85af4f6,gen,hdr,removed,O3,full
