# schema bench results
# date: 2026-08-14T20:39:45Z
# host: macbook  arch: arm64  os: Darwin 25.5.0
# cpu: Apple M2
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -DBENCH_OPT="O3" -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -Itest -I/private/tmp/candidate-worktrees/serialize
# c compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# c flags: -O3 -DNDEBUG -DBENCH_OPT="O3" -std=c99 -Wall -Wextra -Werror -Igenerated/c -I/private/tmp/candidate-worktrees/serialize.c (serialize.c compiled in, no LTO)
# go: go version go1.26.5 darwin/arm64 (go run, default optimized build)
# rust: cargo 1.97.1 (c980f4866 2026-06-30); rustc 1.97.1 (8bab26f4f 2026-07-14) (cargo run --release: opt-level 3, no LTO)
# dotnet: 10.0.302 (dotnet run -c Release, workstation GC)
# pinning: none
# noise: candidate pass, corrected provenance: serialize#45 7fb154e, serialize.c#1 4871f4c, serialize.rs#31 ee5bd52; go/cs at default checkouts; machine idle
# schema commit: c821740
# serialize commit: 7fb154e (HEAD) [build-verified: /private/tmp/candidate-worktrees/serialize]
# serialize.c commit: 4871f4c (HEAD) [build-verified: /private/tmp/candidate-worktrees/serialize.c]
# serialize.go commit: 99ddc82 (degenerate-range-compat-and-docs) [build-verified: /Users/glenn/rowan-working/serialize.go]
# serialize.rs commit: ee5bd52 (HEAD) [build-verified: /private/tmp/candidate-worktrees/serialize.rs]
# serialize.cs commit: d3d34c9 (main) [build-verified: /Users/glenn/rowan-working/serialize.cs]
# rounds: 7   interleaved: yes
# langs: cpp c go rust cs
# load_start: 4.72 3.66 3.18
# load_end: 2.83 4.59 4.22
# load_max: 5.69
# core_busy_pct: n/a
# foreign_procs: 19
# control_start_median: 101252554   control_end_median: 39649462
# control_delta_pct: 60.8   window: INVALID
# corpus_id: 6b118770d85af4f6
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
cpp,rigidbody_moving,write,24000000,105,7,57731593,48409972,58747707,5781.00,17.91,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,rigidbody_moving,read,24000000,105,7,89240756,71960071,90177918,8936.19,20.41,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,rigidbody_at_rest,write,32000000,57,7,103006032,83643812,104759134,5599.35,20.50,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,rigidbody_at_rest,read,32000000,57,7,135155254,106227211,137368853,7346.96,23.04,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,chat,write,48000000,13,7,94377842,80629188,95170966,1170.07,15.41,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,chat,read,48000000,13,7,131291807,113930698,131723305,1627.73,13.55,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,test,write,192000000,6,7,725450171,681531892,730514151,4151.06,6.75,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,test,read,192000000,6,7,1016698968,904271093,1019883294,5817.60,11.37,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,inputpacket,write,16000000,61,7,64401209,53604550,64716083,3746.48,17.25,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,inputpacket,read,16000000,61,7,46357753,37832825,46673816,2696.82,19.07,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,shipcreate,write,32000000,28,7,97368774,78919250,98004598,2600.03,19.60,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,shipcreate,read,32000000,28,7,112723388,87003304,113714771,3010.04,23.70,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,ship_shallow,write,32000000,28,7,118556464,92302578,119490634,3165.80,22.93,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,ship_shallow,read,32000000,28,7,122339669,98785860,123067082,3266.82,19.85,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probe_header,write,256000000,10,7,1008518900,897362160,1015250571,9617.99,11.69,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probe_header,read,256000000,10,7,1398511623,1189660871,1406791803,13337.25,15.53,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probebits,write,128000000,26,7,183576522,141069424,185054522,4551.88,23.96,6b118770d85af4f6,gen,hdr,removed,O3,full
