# schema bench results
# date: 2026-08-14T19:25:07Z
# host: macbook  arch: arm64  os: Darwin 25.5.0
# cpu: Apple M2
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -DBENCH_OPT="O3" -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -Itest -I../serialize
# c compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# c flags: -O3 -DNDEBUG -DBENCH_OPT="O3" -std=c99 -Wall -Wextra -Werror -Igenerated/c -I../serialize.c (serialize.c compiled in, no LTO)
# go: go version go1.26.5 darwin/arm64 (go run, default optimized build)
# rust: cargo 1.97.1 (c980f4866 2026-06-30); rustc 1.97.1 (8bab26f4f 2026-07-14) (cargo run --release: opt-level 3, no LTO)
# dotnet: 10.0.302 (dotnet run -c Release, workstation GC)
# pinning: none
# noise: stride-after; machine idle; items 1-5 landed
# schema commit: ab2165a
# serialize commit: f8eb71f (degenerate-range-int64-fixed)
# serialize.c commit: de823b8 (main)
# serialize.go commit: 99ddc82 (degenerate-range-compat-and-docs)
# serialize.rs commit: 9fce5bc (docs-state-anchors)
# serialize.cs commit: d3d34c9 (main)
# rounds: 3   interleaved: yes
# langs: cpp c go rust cs
# load_start: 1.65 1.71 1.69
# load_end: 1.76 1.98 1.90
# load_max: 1.87
# core_busy_pct: n/a
# foreign_procs: 4
# control_start_median: 103505418   control_end_median: 102639860
# control_delta_pct: 0.8   window: OK
# corpus_id: 6b118770d85af4f6
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
cpp,rigidbody_moving,write,24000000,105,3,59670767,59663980,59898329,5975.18,0.39,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,rigidbody_moving,read,24000000,105,3,93129877,91231771,93227990,9325.64,2.14,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,rigidbody_at_rest,write,32000000,57,3,106031904,104673637,106591934,5763.83,1.81,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,rigidbody_at_rest,read,32000000,57,3,141747028,136302721,141916156,7705.29,3.96,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,chat,write,48000000,13,3,94907926,94791261,95152225,1176.65,0.38,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,chat,read,48000000,13,3,135998334,134942349,139236359,1686.08,3.16,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,test,write,192000000,6,3,765320231,764498088,769437824,4379.20,0.65,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,test,read,192000000,6,3,1041777350,1040137622,1044990851,5961.10,0.47,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,inputpacket,write,16000000,61,3,66013965,65742573,66054834,3840.31,0.47,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,inputpacket,read,16000000,61,3,47258479,43068959,47299984,2749.22,8.95,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,shipcreate,write,32000000,28,3,99869727,99850692,99887782,2666.81,0.04,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,shipcreate,read,32000000,28,3,116179193,115964893,116337214,3102.32,0.32,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,ship_shallow,write,32000000,28,3,121381204,121337001,121404978,3241.23,0.06,6b118770d85af4f6,gen,hdr,removed,O3,full
