# schema bench results
# date: 2026-08-14T18:59:38Z
# host: macbook  arch: arm64  os: Darwin 25.5.0
# cpu: Apple M2
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -DBENCH_OPT="O3" -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -Itest -I../serialize
# c compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# c flags: -O3 -DNDEBUG -DBENCH_OPT="O3" -std=c99 -Wall -Wextra -Werror -Igenerated/c -I../serialize.c (serialize.c compiled in, no LTO)
# go: go version go1.26.5 darwin/arm64 (go run, default optimized build)
# rust: cargo 1.97.1 (c980f4866 2026-06-30); rustc 1.97.1 (8bab26f4f 2026-07-14) (cargo run --release: opt-level 3, no LTO)
# dotnet: 10.0.302 (dotnet run -c Release, workstation GC)
# pinning: none
# noise: stride-before baseline; machine idle; items 1-4 landed
# schema commit: 4493a48
# serialize commit: f8eb71f (degenerate-range-int64-fixed)
# serialize.c commit: de823b8 (main)
# serialize.go commit: 99ddc82 (degenerate-range-compat-and-docs)
# serialize.rs commit: 9fce5bc (docs-state-anchors)
# serialize.cs commit: d3d34c9 (main)
# rounds: 3   interleaved: yes
# langs: cpp c go rust cs
# load_start: 1.32 1.27 1.34
# load_end: 1.74 1.81 1.70
# load_max: 2.02
# core_busy_pct: n/a
# foreign_procs: 2
# control_start_median: 103606016   control_end_median: 103539176
# control_delta_pct: 0.1   window: OK
# corpus_id: 6b118770d85af4f6
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
cpp,rigidbody_moving,write,24000000,105,3,58966719,58966610,59001564,5904.68,0.06,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,rigidbody_moving,read,24000000,105,3,91187128,83867699,91575543,9131.10,8.45,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,rigidbody_at_rest,write,32000000,57,3,105420233,104331652,105680099,5730.58,1.28,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,rigidbody_at_rest,read,32000000,57,3,127394283,127368760,133667270,6925.08,4.94,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,chat,write,48000000,13,3,96108226,96078697,96154344,1191.53,0.08,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,chat,read,48000000,13,3,135703831,134687850,137748277,1682.42,2.26,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,test,write,192000000,6,3,765195558,764429098,765297227,4378.48,0.11,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,test,read,192000000,6,3,740029476,739748749,752274823,4234.48,1.69,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,inputpacket,write,16000000,61,3,66027211,65971798,66039293,3841.08,0.10,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,inputpacket,read,16000000,61,3,47514726,47329676,47533465,2764.13,0.43,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,shipcreate,write,32000000,28,3,99867468,98176123,99931804,2666.75,1.76,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,shipcreate,read,32000000,28,3,112617402,112511053,114807662,3007.21,2.04,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,ship_shallow,write,32000000,28,3,121384389,121356155,121678016,3241.31,0.27,6b118770d85af4f6,gen,hdr,removed,O3,full
