# schema bench results
# date: 2026-08-14T22:44:01Z
# host: studio  arch: arm64  os: Darwin 25.5.0
# cpu: Apple M3 Ultra
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -O2 -DNDEBUG -DSERIALIZE_RELEASE -DBENCH_OPT="O2" -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -Itest -I/private/tmp/claude-502/-Users-rowan-rowan-working-rowan-new/5a69bb12-003d-42b7-88a2-09c5b747ba50/scratchpad/runtimes/serialize
# c compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# c flags: -O2 -DNDEBUG -DBENCH_OPT="O2" -std=c99 -Wall -Wextra -Werror -Igenerated/c -I/private/tmp/claude-502/-Users-rowan-rowan-working-rowan-new/5a69bb12-003d-42b7-88a2-09c5b747ba50/scratchpad/runtimes/serialize.c (serialize.c compiled in, no LTO)
# go: go version go1.26.5 darwin/arm64 (go run, default optimized build)
# rust: cargo 1.97.1 (c980f4866 2026-06-30); rustc 1.97.1 (8bab26f4f 2026-07-14) (cargo run --release: opt-level 3, no LTO)
# dotnet: not present (dotnet run -c Release, workstation GC)
# pinning: none
# noise: Studio re-baseline O2 leg vs merged mains; launchd estate live and untouched; rust deliberately absent (cargo release is opt-level 3 — an explicit O3 row cannot ride in an O2 table, §5.3 rule 4); everything run sequential
# schema commit: c19cdb3
# serialize commit: ae78867 (main) [build-verified: /private/tmp/claude-502/-Users-rowan-rowan-working-rowan-new/5a69bb12-003d-42b7-88a2-09c5b747ba50/scratchpad/runtimes/serialize]
# serialize.c commit: bdb2234 (main) [build-verified: /private/tmp/claude-502/-Users-rowan-rowan-working-rowan-new/5a69bb12-003d-42b7-88a2-09c5b747ba50/scratchpad/runtimes/serialize.c]
# serialize.go commit: a887f89 (main) [build-verified: /private/tmp/claude-502/-Users-rowan-rowan-working-rowan-new/5a69bb12-003d-42b7-88a2-09c5b747ba50/scratchpad/runtimes/serialize.go]
# serialize.rs commit: bbfe1de (main) [build-verified: /private/tmp/claude-502/-Users-rowan-rowan-working-rowan-new/5a69bb12-003d-42b7-88a2-09c5b747ba50/scratchpad/runtimes/serialize.rs]
# serialize.cs commit: d3d34c9 (main) [UNVERIFIED — leg cannot run this invocation; path recorded from the environment, not proven against a build]
# rounds: 7   interleaved: yes
# langs: cpp c go
# skipped: cs (toolchain or runner missing — see pass.log)
# load_start: 3.67 3.61 3.38
# load_end: 1.53 2.69 3.32
# load_max: 4.05
# core_busy_pct: n/a
# foreign_procs: 8
# control_start_median: 145289158   control_end_median: 148287492
# control_delta_pct: 2.1   window: OK
# corpus_id: 6b118770d85af4f6
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
cpp,rigidbody_moving,write,24000000,105,7,70515335,69133899,72358464,7061.11,4.57,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,rigidbody_moving,read,24000000,105,7,112367222,106912169,119517225,11251.98,11.22,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,rigidbody_at_rest,write,32000000,57,7,122974425,119763448,128777105,6684.82,7.33,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,rigidbody_at_rest,read,32000000,57,7,173431120,167243271,179125908,9427.62,6.85,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,chat,write,48000000,13,7,95658451,94256066,97902831,1185.95,3.81,6b118770d85af4f6,gen,hdr,removed,O2,partial:1
cpp,chat,read,48000000,13,7,160949603,152181988,165228874,1995.42,8.11,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,test,write,192000000,6,7,975679372,956179465,1008585235,5582.88,5.37,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,test,read,192000000,6,7,1306033239,1227335704,1321587040,7473.18,7.22,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,inputpacket,write,16000000,61,7,78744791,67941285,80824885,4580.91,16.36,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,inputpacket,read,16000000,61,7,59084786,55800287,60737428,3437.21,8.36,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,shipcreate,write,32000000,28,7,137346031,127709291,140319310,3667.53,9.18,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,shipcreate,read,32000000,28,7,147781289,145729970,149661683,3946.19,2.66,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,ship_shallow,write,32000000,28,7,154128940,151443087,155693233,4115.69,2.76,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,ship_shallow,read,32000000,28,7,158158540,157096304,159958811,4223.29,1.81,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,probe_header,write,256000000,10,7,1291407161,1247727777,1336395328,12315.82,6.87,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,probe_header,read,256000000,10,7,1868551763,1771739198,1898544074,17819.90,6.79,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,probebits,write,128000000,26,7,218365599,207984562,219183915,5414.49,5.13,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,probebits,read,128000000,26,7,944825798,913558404,966207278,23427.46,5.57,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,probearray,write,20000000,47,7,87698239,83055013,89070147,3930.87,6.86,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,probearray,read,20000000,47,7,91863673,87374590,94481475,4117.58,7.74,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,testdata,write,8000000,92,7,31631019,30681596,32903159,2775.24,7.02,6b118770d85af4f6,gen,hdr,removed,O2,partial:2
