# schema bench results
# date: 2026-08-14T22:24:11Z
# host: studio  arch: arm64  os: Darwin 25.5.0
# cpu: Apple M3 Ultra
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -DBENCH_OPT="O3" -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -Itest -I/private/tmp/claude-502/-Users-rowan-rowan-working-rowan-new/5a69bb12-003d-42b7-88a2-09c5b747ba50/scratchpad/runtimes/serialize
# c compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# c flags: -O3 -DNDEBUG -DBENCH_OPT="O3" -std=c99 -Wall -Wextra -Werror -Igenerated/c -I/private/tmp/claude-502/-Users-rowan-rowan-working-rowan-new/5a69bb12-003d-42b7-88a2-09c5b747ba50/scratchpad/runtimes/serialize.c (serialize.c compiled in, no LTO)
# go: go version go1.26.5 darwin/arm64 (go run, default optimized build)
# rust: cargo 1.97.1 (c980f4866 2026-06-30); rustc 1.97.1 (8bab26f4f 2026-07-14) (cargo run --release: opt-level 3, no LTO)
# dotnet: not present (dotnet run -c Release, workstation GC)
# pinning: none
# noise: Studio re-baseline vs merged mains; launchd estate live and untouched (nova-sweep wake 08:33 AEST during rounds; oss-patrol session idle-resident); everything run sequential
# schema commit: 60dfac0
# serialize commit: ae78867 (main) [build-verified: /private/tmp/claude-502/-Users-rowan-rowan-working-rowan-new/5a69bb12-003d-42b7-88a2-09c5b747ba50/scratchpad/runtimes/serialize]
# serialize.c commit: bdb2234 (main) [build-verified: /private/tmp/claude-502/-Users-rowan-rowan-working-rowan-new/5a69bb12-003d-42b7-88a2-09c5b747ba50/scratchpad/runtimes/serialize.c]
# serialize.go commit: a887f89 (main) [build-verified: /private/tmp/claude-502/-Users-rowan-rowan-working-rowan-new/5a69bb12-003d-42b7-88a2-09c5b747ba50/scratchpad/runtimes/serialize.go]
# serialize.rs commit: bbfe1de (main) [build-verified: /private/tmp/claude-502/-Users-rowan-rowan-working-rowan-new/5a69bb12-003d-42b7-88a2-09c5b747ba50/scratchpad/runtimes/serialize.rs]
# serialize.cs commit: d3d34c9 (main) [UNVERIFIED — leg cannot run this invocation; path recorded from the environment, not proven against a build]
# rounds: 7   interleaved: yes
# langs: cpp c go rust
# skipped: cs (toolchain or runner missing — see pass.log)
# load_start: 2.95 2.99 2.83
# load_end: 3.56 3.52 3.33
# load_max: 4.44
# core_busy_pct: n/a
# foreign_procs: 7
# control_start_median: 143921834   control_end_median: 141813190
# control_delta_pct: 1.5   window: OK
# corpus_id: 6b118770d85af4f6
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
cpp,rigidbody_moving,write,24000000,105,7,73666719,71586926,74295479,7376.68,3.68,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,rigidbody_moving,read,24000000,105,7,109528109,108428897,113981379,10967.69,5.07,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,rigidbody_at_rest,write,32000000,57,7,135360903,131726069,136760562,7358.14,3.72,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,rigidbody_at_rest,read,32000000,57,7,179186592,176731665,180160188,9740.48,1.91,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,chat,write,48000000,13,7,137846234,134174299,138661364,1708.99,3.26,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,chat,read,48000000,13,7,160697158,159670569,163565478,1992.29,2.42,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,test,write,192000000,6,7,996812924,972329134,1005067871,5703.81,3.28,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,test,read,192000000,6,7,1317254522,1255804482,1333327157,7537.39,5.89,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,inputpacket,write,16000000,61,7,84246072,82257488,86438945,4900.94,4.96,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,inputpacket,read,16000000,61,7,55963942,53749195,58879134,3255.65,9.17,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,shipcreate,write,32000000,28,7,129317421,128689713,130952387,3453.15,1.75,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,shipcreate,read,32000000,28,7,152187849,148997064,152798115,4063.85,2.50,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,ship_shallow,write,32000000,28,7,146656014,144273498,149133771,3916.14,3.31,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,ship_shallow,read,32000000,28,7,160030606,157566711,163391566,4273.28,3.64,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probe_header,write,256000000,10,7,1261493107,1216030705,1295641633,12030.54,6.31,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probe_header,read,256000000,10,7,1900748384,1876245376,1931478419,18126.95,2.91,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probebits,write,128000000,26,7,222019074,219126474,226302894,5505.08,3.23,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probebits,read,128000000,26,7,957941625,937177102,975956898,23752.67,4.05,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probearray,write,20000000,47,7,87621493,86632482,88773877,3927.43,2.44,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probearray,read,20000000,47,7,91994451,89211819,100235072,4123.44,11.98,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,testdata,write,8000000,92,7,33750450,33163050,34635633,2961.20,4.36,6b118770d85af4f6,gen,hdr,removed,O3,partial:2
cpp,testdata,read,8000000,92,7,40501963,39943721,41586868,3553.56,4.06,6b118770d85af4f6,gen,hdr,removed,O3,partial:5
cpp,message_batch,write,26214400,25,7,160375922,158976519,162436657,3823.66,2.16,6b118770d85af4f6,gen,hdr,removed,O3,partial:2
cpp,message_batch,read,26214400,25,7,121721977,118684838,123423279,2902.08,3.89,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,bench_packet,write,32000000,49,7,106684418,104545212,108467713,4985.37,3.68,6b118770d85af4f6,rt,hdr,removed,O3,partial:1
cpp,bench_packet,read,32000000,49,7,140065013,138681028,142419262,6545.24,2.67,6b118770d85af4f6,rt,hdr,removed,O3,full
cpp,bench_ints,write,40000000,14,7,227568016,223562979,231928483,3038.36,3.68,6b118770d85af4f6,rt,hdr,removed,O3,full
cpp,bench_ints,read,40000000,14,7,241990370,237668708,248914177,3230.92,4.65,6b118770d85af4f6,rt,hdr,removed,O3,full
cpp,bench_bits,write,48000000,20,7,226349165,215747508,232533213,4317.27,7.42,6b118770d85af4f6,rt,hdr,removed,O3,full
cpp,bench_bits,read,48000000,20,7,294132966,260477669,301171510,5610.14,13.84,6b118770d85af4f6,rt,hdr,removed,O3,full
cpp,bench_mixed,write,40000000,21,7,189559572,185751973,191429769,3796.34,3.00,6b118770d85af4f6,rt,hdr,removed,O3,full
cpp,bench_mixed,read,40000000,21,7,224524062,211188317,236594518,4496.58,11.32,6b118770d85af4f6,rt,hdr,removed,O3,full
cpp,bitpacker,write,24576,65518,7,96965,95687,98427,6058.65,2.83,6b118770d85af4f6,bits,hdr,removed,O3,full
cpp,bitpacker,read,24576,65518,7,129318,126372,130140,8080.16,2.91,6b118770d85af4f6,bits,hdr,removed,O3,full
c,rigidbody_moving,write,24000000,105,7,43818569,43058132,44543761,4387.81,3.39,6b118770d85af4f6,gen,hdr+tu,contract,O3,full
c,rigidbody_moving,read,24000000,105,7,67287959,66873231,68862817,6737.93,2.96,6b118770d85af4f6,gen,hdr+tu,contract,O3,full
c,rigidbody_at_rest,write,32000000,57,7,86297332,84440293,87230777,4691.07,3.23,6b118770d85af4f6,gen,hdr+tu,contract,O3,full
c,rigidbody_at_rest,read,32000000,57,7,120023254,118420274,120773403,6524.40,1.96,6b118770d85af4f6,gen,hdr+tu,contract,O3,full
c,chat,write,48000000,13,7,74245365,73656234,75437538,920.48,2.40,6b118770d85af4f6,gen,hdr+tu,contract,O3,partial:1
c,chat,read,48000000,13,7,193886907,184643791,197865526,2403.76,6.82,6b118770d85af4f6,gen,hdr+tu,contract,O3,full
c,test,write,192000000,6,7,283457174,279684830,284986129,1621.95,1.87,6b118770d85af4f6,gen,hdr+tu,contract,O3,full
c,test,read,192000000,6,7,847828103,833362270,858580212,4851.31,2.97,6b118770d85af4f6,gen,hdr+tu,contract,O3,full
c,inputpacket,write,16000000,61,7,54698237,53694338,55132680,3182.02,2.63,6b118770d85af4f6,gen,hdr+tu,contract,O3,full
c,inputpacket,read,16000000,61,7,51825723,51104333,53072218,3014.92,3.80,6b118770d85af4f6,gen,hdr+tu,contract,O3,full
c,shipcreate,write,32000000,28,7,91014067,89083140,93097138,2430.34,4.41,6b118770d85af4f6,gen,hdr+tu,contract,O3,full
c,shipcreate,read,32000000,28,7,108776570,107842509,109544773,2904.65,1.56,6b118770d85af4f6,gen,hdr+tu,contract,O3,full
c,ship_shallow,write,32000000,28,7,92911708,92402494,94144783,2481.01,1.88,6b118770d85af4f6,gen,hdr+tu,contract,O3,full
c,ship_shallow,read,32000000,28,7,116970607,115511789,120039463,3123.45,3.87,6b118770d85af4f6,gen,hdr+tu,contract,O3,full
c,probe_header,write,256000000,10,7,251088459,249789728,254014118,2394.57,1.68,6b118770d85af4f6,gen,hdr+tu,contract,O3,full
c,probe_header,read,256000000,10,7,298057388,293378471,300634621,2842.50,2.43,6b118770d85af4f6,gen,hdr+tu,contract,O3,full
c,probebits,write,128000000,26,7,147202068,144775908,147898228,3649.95,2.12,6b118770d85af4f6,gen,hdr+tu,contract,O3,full
c,probebits,read,128000000,26,7,249784853,226480528,253271757,6193.55,10.73,6b118770d85af4f6,gen,hdr+tu,contract,O3,full
c,probearray,write,20000000,47,7,45445147,40830826,46232406,2036.97,11.89,6b118770d85af4f6,gen,hdr+tu,contract,O3,partial:1
c,probearray,read,20000000,47,7,61332573,54675134,62035124,2749.09,12.00,6b118770d85af4f6,gen,hdr+tu,contract,O3,partial:1
c,testdata,write,8000000,92,7,21533451,20040733,22032316,1889.30,9.25,6b118770d85af4f6,gen,hdr+tu,contract,O3,partial:2
c,testdata,read,8000000,92,7,30603150,26592032,31036142,2685.06,14.52,6b118770d85af4f6,gen,hdr+tu,contract,O3,partial:1
c,message_batch,write,26214400,25,7,127303189,125790075,128660895,3035.14,2.26,6b118770d85af4f6,gen,hdr+tu,contract,O3,partial:2
c,message_batch,read,26214400,25,7,178352304,166327638,181950942,4252.25,8.76,6b118770d85af4f6,gen,hdr+tu,contract,O3,full
c,bench_packet,write,32000000,49,7,84251322,83048503,85502971,3937.07,2.91,6b118770d85af4f6,rt,hdr+tu,contract,O3,partial:1
