# schema bench results
# date: 2026-08-15T04:39:31Z
# host: studio  arch: arm64  os: Darwin 25.5.0
# cpu: Apple M3 Ultra
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -DBENCH_OPT="O3" -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -Itest -I/private/tmp/claude-502/-Users-rowan-rowan-working-rowan-new/5a69bb12-003d-42b7-88a2-09c5b747ba50/scratchpad/final-pass/serialize
# c compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# c flags: -O3 -DNDEBUG -DBENCH_OPT="O3" -std=c99 -Wall -Wextra -Werror -Igenerated/c -I/private/tmp/claude-502/-Users-rowan-rowan-working-rowan-new/5a69bb12-003d-42b7-88a2-09c5b747ba50/scratchpad/final-pass/serialize.c (serialize.c compiled in, no LTO)
# go: go version go1.26.5 darwin/arm64 (go run, default optimized build)
# rust: cargo 1.97.0 (c980f4866 2026-06-30) (Homebrew); rustc 1.97.0 (2d8144b78 2026-07-07) (Homebrew) (cargo run --release: opt-level 3, no LTO)
# dotnet: 10.0.400 (dotnet run -c Release, workstation GC)
# pinning: none
# noise: post-lane Studio final, 2026-08-15: released mains (serialize.go v1.9.0, serialize.rs v1.6.0), launchd estate live and untouched; first pass with the cs leg on this bench (user-local SDK ~/.dotnet)
# schema commit: 695fde3
# serialize commit: 35abfc5 (main) [build-verified: /private/tmp/claude-502/-Users-rowan-rowan-working-rowan-new/5a69bb12-003d-42b7-88a2-09c5b747ba50/scratchpad/final-pass/serialize]
# serialize.c commit: cecaa04 (main) [build-verified: /private/tmp/claude-502/-Users-rowan-rowan-working-rowan-new/5a69bb12-003d-42b7-88a2-09c5b747ba50/scratchpad/final-pass/serialize.c]
# serialize.go commit: db166fb (main) [build-verified: /private/tmp/claude-502/-Users-rowan-rowan-working-rowan-new/5a69bb12-003d-42b7-88a2-09c5b747ba50/scratchpad/final-pass/serialize.go]
# serialize.rs commit: 5a85208 (main) [build-verified: /private/tmp/claude-502/-Users-rowan-rowan-working-rowan-new/5a69bb12-003d-42b7-88a2-09c5b747ba50/scratchpad/final-pass/serialize.rs]
# serialize.cs commit: ba51f30 (main) [build-verified: /private/tmp/claude-502/-Users-rowan-rowan-working-rowan-new/5a69bb12-003d-42b7-88a2-09c5b747ba50/scratchpad/final-pass/serialize.cs]
# rounds: 7   interleaved: yes
# langs: cpp c go rust cs
# load_start: 2.23 2.47 2.49
# load_end: 2.17 2.27 2.25
# load_max: 2.57
# core_busy_pct: n/a
# foreign_procs: 4
# control_start_median: 145958377   control_end_median: 144681857
# control_delta_pct: 0.9   window: OK
# corpus_id: 6b118770d85af4f6
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
cpp,rigidbody_moving,write,24000000,105,7,73818254,71574321,75177489,7391.85,4.88,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,rigidbody_moving,read,24000000,105,7,114423158,107317668,125278206,11457.85,15.70,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,rigidbody_at_rest,write,32000000,57,7,137273218,128871602,142693030,7462.09,10.07,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,rigidbody_at_rest,read,32000000,57,7,183027576,181976033,184440388,9949.28,1.35,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,chat,write,48000000,13,7,134265578,133918498,138988408,1664.59,3.78,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,chat,read,48000000,13,7,163957478,151773377,164748533,2032.71,7.91,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,test,write,192000000,6,7,1004949507,1003089815,1007489044,5750.37,0.44,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,test,read,192000000,6,7,1330517146,1318448897,1336036720,7613.28,1.32,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,inputpacket,write,16000000,61,7,88030914,86439276,88271945,5121.12,2.08,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,inputpacket,read,16000000,61,7,55391081,54521392,58533569,3222.33,7.24,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,shipcreate,write,32000000,28,7,131188470,129714326,131382104,3503.11,1.27,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,shipcreate,read,32000000,28,7,156125041,154560470,156409713,4168.99,1.18,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,ship_shallow,write,32000000,28,7,149133135,148875669,149271891,3982.28,0.27,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,ship_shallow,read,32000000,28,7,166096970,162442526,167598716,4435.27,3.10,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probe_header,write,256000000,10,7,1270901142,1235701396,1307906086,12120.26,5.68,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probe_header,read,256000000,10,7,1926019412,1896611232,1941241428,18367.95,2.32,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probebits,write,128000000,26,7,228727930,225436106,232059732,5671.43,2.90,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probebits,read,128000000,26,7,971225237,964121020,975283608,24082.05,1.15,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probearray,write,20000000,47,7,88904513,86861100,89566459,3984.94,3.04,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probearray,read,20000000,47,7,94681578,90552848,99180665,4243.88,9.11,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,testdata,write,8000000,92,7,34531865,33753381,34719623,3029.76,2.80,6b118770d85af4f6,gen,hdr,removed,O3,partial:2
cpp,testdata,read,8000000,92,7,41222310,40997731,41616470,3616.76,1.50,6b118770d85af4f6,gen,hdr,removed,O3,partial:5
