# schema bench results
# date: 2026-08-14T15:30:12Z
# host: macbook  arch: arm64  os: Darwin 25.5.0
# cpu: Apple M2
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -DBENCH_OPT="O3" -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -Itest -I../serialize
# c compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# c flags: -O3 -DNDEBUG -DBENCH_OPT="O3" -std=c99 -Wall -Wextra -Werror -Igenerated/c -I/private/tmp/claude-501/-Users-glenn-rowan-working-rowan-new/a11d0695-e984-4e04-9c88-b777be2907a3/scratchpad/serialize.c-wt (serialize.c compiled in, no LTO)
# go: go version go1.26.5 darwin/arm64 (go run, default optimized build)
# rust: cargo 1.97.1 (c980f4866 2026-06-30); rustc 1.97.1 (8bab26f4f 2026-07-14) (cargo run --release: opt-level 3, no LTO)
# dotnet: 10.0.302 (dotnet run -c Release, workstation GC)
# pinning: none
# noise: serialize.c read-path pass; sequential; machine otherwise idle
# schema commit: 20c11f1
# serialize commit: f8eb71f (degenerate-range-int64-fixed)
# serialize.c commit: de823b8 (read-path-header)
# serialize.go commit: 99ddc82 (degenerate-range-compat-and-docs)
# serialize.rs commit: 9fce5bc (docs-state-anchors)
# serialize.cs commit: d3d34c9 (main)
# rounds: 3   interleaved: yes
# langs: cpp c
# load_start: 1.43 1.42 1.53
# load_end: 1.48 1.69 1.64
# load_max: 2.21
# core_busy_pct: n/a
# foreign_procs: 3
# control_start_median: 103559006   control_end_median: 103441088
# control_delta_pct: 0.1   window: OK
# corpus_id: 6b118770d85af4f6
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
cpp,rigidbody_moving,write,24000000,105,3,58655124,58510850,58836724,5873.48,0.56,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,rigidbody_moving,read,24000000,105,3,89581765,88057103,91817118,8970.34,4.20,6b118770d85af4f6,gen,hdr,removed,O3,partial:1
cpp,rigidbody_at_rest,write,32000000,57,3,106872143,102300809,107000583,5809.51,4.40,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,rigidbody_at_rest,read,32000000,57,3,126550616,124976668,130121766,6879.22,4.07,6b118770d85af4f6,gen,hdr,removed,O3,partial:1
cpp,chat,write,48000000,13,3,96303235,95869673,96460817,1193.94,0.61,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,chat,read,48000000,13,3,136619005,135314389,137920978,1693.77,1.91,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,test,write,192000000,6,3,764874088,756585396,766769847,4376.64,1.33,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,test,read,192000000,6,3,751703077,749956913,752594514,4301.28,0.35,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,inputpacket,write,16000000,61,3,65915210,65884438,65949602,3834.56,0.10,6b118770d85af4f6,gen,hdr,removed,O3,partial:1
cpp,inputpacket,read,16000000,61,3,47500097,47169910,47619183,2763.28,0.95,6b118770d85af4f6,gen,hdr,removed,O3,partial:1
cpp,shipcreate,write,32000000,28,3,99877312,99202889,99908235,2667.01,0.71,6b118770d85af4f6,gen,hdr,removed,O3,partial:1
cpp,shipcreate,read,32000000,28,3,114568436,113216960,114608255,3059.31,1.21,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,ship_shallow,write,32000000,28,3,121269215,121260637,121328644,3238.24,0.06,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,ship_shallow,read,32000000,28,3,124023657,123241047,124061442,3311.79,0.66,6b118770d85af4f6,gen,hdr,removed,O3,full
