# schema bench results
# date: 2026-08-14T15:04:08Z
# host: macbook  arch: arm64  os: Darwin 25.5.0
# cpu: Apple M2
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -DBENCH_OPT="O3" -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -Itest -I../serialize
# c compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# c flags: -O3 -DNDEBUG -DBENCH_OPT="O3" -std=c99 -Wall -Wextra -Werror -Igenerated/c -I/private/tmp/claude-501/-Users-glenn-rowan-working-rowan-new/a11d0695-e984-4e04-9c88-b777be2907a3/scratchpad/serialize.c-wt (serialize.c compiled in, no LTO)
# go: go version go1.26.5 darwin/arm64 (go run, default optimized build)
# rust: cargo 1.97.1 (c980f4866 2026-06-30); rustc 1.97.1 (8bab26f4f 2026-07-14) (cargo run --release: opt-level 3, no LTO)
# dotnet: 10.0.302 (dotnet run -c Release, workstation GC)
# pinning: none
# noise: serialize.c read-path pass; sequential; machine otherwise idle
# schema commit: 20c11f1
# serialize commit: f8eb71f (degenerate-range-int64-fixed)
# serialize.c commit: de823b8 (read-path-header)
# serialize.go commit: 99ddc82 (degenerate-range-compat-and-docs)
# serialize.rs commit: 9fce5bc (docs-state-anchors)
# serialize.cs commit: d3d34c9 (main)
# rounds: 3   interleaved: yes
# langs: cpp c
# load_start: 1.40 1.62 1.62
# load_end: 2.52 2.17 1.87
# load_max: 2.56
# core_busy_pct: n/a
# foreign_procs: 6
# control_start_median: 103655441   control_end_median: 103348274
# control_delta_pct: 0.3   window: OK
# corpus_id: 6b118770d85af4f6
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
cpp,rigidbody_moving,write,24000000,105,3,58876760,58829772,59057243,5895.67,0.39,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,rigidbody_moving,read,24000000,105,3,91052294,90402673,91913187,9117.59,1.66,6b118770d85af4f6,gen,hdr,removed,O3,partial:1
cpp,rigidbody_at_rest,write,32000000,57,3,106818512,105533370,107004355,5806.59,1.38,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,rigidbody_at_rest,read,32000000,57,3,133996103,126519323,134884742,7283.95,6.24,6b118770d85af4f6,gen,hdr,removed,O3,partial:1
cpp,chat,write,48000000,13,3,95985666,94682983,96147234,1190.01,1.53,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,chat,read,48000000,13,3,136028283,133925021,136638855,1686.45,2.00,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,test,write,192000000,6,3,764898209,762985028,765761297,4376.78,0.36,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,test,read,192000000,6,3,749354071,739749938,750665629,4287.84,1.46,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,inputpacket,write,16000000,61,3,65967967,65953238,65991582,3837.63,0.06,6b118770d85af4f6,gen,hdr,removed,O3,partial:1
cpp,inputpacket,read,16000000,61,3,47640363,47514397,47654085,2771.44,0.29,6b118770d85af4f6,gen,hdr,removed,O3,partial:1
cpp,shipcreate,write,32000000,28,3,99794395,98016268,99893187,2664.80,1.88,6b118770d85af4f6,gen,hdr,removed,O3,partial:1
cpp,shipcreate,read,32000000,28,3,114933206,114644661,114989408,3069.05,0.30,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,ship_shallow,write,32000000,28,3,121373531,121364900,121553549,3241.02,0.16,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,ship_shallow,read,32000000,28,3,123772608,119301230,124360467,3305.09,4.09,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probe_header,write,256000000,10,3,1063209759,1062287867,1081204360,10139.56,1.78,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probe_header,read,256000000,10,3,946900957,936570376,955352807,9030.35,1.98,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probebits,write,128000000,26,3,187500400,185714875,189554358,4649.17,2.05,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probebits,read,128000000,26,3,544618278,537312337,554561485,13504.10,3.17,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probearray,write,20000000,47,3,73818863,73737556,73829854,3308.76,0.13,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probearray,read,20000000,47,3,72689089,69017528,79708400,3258.12,14.71,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,testdata,write,8000000,92,3,27932510,27896082,28019294,2450.74,0.44,6b118770d85af4f6,gen,hdr,removed,O3,partial:2
