# schema bench results
# date: 2026-08-14T17:34:17Z
# host: macbook  arch: arm64  os: Darwin 25.5.0
# cpu: Apple M2
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -O2 -DNDEBUG -DSERIALIZE_RELEASE -DBENCH_OPT="O2" -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -Itest -I/private/tmp/claude-501/-Users-glenn-rowan-working-rowan-new/a11d0695-e984-4e04-9c88-b777be2907a3/scratchpad/serialize-wt
# c compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# c flags: -O2 -DNDEBUG -DBENCH_OPT="O2" -std=c99 -Wall -Wextra -Werror -Igenerated/c -I/private/tmp/claude-501/-Users-glenn-rowan-working-rowan-new/a11d0695-e984-4e04-9c88-b777be2907a3/scratchpad/serialize.c-wt (serialize.c compiled in, no LTO)
# go: go version go1.26.5 darwin/arm64 (go run, default optimized build)
# rust: cargo 1.97.1 (c980f4866 2026-06-30); rustc 1.97.1 (8bab26f4f 2026-07-14) (cargo run --release: opt-level 3, no LTO)
# dotnet: 10.0.302 (dotnet run -c Release, workstation GC)
# pinning: none
# noise: D5 c write-spine after O2; machine otherwise idle
# schema commit: 20c11f1
# serialize commit: 7fb154e (write-path-slack)
# serialize.c commit: 7c0e042 (read-path-header)
# serialize.go commit: 99ddc82 (degenerate-range-compat-and-docs)
# serialize.rs commit: eecaa18 (read-path-inlining)
# serialize.cs commit: d3d34c9 (main)
# rounds: 3   interleaved: yes
# langs: cpp c
# load_start: 1.53 1.72 1.71
# load_end: 1.94 1.80 1.75
# load_max: 2.02
# core_busy_pct: n/a
# foreign_procs: 2
# control_start_median: 99647424   control_end_median: 98947170
# control_delta_pct: 0.7   window: OK
# corpus_id: 6b118770d85af4f6
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
cpp,rigidbody_moving,write,24000000,105,3,57765504,57651679,58001095,5784.40,0.60,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,rigidbody_moving,read,24000000,105,3,83969850,80880019,84227593,8408.39,3.99,6b118770d85af4f6,gen,hdr,removed,O2,partial:1
cpp,rigidbody_at_rest,write,32000000,57,3,100342851,98455303,100357550,5454.58,1.90,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,rigidbody_at_rest,read,32000000,57,3,127768122,122956882,130228823,6945.40,5.69,6b118770d85af4f6,gen,hdr,removed,O2,partial:1
cpp,chat,write,48000000,13,3,80019349,79124689,80063278,992.06,1.17,6b118770d85af4f6,gen,hdr,removed,O2,partial:1
cpp,chat,read,48000000,13,3,136008096,134593685,136640022,1686.20,1.50,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,test,write,192000000,6,3,763791889,763555472,770221575,4370.45,0.87,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,test,read,192000000,6,3,585541770,583034604,585576742,3350.50,0.43,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,inputpacket,write,16000000,61,3,65924908,65857952,65941052,3835.12,0.13,6b118770d85af4f6,gen,hdr,removed,O2,partial:1
cpp,inputpacket,read,16000000,61,3,46284968,45891339,46296369,2692.59,0.88,6b118770d85af4f6,gen,hdr,removed,O2,partial:1
cpp,shipcreate,write,32000000,28,3,99283491,99251543,99294518,2651.16,0.04,6b118770d85af4f6,gen,hdr,removed,O2,partial:1
cpp,shipcreate,read,32000000,28,3,112937506,112747102,114363096,3015.76,1.43,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,ship_shallow,write,32000000,28,3,125272688,125139560,125998948,3345.14,0.69,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,ship_shallow,read,32000000,28,3,123108233,120847424,123626128,3287.34,2.26,6b118770d85af4f6,gen,hdr,removed,O2,full
