# schema bench results
# date: 2026-08-14T16:31:53Z
# host: macbook  arch: arm64  os: Darwin 25.5.0
# cpu: Apple M2
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -O2 -DNDEBUG -DSERIALIZE_RELEASE -DBENCH_OPT="O2" -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -Itest -I/Users/glenn/rowan-working/serialize
# c compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# c flags: -O2 -DNDEBUG -DBENCH_OPT="O2" -std=c99 -Wall -Wextra -Werror -Igenerated/c -I../serialize.c (serialize.c compiled in, no LTO)
# go: go version go1.26.5 darwin/arm64 (go run, default optimized build)
# rust: cargo 1.97.1 (c980f4866 2026-06-30); rustc 1.97.1 (8bab26f4f 2026-07-14) (cargo run --release: opt-level 3, no LTO)
# dotnet: 10.0.302 (dotnet run -c Release, workstation GC)
# pinning: none
# noise: autonomous write-spine pass; steady qemu background (2 VMs ~13%); no other agents
# schema commit: 20c11f1
# serialize commit: 7fb154e (write-path-slack)
# serialize.c commit: de823b8 (main)
# serialize.go commit: 99ddc82 (degenerate-range-compat-and-docs)
# serialize.rs commit: 9fce5bc (docs-state-anchors)
# serialize.cs commit: d3d34c9 (main)
# rounds: 3   interleaved: yes
# langs: cpp c
# load_start: 1.79 2.00 1.92
# load_end: 2.40 2.12 1.98
# load_max: 2.40
# core_busy_pct: n/a
# foreign_procs: 3
# control_start_median: 101061233   control_end_median: 102012587
# control_delta_pct: 0.9   window: OK
# corpus_id: 6b118770d85af4f6
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
cpp,rigidbody_moving,write,24000000,105,3,57582023,57437274,57615769,5766.02,0.31,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,rigidbody_moving,read,24000000,105,3,81312944,78178400,81530532,8142.34,4.12,6b118770d85af4f6,gen,hdr,removed,O2,partial:1
cpp,rigidbody_at_rest,write,32000000,57,3,98628233,98488635,99423165,5361.38,0.95,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,rigidbody_at_rest,read,32000000,57,3,126374383,122733741,132458395,6869.64,7.70,6b118770d85af4f6,gen,hdr,removed,O2,partial:1
cpp,chat,write,48000000,13,3,80028738,79896279,80056801,992.18,0.20,6b118770d85af4f6,gen,hdr,removed,O2,partial:1
cpp,chat,read,48000000,13,3,135943431,133064509,136185843,1685.39,2.30,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,test,write,192000000,6,3,763764672,761178320,768344858,4370.30,0.94,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,test,read,192000000,6,3,587881675,587218366,587892101,3363.89,0.11,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,inputpacket,write,16000000,61,3,65798436,65366319,65859522,3827.77,0.75,6b118770d85af4f6,gen,hdr,removed,O2,partial:1
cpp,inputpacket,read,16000000,61,3,46494857,46491372,46525034,2704.80,0.07,6b118770d85af4f6,gen,hdr,removed,O2,partial:1
cpp,shipcreate,write,32000000,28,3,99261535,99259752,99265757,2650.57,0.01,6b118770d85af4f6,gen,hdr,removed,O2,partial:1
cpp,shipcreate,read,32000000,28,3,111270241,109200498,113085776,2971.24,3.49,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,ship_shallow,write,32000000,28,3,125442663,125348994,126298943,3349.68,0.76,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,ship_shallow,read,32000000,28,3,122219429,122026246,122584072,3263.61,0.46,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,probe_header,write,256000000,10,3,1052217675,1037777711,1053205026,10034.73,1.47,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,probe_header,read,256000000,10,3,658136740,655327705,659240623,6276.48,0.59,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,probebits,write,128000000,26,3,184714291,184081714,189344969,4580.09,2.85,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,probebits,read,128000000,26,3,503473673,502757803,518071191,12483.90,3.04,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,probearray,write,20000000,47,3,73726581,73301210,73802486,3304.62,0.68,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,probearray,read,20000000,47,3,69216726,66735794,71171275,3102.48,6.41,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,testdata,write,8000000,92,3,27803856,27697790,27809587,2439.46,0.40,6b118770d85af4f6,gen,hdr,removed,O2,partial:2
cpp,testdata,read,8000000,92,3,27213426,27210927,27217199,2387.65,0.02,6b118770d85af4f6,gen,hdr,removed,O2,partial:5
cpp,message_batch,write,26214400,25,3,83443363,78102322,84670843,1989.44,7.87,6b118770d85af4f6,gen,hdr,removed,O2,partial:2
cpp,message_batch,read,26214400,25,3,67605300,64585762,67924956,1611.84,4.94,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,bench_packet,write,32000000,49,3,82117757,81856663,82452312,3837.37,0.73,6b118770d85af4f6,rt,hdr,removed,O2,partial:1
cpp,bench_packet,read,32000000,49,3,108888954,98457045,109166985,5088.39,9.84,6b118770d85af4f6,rt,hdr,removed,O2,full
cpp,bench_ints,write,40000000,14,3,187600578,187035698,188850466,2504.74,0.97,6b118770d85af4f6,rt,hdr,removed,O2,full
cpp,bench_ints,read,40000000,14,3,157197431,147844429,171584192,2098.81,15.10,6b118770d85af4f6,rt,hdr,removed,O2,full
cpp,bench_bits,write,48000000,20,3,185550750,182388694,186234762,3539.10,2.07,6b118770d85af4f6,rt,hdr,removed,O2,full
cpp,bench_bits,read,48000000,20,3,179171472,168247492,182861787,3417.42,8.16,6b118770d85af4f6,rt,hdr,removed,O2,full
cpp,bench_mixed,write,40000000,21,3,152163842,150830534,152829714,3047.41,1.31,6b118770d85af4f6,rt,hdr,removed,O2,full
cpp,bench_mixed,read,40000000,21,3,153883860,151518954,156767174,3081.86,3.41,6b118770d85af4f6,rt,hdr,removed,O2,full
cpp,bitpacker,write,24576,65518,3,33149,33044,33365,2071.24,0.97,6b118770d85af4f6,bits,hdr,removed,O2,full
cpp,bitpacker,read,24576,65518,3,41989,41972,42041,2623.59,0.16,6b118770d85af4f6,bits,hdr,removed,O2,full
c,rigidbody_moving,write,24000000,105,3,39054427,38992372,39149478,3910.75,0.40,6b118770d85af4f6,gen,tu,removed,O2,full
c,rigidbody_moving,read,24000000,105,3,48057284,48005665,48074323,4812.25,0.14,6b118770d85af4f6,gen,tu,removed,O2,full
c,rigidbody_at_rest,write,32000000,57,3,67919354,67901916,68003213,3692.06,0.15,6b118770d85af4f6,gen,tu,removed,O2,full
c,rigidbody_at_rest,read,32000000,57,3,94955771,94576901,95008773,5161.74,0.45,6b118770d85af4f6,gen,tu,removed,O2,full
c,chat,write,48000000,13,3,60397719,60390956,60419614,748.80,0.05,6b118770d85af4f6,gen,tu,removed,O2,unknown
c,chat,read,48000000,13,3,170902436,170812427,171104695,2118.81,0.17,6b118770d85af4f6,gen,tu,removed,O2,unknown
c,test,write,192000000,6,3,238709477,238686924,238799139,1365.91,0.05,6b118770d85af4f6,gen,tu,removed,O2,full
c,test,read,192000000,6,3,226520875,226504040,226563911,1296.16,0.03,6b118770d85af4f6,gen,tu,removed,O2,full
c,inputpacket,write,16000000,61,3,33773943,33684140,33795058,1964.77,0.33,6b118770d85af4f6,gen,tu,removed,O2,partial:4
c,inputpacket,read,16000000,61,3,33259677,32177297,33839230,1934.85,5.00,6b118770d85af4f6,gen,tu,removed,O2,partial:4
c,shipcreate,write,32000000,28,3,56722201,56707626,56722905,1514.65,0.03,6b118770d85af4f6,gen,tu,removed,O2,partial:4
c,shipcreate,read,32000000,28,3,73268628,73213477,73280876,1956.48,0.09,6b118770d85af4f6,gen,tu,removed,O2,partial:1
c,ship_shallow,write,32000000,28,3,46856445,46850957,46870514,1251.20,0.04,6b118770d85af4f6,gen,tu,removed,O2,partial:11
c,ship_shallow,read,32000000,28,3,49197239,49181588,49218275,1313.71,0.07,6b118770d85af4f6,gen,tu,removed,O2,partial:9
c,probe_header,write,256000000,10,3,211954569,211656485,211972821,2021.36,0.15,6b118770d85af4f6,gen,tu,removed,O2,full
c,probe_header,read,256000000,10,3,234251183,234250326,234263187,2233.99,0.01,6b118770d85af4f6,gen,tu,removed,O2,full
c,probebits,write,128000000,26,3,124038099,123955577,124065510,3075.59,0.09,6b118770d85af4f6,gen,tu,removed,O2,full
c,probebits,read,128000000,26,3,181286169,181138398,181369396,4495.09,0.13,6b118770d85af4f6,gen,tu,removed,O2,full
c,probearray,write,20000000,47,3,33376055,33111760,33382628,1496.00,0.81,6b118770d85af4f6,gen,tu,removed,O2,partial:1
c,probearray,read,20000000,47,3,41400067,41348199,41513844,1855.66,0.40,6b118770d85af4f6,gen,tu,removed,O2,partial:1
c,testdata,write,8000000,92,3,10003326,9995190,10011188,877.67,0.16,6b118770d85af4f6,gen,tu,removed,O2,partial:36
c,testdata,read,8000000,92,3,12484648,12484531,12501660,1095.38,0.14,6b118770d85af4f6,gen,tu,removed,O2,partial:18
c,message_batch,write,26214400,25,3,64197954,63799070,64915730,1530.60,1.74,6b118770d85af4f6,gen,tu,removed,O2,partial:1
c,message_batch,read,26214400,25,3,78126239,77693014,80763567,1862.67,3.93,6b118770d85af4f6,gen,tu,removed,O2,unknown
c,bench_packet,write,32000000,49,3,59477122,59428852,59506653,2779.37,0.13,6b118770d85af4f6,rt,tu,removed,O2,partial:3
c,bench_packet,read,32000000,49,3,71042279,70933148,71099735,3319.81,0.23,6b118770d85af4f6,rt,tu,removed,O2,partial:3
c,bench_ints,write,40000000,14,3,119646206,118741224,119741837,1597.45,0.84,6b118770d85af4f6,rt,tu,removed,O2,full
c,bench_ints,read,40000000,14,3,120897787,120866370,120931414,1614.16,0.05,6b118770d85af4f6,rt,tu,removed,O2,full
c,bench_bits,write,48000000,20,3,117436939,117393569,117496157,2239.93,0.09,6b118770d85af4f6,rt,tu,removed,O2,full
c,bench_bits,read,48000000,20,3,158950924,158858864,159132727,3031.75,0.17,6b118770d85af4f6,rt,tu,removed,O2,full
c,bench_mixed,write,40000000,21,3,87471654,87471080,87871532,1751.81,0.46,6b118770d85af4f6,rt,tu,removed,O2,partial:2
c,bench_mixed,read,40000000,21,3,98907077,98898518,98964338,1980.83,0.07,6b118770d85af4f6,rt,tu,removed,O2,partial:2
c,bitpacker,write,24576,65518,3,32935,32908,32959,2057.87,0.15,6b118770d85af4f6,bits,tu,removed,O2,full
c,bitpacker,read,24576,65518,3,32692,32659,32716,2042.69,0.17,6b118770d85af4f6,bits,tu,removed,O2,full
