# schema bench results
# date: 2026-08-14T16:13:19Z
# host: macbook  arch: arm64  os: Darwin 25.5.0
# cpu: Apple M2
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -DBENCH_OPT="O3" -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -Itest -I/tmp/ser-base
# c compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# c flags: -O3 -DNDEBUG -DBENCH_OPT="O3" -std=c99 -Wall -Wextra -Werror -Igenerated/c -I../serialize.c (serialize.c compiled in, no LTO)
# go: go version go1.26.5 darwin/arm64 (go run, default optimized build)
# rust: cargo 1.97.1 (c980f4866 2026-06-30); rustc 1.97.1 (8bab26f4f 2026-07-14) (cargo run --release: opt-level 3, no LTO)
# dotnet: 10.0.302 (dotnet run -c Release, workstation GC)
# pinning: none
# noise: autonomous write-spine pass; steady qemu background (2 VMs ~13%); no other agents
# schema commit: 20c11f1
# serialize commit: 1a99090 (HEAD)
# serialize.c commit: de823b8 (main)
# serialize.go commit: 99ddc82 (degenerate-range-compat-and-docs)
# serialize.rs commit: 9fce5bc (docs-state-anchors)
# serialize.cs commit: d3d34c9 (main)
# rounds: 3   interleaved: yes
# langs: cpp c
# load_start: 2.34 2.07 1.73
# load_end: 1.70 1.96 1.80
# load_max: 2.34
# core_busy_pct: n/a
# foreign_procs: 3
# control_start_median: 103503992   control_end_median: 103459409
# control_delta_pct: 0.0   window: OK
# corpus_id: 6b118770d85af4f6
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
cpp,rigidbody_moving,write,24000000,105,3,58835192,58620286,59167161,5891.51,0.93,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,rigidbody_moving,read,24000000,105,3,91427396,88213470,91491657,9155.16,3.59,6b118770d85af4f6,gen,hdr,removed,O3,partial:1
cpp,rigidbody_at_rest,write,32000000,57,3,106474377,105366979,107043713,5787.89,1.57,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,rigidbody_at_rest,read,32000000,57,3,133018062,131219537,134024092,7230.79,2.11,6b118770d85af4f6,gen,hdr,removed,O3,partial:1
cpp,chat,write,48000000,13,3,96111024,95003187,96168230,1191.56,1.21,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,chat,read,48000000,13,3,134205670,133176112,136154666,1663.85,2.22,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,test,write,192000000,6,3,765541207,765452064,766547264,4380.46,0.14,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,test,read,192000000,6,3,734001890,713794338,739071391,4199.99,3.44,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,inputpacket,write,16000000,61,3,66001654,65972784,66021365,3839.59,0.07,6b118770d85af4f6,gen,hdr,removed,O3,partial:1
cpp,inputpacket,read,16000000,61,3,47603764,46334568,47637491,2769.31,2.74,6b118770d85af4f6,gen,hdr,removed,O3,partial:1
cpp,shipcreate,write,32000000,28,3,99923314,99850575,99923379,2668.24,0.07,6b118770d85af4f6,gen,hdr,removed,O3,partial:1
cpp,shipcreate,read,32000000,28,3,111371736,109860133,114523248,2973.95,4.19,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,ship_shallow,write,32000000,28,3,121374739,121351035,121380552,3241.06,0.02,6b118770d85af4f6,gen,hdr,removed,O3,full
