# schema bench results
# date: 2026-08-14T17:09:41Z
# host: macbook  arch: arm64  os: Darwin 25.5.0
# cpu: Apple M2
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -O2 -DNDEBUG -DSERIALIZE_RELEASE -DBENCH_OPT="O2" -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -Itest -I/private/tmp/claude-501/-Users-glenn-rowan-working-rowan-new/a11d0695-e984-4e04-9c88-b777be2907a3/scratchpad/serialize-wt
# c compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# c flags: -O2 -DNDEBUG -DBENCH_OPT="O2" -std=c99 -Wall -Wextra -Werror -Igenerated/c -I/private/tmp/claude-501/-Users-glenn-rowan-working-rowan-new/a11d0695-e984-4e04-9c88-b777be2907a3/scratchpad/serialize.c-wt (serialize.c compiled in, no LTO)
# go: go version go1.26.5 darwin/arm64 (go run, default optimized build)
# rust: cargo 1.97.1 (c980f4866 2026-06-30); rustc 1.97.1 (8bab26f4f 2026-07-14) (cargo run --release: opt-level 3, no LTO)
# dotnet: 10.0.302 (dotnet run -c Release, workstation GC)
# pinning: none
# noise: D5 c+rust write-spine baseline O2; machine otherwise idle
# schema commit: 20c11f1
# serialize commit: 7fb154e (write-path-slack)
# serialize.c commit: 7c0e042 (read-path-header)
# serialize.go commit: 99ddc82 (degenerate-range-compat-and-docs)
# serialize.rs commit: eecaa18 (read-path-inlining)
# serialize.cs commit: d3d34c9 (main)
# rounds: 3   interleaved: yes
# langs: cpp c
# load_start: 1.69 1.84 1.71
# load_end: 2.10 1.98 1.81
# load_max: 2.10
# core_busy_pct: n/a
# foreign_procs: 4
# control_start_median: 102005178   control_end_median: 101477381
# control_delta_pct: 0.5   window: OK
# corpus_id: 6b118770d85af4f6
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
cpp,rigidbody_moving,write,24000000,105,3,58026085,57661756,58044826,5810.49,0.66,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,rigidbody_moving,read,24000000,105,3,83612198,80722262,85115853,8372.57,5.25,6b118770d85af4f6,gen,hdr,removed,O2,partial:1
cpp,rigidbody_at_rest,write,32000000,57,3,98446784,98396534,104630100,5351.51,6.33,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,rigidbody_at_rest,read,32000000,57,3,127957006,123615602,129784077,6955.67,4.82,6b118770d85af4f6,gen,hdr,removed,O2,partial:1
cpp,chat,write,48000000,13,3,79973203,79919343,80001733,991.49,0.10,6b118770d85af4f6,gen,hdr,removed,O2,partial:1
cpp,chat,read,48000000,13,3,136061958,135957229,136895939,1686.86,0.69,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,test,write,192000000,6,3,766858657,762046387,769903201,4388.00,1.02,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,test,read,192000000,6,3,584032344,583992892,587743558,3341.86,0.64,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,inputpacket,write,16000000,61,3,65964783,65926663,65993533,3837.44,0.10,6b118770d85af4f6,gen,hdr,removed,O2,partial:1
cpp,inputpacket,read,16000000,61,3,46468401,46257002,46499490,2703.26,0.52,6b118770d85af4f6,gen,hdr,removed,O2,partial:1
cpp,shipcreate,write,32000000,28,3,99281656,99154796,99352694,2651.11,0.20,6b118770d85af4f6,gen,hdr,removed,O2,partial:1
cpp,shipcreate,read,32000000,28,3,114130738,113199504,114316386,3047.62,0.98,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,ship_shallow,write,32000000,28,3,126211852,126073533,126389544,3370.22,0.25,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,ship_shallow,read,32000000,28,3,123365032,123296822,123583079,3294.20,0.23,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,probe_header,write,256000000,10,3,1072267590,1040540608,1082583650,10225.94,3.92,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,probe_header,read,256000000,10,3,654415618,654170561,654767391,6240.99,0.09,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,probebits,write,128000000,26,3,182291973,181943192,184312985,4520.03,1.30,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,probebits,read,128000000,26,3,517030535,502346985,521318746,12820.05,3.67,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,probearray,write,20000000,47,3,73971393,73855528,74075560,3315.60,0.30,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,probearray,read,20000000,47,3,71000918,70091524,72725355,3182.45,3.71,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,testdata,write,8000000,92,3,27775399,27768562,27782963,2436.96,0.05,6b118770d85af4f6,gen,hdr,removed,O2,partial:2
cpp,testdata,read,8000000,92,3,27283141,27279012,27309976,2393.77,0.11,6b118770d85af4f6,gen,hdr,removed,O2,partial:5
cpp,message_batch,write,26214400,25,3,82080420,76736902,84220740,1956.95,9.12,6b118770d85af4f6,gen,hdr,removed,O2,partial:2
cpp,message_batch,read,26214400,25,3,64877333,64742153,67339550,1546.80,4.00,6b118770d85af4f6,gen,hdr,removed,O2,full
cpp,bench_packet,write,32000000,49,3,82364160,82184199,82387142,3848.88,0.25,6b118770d85af4f6,rt,hdr,removed,O2,partial:1
cpp,bench_packet,read,32000000,49,3,109441152,108223614,111767779,5114.19,3.24,6b118770d85af4f6,rt,hdr,removed,O2,full
cpp,bench_ints,write,40000000,14,3,186180771,185768112,188207949,2485.78,1.31,6b118770d85af4f6,rt,hdr,removed,O2,full
cpp,bench_ints,read,40000000,14,3,165148874,152721934,175583600,2204.98,13.84,6b118770d85af4f6,rt,hdr,removed,O2,full
cpp,bench_bits,write,48000000,20,3,190128376,182809699,190168079,3626.41,3.87,6b118770d85af4f6,rt,hdr,removed,O2,full
cpp,bench_bits,read,48000000,20,3,179653858,176341061,180184238,3426.63,2.14,6b118770d85af4f6,rt,hdr,removed,O2,full
cpp,bench_mixed,write,40000000,21,3,151046136,150743140,151537992,3025.03,0.53,6b118770d85af4f6,rt,hdr,removed,O2,full
cpp,bench_mixed,read,40000000,21,3,155872370,153280172,159387051,3121.68,3.92,6b118770d85af4f6,rt,hdr,removed,O2,full
cpp,bitpacker,write,24576,65518,3,33264,32870,33564,2078.43,2.09,6b118770d85af4f6,bits,hdr,removed,O2,full
cpp,bitpacker,read,24576,65518,3,41985,41687,42101,2623.34,0.99,6b118770d85af4f6,bits,hdr,removed,O2,full
c,rigidbody_moving,write,24000000,105,3,39086802,38799291,39090622,3913.99,0.75,6b118770d85af4f6,gen,tu,removed,O2,full
c,rigidbody_moving,read,24000000,105,3,47896257,47650531,48014789,4796.13,0.76,6b118770d85af4f6,gen,tu,removed,O2,full
c,rigidbody_at_rest,write,32000000,57,3,67770335,67685331,67809253,3683.96,0.18,6b118770d85af4f6,gen,tu,removed,O2,full
c,rigidbody_at_rest,read,32000000,57,3,94728927,92548407,94835046,5149.41,2.41,6b118770d85af4f6,gen,tu,removed,O2,full
c,chat,write,48000000,13,3,60553229,60527344,60561022,750.72,0.06,6b118770d85af4f6,gen,tu,removed,O2,unknown
c,chat,read,48000000,13,3,154666581,154617258,154705962,1917.52,0.06,6b118770d85af4f6,gen,tu,removed,O2,full
c,test,write,192000000,6,3,238537171,238532133,238649839,1364.92,0.05,6b118770d85af4f6,gen,tu,removed,O2,full
c,test,read,192000000,6,3,226543059,226400143,226617393,1296.29,0.10,6b118770d85af4f6,gen,tu,removed,O2,full
c,inputpacket,write,16000000,61,3,33716578,33682721,33810484,1961.43,0.38,6b118770d85af4f6,gen,tu,removed,O2,partial:4
c,inputpacket,read,16000000,61,3,42947601,42939533,42957979,2498.44,0.04,6b118770d85af4f6,gen,tu,removed,O2,full
c,shipcreate,write,32000000,28,3,56699889,56433010,56749965,1514.05,0.56,6b118770d85af4f6,gen,tu,removed,O2,partial:4
c,shipcreate,read,32000000,28,3,86584538,86581961,86637751,2312.06,0.06,6b118770d85af4f6,gen,tu,removed,O2,full
c,ship_shallow,write,32000000,28,3,46854593,46854524,46888371,1251.15,0.07,6b118770d85af4f6,gen,tu,removed,O2,partial:11
