# schema bench results
# date: 2026-08-14T17:01:42Z
# host: macbook  arch: arm64  os: Darwin 25.5.0
# cpu: Apple M2
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -DBENCH_OPT="O3" -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -Itest -I/private/tmp/claude-501/-Users-glenn-rowan-working-rowan-new/a11d0695-e984-4e04-9c88-b777be2907a3/scratchpad/serialize-wt
# c compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# c flags: -O3 -DNDEBUG -DBENCH_OPT="O3" -std=c99 -Wall -Wextra -Werror -Igenerated/c -I/private/tmp/claude-501/-Users-glenn-rowan-working-rowan-new/a11d0695-e984-4e04-9c88-b777be2907a3/scratchpad/serialize.c-wt (serialize.c compiled in, no LTO)
# go: go version go1.26.5 darwin/arm64 (go run, default optimized build)
# rust: cargo 1.97.1 (c980f4866 2026-06-30); rustc 1.97.1 (8bab26f4f 2026-07-14) (cargo run --release: opt-level 3, no LTO)
# dotnet: 10.0.302 (dotnet run -c Release, workstation GC)
# pinning: none
# noise: D5 c+rust write-spine baseline; machine otherwise idle
# schema commit: 20c11f1
# serialize commit: 7fb154e (write-path-slack)
# serialize.c commit: 7c0e042 (read-path-header)
# serialize.go commit: 99ddc82 (degenerate-range-compat-and-docs)
# serialize.rs commit: eecaa18 (read-path-inlining)
# serialize.cs commit: d3d34c9 (main)
# rounds: 3   interleaved: yes
# langs: cpp c rust
# load_start: 1.41 1.40 1.50
# load_end: 1.77 1.87 1.72
# load_max: 2.15
# core_busy_pct: n/a
# foreign_procs: 6
# control_start_median: 103338084   control_end_median: 103544784
# control_delta_pct: 0.2   window: OK
# corpus_id: 6b118770d85af4f6
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
cpp,rigidbody_moving,write,24000000,105,3,58962451,58873138,59088165,5904.25,0.36,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,rigidbody_moving,read,24000000,105,3,89233553,88122226,91636878,8935.47,3.94,6b118770d85af4f6,gen,hdr,removed,O3,partial:1
cpp,rigidbody_at_rest,write,32000000,57,3,105757607,105609995,106082315,5748.92,0.45,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,rigidbody_at_rest,read,32000000,57,3,132008527,131142368,133277477,7175.91,1.62,6b118770d85af4f6,gen,hdr,removed,O3,partial:1
cpp,chat,write,48000000,13,3,96947973,96692950,97240086,1201.94,0.56,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,chat,read,48000000,13,3,136221142,135638641,136847738,1688.84,0.89,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,test,write,192000000,6,3,768112270,766260335,768429423,4395.17,0.28,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,test,read,192000000,6,3,738857017,738734777,750619164,4227.77,1.61,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,inputpacket,write,16000000,61,3,66065926,65989484,66069677,3843.33,0.12,6b118770d85af4f6,gen,hdr,removed,O3,partial:1
cpp,inputpacket,read,16000000,61,3,47560847,45949476,47660556,2766.81,3.60,6b118770d85af4f6,gen,hdr,removed,O3,partial:1
cpp,shipcreate,write,32000000,28,3,99892641,99871493,99918998,2667.42,0.05,6b118770d85af4f6,gen,hdr,removed,O3,partial:1
cpp,shipcreate,read,32000000,28,3,112835012,98539713,114568641,3013.02,14.21,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,ship_shallow,write,32000000,28,3,121189245,121119217,121315247,3236.10,0.16,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,ship_shallow,read,32000000,28,3,124141576,123025032,124315114,3314.94,1.04,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probe_header,write,256000000,10,3,1062364828,1024505766,1076559988,10131.50,4.90,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probe_header,read,256000000,10,3,918918871,907821001,935079973,8763.49,2.97,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probebits,write,128000000,26,3,188489640,187823039,189058312,4673.70,0.66,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probebits,read,128000000,26,3,534083369,534078076,543883157,13242.88,1.84,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probearray,write,20000000,47,3,73895869,73867086,73929433,3312.21,0.08,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probearray,read,20000000,47,3,71631228,68287674,73691911,3210.70,7.54,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,testdata,write,8000000,92,3,27897128,27894169,27910291,2447.64,0.06,6b118770d85af4f6,gen,hdr,removed,O3,partial:2
cpp,testdata,read,8000000,92,3,27280861,27250838,27318466,2393.57,0.25,6b118770d85af4f6,gen,hdr,removed,O3,partial:5
cpp,message_batch,write,26214400,25,3,87091283,82474534,92099178,2076.42,11.05,6b118770d85af4f6,gen,hdr,removed,O3,partial:2
cpp,message_batch,read,26214400,25,3,75264843,74783022,76796859,1794.45,2.68,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,bench_packet,write,32000000,49,3,83604695,83240474,83631698,3906.85,0.47,6b118770d85af4f6,rt,hdr,removed,O3,partial:1
cpp,bench_packet,read,32000000,49,3,102324580,100697435,103697365,4781.63,2.93,6b118770d85af4f6,rt,hdr,removed,O3,full
cpp,bench_ints,write,40000000,14,3,183872117,183299261,186931720,2454.96,1.98,6b118770d85af4f6,rt,hdr,removed,O3,full
cpp,bench_ints,read,40000000,14,3,164287521,155478529,177490966,2193.48,13.40,6b118770d85af4f6,rt,hdr,removed,O3,full
cpp,bench_bits,write,48000000,20,3,186992285,181213565,188819958,3566.59,4.07,6b118770d85af4f6,rt,hdr,removed,O3,full
cpp,bench_bits,read,48000000,20,3,176931999,174367520,179753682,3374.71,3.04,6b118770d85af4f6,rt,hdr,removed,O3,full
cpp,bench_mixed,write,40000000,21,3,153688229,150068961,154164414,3077.94,2.66,6b118770d85af4f6,rt,hdr,removed,O3,full
