# schema bench results
# date: 2026-08-14T14:24:45Z
# host: macbook  arch: arm64  os: Darwin 25.5.0
# cpu: Apple M2
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -DBENCH_OPT="O3" -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -Itest -I../serialize
# c compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# c flags: -O3 -DNDEBUG -DBENCH_OPT="O3" -std=c99 -Wall -Wextra -Werror -Igenerated/c -I../serialize.c (serialize.c compiled in, no LTO)
# go: go version go1.26.5 darwin/arm64 (go run, default optimized build)
# rust: cargo 1.97.1 (c980f4866 2026-06-30); rustc 1.97.1 (8bab26f4f 2026-07-14) (cargo run --release: opt-level 3, no LTO)
# dotnet: 10.0.302 (dotnet run -c Release, workstation GC)
# pinning: none
# noise: autonomous read-path-inlining diagnostic; machine otherwise idle; sequential legs
# schema commit: 20c11f1
# serialize commit: f8eb71f (degenerate-range-int64-fixed)
# serialize.c commit: de823b8 (main)
# serialize.go commit: 99ddc82 (degenerate-range-compat-and-docs)
# serialize.rs commit: 163138e (read-path-inlining)
# serialize.cs commit: d3d34c9 (main)
# rounds: 3   interleaved: yes
# langs: cpp rust
# load_start: 1.40 1.31 1.56
# load_end: 1.94 1.82 1.71
# load_max: 2.23
# core_busy_pct: n/a
# foreign_procs: 3
# control_start_median: 103349177   control_end_median: 103479154
# control_delta_pct: 0.1   window: OK
# corpus_id: 6b118770d85af4f6
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
cpp,rigidbody_moving,write,24000000,105,3,58880371,58789038,59072585,5896.03,0.48,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,rigidbody_moving,read,24000000,105,3,90652143,86513896,90866512,9077.53,4.80,6b118770d85af4f6,gen,hdr,removed,O3,partial:1
cpp,rigidbody_at_rest,write,32000000,57,3,106553542,106406989,106602779,5792.19,0.18,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,rigidbody_at_rest,read,32000000,57,3,133334907,125237613,134384589,7248.01,6.86,6b118770d85af4f6,gen,hdr,removed,O3,partial:1
cpp,chat,write,48000000,13,3,96202402,94786316,96466924,1192.69,1.75,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,chat,read,48000000,13,3,136107323,135911322,136252447,1687.43,0.25,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,test,write,192000000,6,3,767998335,764764788,768403027,4394.52,0.47,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,test,read,192000000,6,3,740526588,739233944,751206529,4237.33,1.62,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,inputpacket,write,16000000,61,3,65996448,65941312,66018561,3839.29,0.12,6b118770d85af4f6,gen,hdr,removed,O3,partial:1
cpp,inputpacket,read,16000000,61,3,47522623,47483216,47667040,2764.59,0.39,6b118770d85af4f6,gen,hdr,removed,O3,partial:1
cpp,shipcreate,write,32000000,28,3,99838023,99687878,99852445,2665.96,0.16,6b118770d85af4f6,gen,hdr,removed,O3,partial:1
cpp,shipcreate,read,32000000,28,3,114860839,114490946,114936904,3067.12,0.39,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,ship_shallow,write,32000000,28,3,121288290,121124643,121328816,3238.75,0.17,6b118770d85af4f6,gen,hdr,removed,O3,full
