# schema bench results
# date: 2026-08-14T17:53:25Z
# host: macbook  arch: arm64  os: Darwin 25.5.0
# cpu: Apple M2
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -DBENCH_OPT="O3" -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -Itest -I/private/tmp/claude-501/-Users-glenn-rowan-working-rowan-new/a11d0695-e984-4e04-9c88-b777be2907a3/scratchpad/serialize-wt
# c compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# c flags: -O3 -DNDEBUG -DBENCH_OPT="O3" -std=c99 -Wall -Wextra -Werror -Igenerated/c -I/private/tmp/claude-501/-Users-glenn-rowan-working-rowan-new/a11d0695-e984-4e04-9c88-b777be2907a3/scratchpad/serialize.c-wt (serialize.c compiled in, no LTO)
# go: go version go1.26.5 darwin/arm64 (go run, default optimized build)
# rust: cargo 1.97.1 (c980f4866 2026-06-30); rustc 1.97.1 (8bab26f4f 2026-07-14) (cargo run --release: opt-level 3, no LTO)
# dotnet: 10.0.302 (dotnet run -c Release, workstation GC)
# pinning: none
# noise: D5 rust write-spine after; machine otherwise idle
# schema commit: 20c11f1
# serialize commit: 7fb154e (write-path-slack)
# serialize.c commit: 4871f4c (read-path-header)
# serialize.go commit: 99ddc82 (degenerate-range-compat-and-docs)
# serialize.rs commit: eecaa18 (read-path-inlining)
# serialize.cs commit: d3d34c9 (main)
# rounds: 3   interleaved: yes
# langs: cpp c rust
# load_start: 2.07 1.88 1.78
# load_end: 2.06 2.08 1.91
# load_max: 2.29
# core_busy_pct: n/a
# foreign_procs: 3
# control_start_median: 103566104   control_end_median: 103473721
# control_delta_pct: 0.1   window: OK
# corpus_id: 6b118770d85af4f6
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
cpp,rigidbody_moving,write,24000000,105,3,58920720,58890948,59091790,5900.07,0.34,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,rigidbody_moving,read,24000000,105,3,89879154,85194952,90501548,9000.12,5.90,6b118770d85af4f6,gen,hdr,removed,O3,partial:1
cpp,rigidbody_at_rest,write,32000000,57,3,106468812,104833536,106744620,5787.58,1.79,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,rigidbody_at_rest,read,32000000,57,3,134731098,129901081,134834278,7323.91,3.66,6b118770d85af4f6,gen,hdr,removed,O3,partial:1
cpp,chat,write,48000000,13,3,96761635,96721169,96941953,1199.63,0.23,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,chat,read,48000000,13,3,135908501,135641196,136052221,1684.96,0.30,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,test,write,192000000,6,3,767047839,762681565,768514265,4389.08,0.76,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,test,read,192000000,6,3,739525793,739193980,751815175,4231.60,1.71,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,inputpacket,write,16000000,61,3,66022262,65725739,66030209,3840.79,0.46,6b118770d85af4f6,gen,hdr,removed,O3,partial:1
cpp,inputpacket,read,16000000,61,3,47577977,43560371,47702551,2767.81,8.71,6b118770d85af4f6,gen,hdr,removed,O3,partial:1
cpp,shipcreate,write,32000000,28,3,99908612,99862221,99932598,2667.85,0.07,6b118770d85af4f6,gen,hdr,removed,O3,partial:1
cpp,shipcreate,read,32000000,28,3,114512200,109739102,114754174,3057.81,4.38,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,ship_shallow,write,32000000,28,3,121242489,121237245,121376581,3237.52,0.11,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,ship_shallow,read,32000000,28,3,122545598,121495034,123456870,3272.32,1.60,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probe_header,write,256000000,10,3,1036318196,1034436429,1070647020,9883.10,3.49,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probe_header,read,256000000,10,3,921607972,917238212,944807062,8789.14,2.99,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probebits,write,128000000,26,3,188715953,187972041,189382684,4679.31,0.75,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probebits,read,128000000,26,3,552103907,540527226,552158587,13689.71,2.11,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probearray,write,20000000,47,3,73865325,73830070,73884779,3310.84,0.07,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probearray,read,20000000,47,3,70393638,70014916,71926955,3155.23,2.72,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,testdata,write,8000000,92,3,27888922,27856802,27924673,2446.92,0.24,6b118770d85af4f6,gen,hdr,removed,O3,partial:2
cpp,testdata,read,8000000,92,3,27337716,27327188,27343132,2398.56,0.06,6b118770d85af4f6,gen,hdr,removed,O3,partial:5
cpp,message_batch,write,26214400,25,3,87395037,77200373,92601499,2083.66,17.62,6b118770d85af4f6,gen,hdr,removed,O3,partial:2
cpp,message_batch,read,26214400,25,3,75334689,68232277,76061354,1796.12,10.39,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,bench_packet,write,32000000,49,3,83328035,79547384,83500007,3893.92,4.74,6b118770d85af4f6,rt,hdr,removed,O3,partial:1
cpp,bench_packet,read,32000000,49,3,100882459,100338905,107182019,4714.24,6.78,6b118770d85af4f6,rt,hdr,removed,O3,full
cpp,bench_ints,write,40000000,14,3,186944170,182385338,188939335,2495.97,3.51,6b118770d85af4f6,rt,hdr,removed,O3,full
cpp,bench_ints,read,40000000,14,3,179194409,164601546,180996568,2392.50,9.15,6b118770d85af4f6,rt,hdr,removed,O3,full
cpp,bench_bits,write,48000000,20,3,181158281,180625529,189774670,3455.32,5.05,6b118770d85af4f6,rt,hdr,removed,O3,full
cpp,bench_bits,read,48000000,20,3,181779422,173011810,182981541,3467.17,5.48,6b118770d85af4f6,rt,hdr,removed,O3,full
cpp,bench_mixed,write,40000000,21,3,153176669,149562739,153783975,3067.69,2.76,6b118770d85af4f6,rt,hdr,removed,O3,full
cpp,bench_mixed,read,40000000,21,3,157440851,153150179,157935857,3153.09,3.04,6b118770d85af4f6,rt,hdr,removed,O3,full
cpp,bitpacker,write,24576,65518,3,60223,59822,60675,3762.90,1.42,6b118770d85af4f6,bits,hdr,removed,O3,full
cpp,bitpacker,read,24576,65518,3,93477,93212,93568,5840.71,0.38,6b118770d85af4f6,bits,hdr,removed,O3,full
c,rigidbody_moving,write,24000000,105,3,39775797,39106737,39794198,3982.98,1.73,6b118770d85af4f6,gen,tu,removed,O3,full
c,rigidbody_moving,read,24000000,105,3,49433065,49326285,49588519,4950.02,0.53,6b118770d85af4f6,gen,tu,removed,O3,full
c,rigidbody_at_rest,write,32000000,57,3,69089402,68159502,69112381,3755.66,1.38,6b118770d85af4f6,gen,tu,removed,O3,full
c,rigidbody_at_rest,read,32000000,57,3,97562760,97457279,97564248,5303.46,0.11,6b118770d85af4f6,gen,tu,removed,O3,full
c,chat,write,48000000,13,3,60674856,60659751,60678001,752.23,0.03,6b118770d85af4f6,gen,tu,removed,O3,unknown
c,chat,read,48000000,13,3,170378311,170357147,170382544,2112.31,0.01,6b118770d85af4f6,gen,tu,removed,O3,full
c,test,write,192000000,6,3,234077545,233958889,234105516,1339.40,0.06,6b118770d85af4f6,gen,tu,removed,O3,full
c,test,read,192000000,6,3,600923920,594142130,601031144,3438.51,1.15,6b118770d85af4f6,gen,tu,removed,O3,unknown
c,inputpacket,write,16000000,61,3,47550270,47517789,47555923,2766.20,0.08,6b118770d85af4f6,gen,tu,removed,O3,full
c,inputpacket,read,16000000,61,3,39532723,39520517,39544057,2299.78,0.06,6b118770d85af4f6,gen,tu,removed,O3,full
c,shipcreate,write,32000000,28,3,69332652,69314330,69354591,1851.38,0.06,6b118770d85af4f6,gen,tu,removed,O3,full
c,shipcreate,read,32000000,28,3,87345780,87138138,87433366,2332.38,0.34,6b118770d85af4f6,gen,tu,removed,O3,full
c,ship_shallow,write,32000000,28,3,72256130,72190438,72293348,1929.45,0.14,6b118770d85af4f6,gen,tu,removed,O3,full
c,ship_shallow,read,32000000,28,3,92735614,92726208,92762765,2476.31,0.04,6b118770d85af4f6,gen,tu,removed,O3,full
c,probe_header,write,256000000,10,3,212345396,212222525,212433853,2025.08,0.10,6b118770d85af4f6,gen,tu,removed,O3,full
c,probe_header,read,256000000,10,3,237296525,227175113,242572634,2263.04,6.49,6b118770d85af4f6,gen,tu,removed,O3,full
c,probebits,write,128000000,26,3,127824114,127749738,127846329,3169.47,0.08,6b118770d85af4f6,gen,tu,removed,O3,full
c,probebits,read,128000000,26,3,176899667,176847120,177118258,4386.32,0.15,6b118770d85af4f6,gen,tu,removed,O3,full
c,probearray,write,20000000,47,3,33751970,33748496,33771861,1512.85,0.07,6b118770d85af4f6,gen,tu,removed,O3,partial:1
c,probearray,read,20000000,47,3,41576325,41567424,41595781,1863.56,0.07,6b118770d85af4f6,gen,tu,removed,O3,partial:1
c,testdata,write,8000000,92,3,17087919,17086423,17088029,1499.26,0.01,6b118770d85af4f6,gen,tu,removed,O3,partial:2
c,testdata,read,8000000,92,3,22196819,22181802,22203966,1947.51,0.10,6b118770d85af4f6,gen,tu,removed,O3,partial:1
c,message_batch,write,26214400,25,3,65499811,64939209,67826325,1561.64,4.41,6b118770d85af4f6,gen,tu,removed,O3,partial:1
c,message_batch,read,26214400,25,3,96373636,93012298,111903491,2297.73,19.60,6b118770d85af4f6,gen,tu,removed,O3,unknown
c,bench_packet,write,32000000,49,3,62372088,62298139,62478279,2914.65,0.29,6b118770d85af4f6,rt,tu,removed,O3,partial:1
c,bench_packet,read,32000000,49,3,99575559,99512699,99713946,4653.17,0.20,6b118770d85af4f6,rt,tu,removed,O3,full
c,bench_ints,write,40000000,14,3,120272176,120165588,120635993,1605.81,0.39,6b118770d85af4f6,rt,tu,removed,O3,full
c,bench_ints,read,40000000,14,3,129505580,129484619,129507677,1729.09,0.02,6b118770d85af4f6,rt,tu,removed,O3,full
c,bench_bits,write,48000000,20,3,117340478,117175199,117455618,2238.09,0.24,6b118770d85af4f6,rt,tu,removed,O3,full
c,bench_bits,read,48000000,20,3,161824845,161813934,161829210,3086.56,0.01,6b118770d85af4f6,rt,tu,removed,O3,full
c,bench_mixed,write,40000000,21,3,98031046,97723292,98245821,1963.28,0.53,6b118770d85af4f6,rt,tu,removed,O3,full
c,bench_mixed,read,40000000,21,3,128225266,128086484,128266795,2567.99,0.14,6b118770d85af4f6,rt,tu,removed,O3,full
c,bitpacker,write,24576,65518,3,33982,33970,34024,2123.29,0.16,6b118770d85af4f6,bits,tu,removed,O3,full
c,bitpacker,read,24576,65518,3,37970,37962,37982,2372.47,0.05,6b118770d85af4f6,bits,tu,removed,O3,full
rust,rigidbody_moving,write,24000000,105,3,42627408,42573447,42691171,4268.53,0.28,6b118770d85af4f6,gen,crate,always,O3,full
rust,rigidbody_moving,read,24000000,105,3,43310384,43294381,43897798,4336.92,1.39,6b118770d85af4f6,gen,crate,always,O3,partial:54
rust,rigidbody_at_rest,write,32000000,57,3,76360894,76314100,76377153,4150.94,0.08,6b118770d85af4f6,gen,crate,always,O3,full
rust,rigidbody_at_rest,read,32000000,57,3,79042710,78914166,79105376,4296.72,0.24,6b118770d85af4f6,gen,crate,always,O3,partial:54
rust,chat,write,48000000,13,3,67978358,67949016,68003430,842.78,0.08,6b118770d85af4f6,gen,crate,always,O3,partial:1
rust,chat,read,48000000,13,3,94307394,94301095,94365426,1169.20,0.07,6b118770d85af4f6,gen,crate,always,O3,partial:5
rust,test,write,192000000,6,3,234737300,234474940,235850988,1343.18,0.59,6b118770d85af4f6,gen,crate,always,O3,full
rust,test,read,192000000,6,3,208944095,208847767,209225577,1195.59,0.18,6b118770d85af4f6,gen,crate,always,O3,partial:10
rust,inputpacket,write,16000000,61,3,49669459,49633840,49705308,2889.48,0.14,6b118770d85af4f6,gen,crate,always,O3,full
rust,inputpacket,read,16000000,61,3,38623977,38361217,39153621,2246.92,2.05,6b118770d85af4f6,gen,crate,always,O3,partial:39
rust,shipcreate,write,32000000,28,3,76115486,76079278,76124026,2032.50,0.06,6b118770d85af4f6,gen,crate,always,O3,full
rust,shipcreate,read,32000000,28,3,79810998,79715135,79922858,2131.18,0.26,6b118770d85af4f6,gen,crate,always,O3,partial:45
rust,ship_shallow,write,32000000,28,3,82634491,82372809,82650276,2206.58,0.34,6b118770d85af4f6,gen,crate,always,O3,unknown
rust,ship_shallow,read,32000000,28,3,77103634,77048265,77148875,2058.89,0.13,6b118770d85af4f6,gen,crate,always,O3,unknown
rust,probe_header,write,256000000,10,3,214027101,213705953,214042013,2041.12,0.16,6b118770d85af4f6,gen,crate,always,O3,full
rust,probe_header,read,256000000,10,3,182741657,182707241,184335685,1742.76,0.89,6b118770d85af4f6,gen,crate,always,O3,partial:11
rust,probebits,write,128000000,26,3,123807751,123758861,123844181,3069.88,0.07,6b118770d85af4f6,gen,crate,always,O3,full
rust,probebits,read,128000000,26,3,136608365,136605133,136653485,3387.28,0.04,6b118770d85af4f6,gen,crate,always,O3,partial:16
rust,probearray,write,20000000,47,3,54383189,53593901,54439798,2437.60,1.56,6b118770d85af4f6,gen,crate,always,O3,full
