# era: certified-space-1 (CERTIFIED tier — §2.6 controls + §2.6.1 twins/bands; WINDOW 1 of 2: valid, 7 C rows §2.3-invalid from a round-5 state event, see report)
# schema bench results
# date: 2026-08-17T09:52:38Z
# host: spacegame  arch: x86_64  os: Linux 6.8.0-90-generic
# cpu: AMD EPYC 9124 16-Core Processor
# build: Release
# cpp compiler: g++ (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -DBENCH_OPT="O3" -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -Igenerated/bench/cpp -Itest -I../serialize -Wno-class-memaccess -Wno-type-limits
# c compiler: gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0
# c flags: -O3 -DNDEBUG -DBENCH_OPT="O3" -std=c99 -Wall -Wextra -Werror -Igenerated/c -Igenerated/bench/c -I../serialize.c -Wno-stringop-truncation (serialize.c compiled in, no LTO)
# go: not present (go run, default optimized build)
# rust: not present (cargo run --release: opt-level 3, no LTO)
# dotnet: not present (dotnet run -c Release, workstation GC)
# pinning: taskset -c 15
# noise: QUIET: game server stopped for certified pass era certified-space-1 (stopped 09:49:01Z; no players before stop: journal 2h empty, no game UDP flows)
# schema commit: 22a4604
# serialize commit: dd24915 (main) [build-verified: /home/ubuntu/rowan-bench-quick/serialize]
# serialize.c commit: dcbf47a (main) [build-verified: /home/ubuntu/rowan-bench-quick/serialize.c]
# serialize.go commit: unknown (unknown) [UNVERIFIED — leg not run this invocation; path recorded from the environment, not proven against a build]
# serialize.rs commit: unknown (unknown) [UNVERIFIED — leg not run this invocation; path recorded from the environment, not proven against a build]
# serialize.cs commit: unknown (unknown) [UNVERIFIED — leg not run this invocation; path recorded from the environment, not proven against a build]
# rounds: 7   interleaved: yes
# langs: cpp c
# load_start: 0.20 3.49 5.49
# load_end: 1.07 1.09 2.48
# load_max: 1.07
# core_busy_pct: 98.0
# foreign_procs: 1
# control_start_median: 114247052   control_end_median: 114071203
# control_delta_pct: 0.2   window: OK
# corpus_id: 7a7c343f1a446f4c
# twin_gate: OK (§2.6.1 A/A twin legs, alternating positions, same inode; 72/72 twin-ok)
# twin_gate_note: first adjudication SUSPECTed c/probebits/write and cpp/bench_packet/write via the 2-decimal spread_pct print — the band collapsed to 0.00 on rows whose twins agree to ~1 ppm; re-adjudicated on the SAME twin data at full-precision band (schema commit 8e32b70), 72/72 twin-ok; original verdict preserved in certified-space-1-pass-original.csv and twingate.txt
# aggregate_note: rows re-aggregated from the same per-round files with real_packet restored (order-list omission fixed, schema commit d103b3e); driver original preserved beside this file
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
c,rigidbody_moving,write,24000000,105,14,127574913,114273291,127577854,12774.82,10.43,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,rigidbody_moving,read,24000000,105,14,196482196,78630268,197663425,19674.90,60.58,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,rigidbody_at_rest,write,32000000,57,14,206812434,131370034,208419888,11242.21,37.26,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,rigidbody_at_rest,read,32000000,57,14,97325936,68491693,97327666,5290.58,29.63,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,chat,write,48000000,13,14,65974552,63438849,66023010,817.94,3.92,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,chat,read,48000000,13,14,96420184,95319853,99959325,1195.39,4.81,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,test,write,192000000,6,14,403565474,403204651,404190729,2309.22,0.24,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,test,read,192000000,6,14,738106428,732106057,740892300,4223.48,1.19,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,inputpacket,write,16000000,61,14,55211862,55211477,55218935,3211.90,0.01,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,inputpacket,read,16000000,61,14,22805484,21442637,26803274,1326.69,23.51,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,shipcreate,write,32000000,28,14,78717392,36997649,84065191,2101.98,59.79,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,shipcreate,read,32000000,28,14,136307054,78960363,139232188,3639.79,44.22,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,ship_shallow,write,32000000,28,14,90236492,41651090,98685287,2409.57,63.21,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,ship_shallow,read,32000000,28,14,155878834,80415030,156479599,4162.41,48.80,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,probe_header,write,256000000,10,14,369983782,369980702,388380461,3528.44,4.97,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,probe_header,read,256000000,10,14,888038738,881308985,896385894,8469.00,1.70,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,probebits,write,128000000,26,14,246651126,246649567,246652564,6115.85,0.00,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,probebits,read,128000000,26,14,428309255,425215721,432456119,10620.16,1.69,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,probearray,write,20000000,47,14,49322494,48967768,49326541,2210.77,0.73,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,probearray,read,20000000,47,14,78624310,77510452,78679521,3524.15,1.49,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
