band-ok: c/rigidbody_moving/write best 127577760 within band [127499109, 127574514] (±15%; 5 prior rows)
band-ok: c/rigidbody_moving/read best 197480166 within band [61650700, 196488619] (±15%; 5 prior rows)
band-ok: c/rigidbody_at_rest/write best 208364610 within band [206216889, 208313190] (±15%; 5 prior rows)
band-ok: c/rigidbody_at_rest/read best 97326878 within band [77075400, 97327857] (±15%; 5 prior rows)
band-ok: c/chat/write best 66018188 within band [65481142, 65996606] (±15%; 5 prior rows)
band-ok: c/chat/read best 99959933 within band [94242812, 99958904] (±15%; 5 prior rows)
band-ok: c/test/write best 403959649 within band [403243138, 404330296] (±15%; 5 prior rows)
band-ok: c/test/read best 740662311 within band [731520626, 741639289] (±15%; 5 prior rows)
band-ok: c/inputpacket/write best 55219054 within band [55217312, 55219239] (±15%; 5 prior rows)
band-ok: c/inputpacket/read best 22913176 within band [21410831, 22914821] (±15%; 5 prior rows)
band-ok: c/shipcreate/write best 84066356 within band [78699372, 84065447] (±15%; 5 prior rows)
band-ok: c/shipcreate/read best 138846908 within band [69867736, 137419271] (±15%; 5 prior rows)
band-ok: c/ship_shallow/write best 98627373 within band [90235890, 98654596] (±15%; 5 prior rows)
band-ok: c/ship_shallow/read best 156608106 within band [77132660, 156535920] (±15%; 5 prior rows)
band-ok: c/probe_header/write best 388320566 within band [354378716, 388086897] (±15%; 5 prior rows)
band-ok: c/probe_header/read best 896225513 within band [880842617, 893596788] (±15%; 5 prior rows)
band-ok: c/probebits/write best 246653364 within band [238215271, 246650592] (±15%; 5 prior rows)
band-ok: c/probebits/read best 430716675 within band [428438893, 432888203] (±15%; 5 prior rows)
band-ok: c/probearray/write best 49326893 within band [25957763, 49326453] (±15%; 5 prior rows)
band-ok: c/probearray/read best 78677063 within band [31728646, 78675167] (±15%; 5 prior rows)
band-ok: c/testdata/write best 21003959 within band [17682830, 21003764] (±15%; 5 prior rows)
band-ok: c/testdata/read best 48518290 within band [24487194, 48520138] (±15%; 5 prior rows)
band-ok: c/real_packet/write best 6347066 within band [4583587, 6342306] (±15%; 5 prior rows)
band-ok: c/real_packet/read best 7922060 within band [5205248, 7916623] (±15%; 5 prior rows)
band-ok: c/message_batch/write best 91834923 within band [92456803, 94303208] (±15%; 5 prior rows)
band-ok: c/message_batch/read best 62523727 within band [59389137, 62166039] (±15%; 5 prior rows)
band-ok: c/bench_packet/write best 68514720 within band [39782729, 68513899] (±15%; 5 prior rows)
band-ok: c/bench_packet/read best 104152414 within band [104063115, 104139933] (±15%; 5 prior rows)
band-ok: c/bench_ints/write best 99595294 within band [45119084, 99335089] (±15%; 5 prior rows)
band-ok: c/bench_ints/read best 142255106 within band [142167491, 142250115] (±15%; 5 prior rows)
band-ok: c/bench_bits/write best 298597146 within band [287130121, 300952081] (±15%; 5 prior rows)
band-ok: c/bench_bits/read best 359274744 within band [77073977, 358433959] (±15%; 5 prior rows)
band-ok: c/bench_mixed/write best 86041057 within band [40943283, 86039510] (±15%; 5 prior rows)
band-ok: c/bench_mixed/read best 132094613 within band [131997841, 132093215] (±15%; 5 prior rows)
band-ok: c/bitpacker/write best 63816 within band [63649, 63810] (±15%; 5 prior rows)
band-ok: c/bitpacker/read best 60223 within band [60125, 60196] (±15%; 5 prior rows)
band-ok: cpp/rigidbody_moving/write best 132132070 within band [132127433, 132132888] (±15%; 5 prior rows)
band-ok: cpp/rigidbody_moving/read best 180844571 within band [178159208, 180258235] (±15%; 5 prior rows)
band-ok: cpp/rigidbody_at_rest/write best 308315873 within band [264266495, 308313682] (±15%; 5 prior rows)
band-ok: cpp/rigidbody_at_rest/read best 97337202 within band [69001206, 97337437] (±15%; 5 prior rows)
band-ok: cpp/chat/write best 69802995 within band [67581937, 69795969] (±15%; 5 prior rows)
band-ok: cpp/chat/read best 99960769 within band [96124769, 99959685] (±15%; 5 prior rows)
band-ok: cpp/test/write best 246676682 within band [246639836, 246653229] (±15%; 5 prior rows)
band-ok: cpp/test/read best 737134204 within band [731686548, 738715844] (±15%; 5 prior rows)
band-ok: cpp/inputpacket/write best 59672270 within band [51304107, 59672022] (±15%; 5 prior rows)
band-ok: cpp/inputpacket/read best 40198826 within band [39927120, 40634931] (±15%; 5 prior rows)
band-ok: cpp/shipcreate/write best 122919862 within band [121248500, 122898927] (±15%; 5 prior rows)
band-ok: cpp/shipcreate/read best 145667246 within band [141956113, 145666337] (±15%; 5 prior rows)
band-ok: cpp/ship_shallow/write best 145026807 within band [144835474, 145081425] (±15%; 5 prior rows)
band-ok: cpp/ship_shallow/read best 157527330 within band [155559612, 156357244] (±15%; 5 prior rows)
band-ok: cpp/probe_header/write best 336346544 within band [336341821, 336344640] (±15%; 5 prior rows)
band-ok: cpp/probe_header/read best 902435959 within band [895272415, 899180700] (±15%; 5 prior rows)
band-ok: cpp/probebits/write best 223173906 within band [196921556, 202198498] (±15%; 5 prior rows)
band-ok: cpp/probebits/read best 441371215 within band [440539333, 442177775] (±15%; 5 prior rows)
band-ok: cpp/probearray/write best 25495389 within band [25009015, 25416529] (±15%; 5 prior rows)
band-ok: cpp/probearray/read best 31097054 within band [30879310, 31004517] (±15%; 5 prior rows)
band-ok: cpp/testdata/write best 22670655 within band [22014360, 22654002] (±15%; 5 prior rows)
band-ok: cpp/testdata/read best 30456974 within band [30502979, 30925095] (±15%; 5 prior rows)
band-ok: cpp/real_packet/write best 6960914 within band [6858896, 7079468] (±15%; 5 prior rows)
band-ok: cpp/real_packet/read best 9438412 within band [9426842, 9436689] (±15%; 5 prior rows)
band-ok: cpp/message_batch/write best 105690857 within band [104506174, 105886125] (±15%; 5 prior rows)
band-ok: cpp/message_batch/read best 63289284 within band [61132455, 63433904] (±15%; 5 prior rows)
band-ok: cpp/bench_packet/write best 123327591 within band [123309903, 123327531] (±15%; 5 prior rows)
band-ok: cpp/bench_packet/read best 241699687 within band [213492729, 232214180] (±15%; 5 prior rows)
