band-ok: c/rigidbody_moving/write best 127577760 within band [114273291, 127577854] (±15%; 1 prior rows)
no-band: c/rigidbody_moving/read (no prior VALID same-configuration row — first outing for this configuration)
band-ok: c/rigidbody_at_rest/write best 208364610 within band [131370034, 208419888] (±15%; 1 prior rows)
band-ok: c/rigidbody_at_rest/read best 97326878 within band [68491693, 97327666] (±15%; 1 prior rows)
band-ok: c/chat/write best 66018188 within band [63438849, 66023010] (±15%; 1 prior rows)
band-ok: c/chat/read best 99959933 within band [95319853, 99959325] (±15%; 1 prior rows)
band-ok: c/test/write best 403959649 within band [403204651, 404190729] (±15%; 1 prior rows)
band-ok: c/test/read best 740662311 within band [732106057, 740892300] (±15%; 1 prior rows)
band-ok: c/inputpacket/write best 55219054 within band [55211477, 55218935] (±15%; 1 prior rows)
band-ok: c/inputpacket/read best 22913176 within band [21442637, 26803274] (±15%; 1 prior rows)
no-band: c/shipcreate/write (no prior VALID same-configuration row — first outing for this configuration)
no-band: c/shipcreate/read (no prior VALID same-configuration row — first outing for this configuration)
no-band: c/ship_shallow/write (no prior VALID same-configuration row — first outing for this configuration)
no-band: c/ship_shallow/read (no prior VALID same-configuration row — first outing for this configuration)
band-ok: c/probe_header/write best 388320566 within band [369980702, 388380461] (±15%; 1 prior rows)
band-ok: c/probe_header/read best 896225513 within band [881308985, 896385894] (±15%; 1 prior rows)
band-ok: c/probebits/write best 246653364 within band [246649567, 246652564] (±15%; 1 prior rows)
band-ok: c/probebits/read best 430716675 within band [425215721, 432456119] (±15%; 1 prior rows)
band-ok: c/probearray/write best 49326893 within band [48967768, 49326541] (±15%; 1 prior rows)
band-ok: c/probearray/read best 78677063 within band [77510452, 78679521] (±15%; 1 prior rows)
band-ok: c/testdata/write best 21003959 within band [20517411, 20959456] (±15%; 1 prior rows)
band-ok: c/testdata/read best 48518290 within band [47101219, 48562349] (±15%; 1 prior rows)
band-ok: c/real_packet/write best 6347066 within band [6258286, 6325611] (±15%; 1 prior rows)
band-ok: c/real_packet/read best 7922060 within band [7728960, 7916968] (±15%; 1 prior rows)
band-ok: c/message_batch/write best 91834923 within band [92038498, 94075898] (±15%; 1 prior rows)
band-ok: c/message_batch/read best 62523727 within band [59987653, 62133030] (±15%; 1 prior rows)
band-ok: c/bench_packet/write best 68514720 within band [67944497, 68514648] (±15%; 1 prior rows)
band-ok: c/bench_packet/read best 104152414 within band [103698065, 104153680] (±15%; 1 prior rows)
band-ok: c/bench_ints/write best 99595294 within band [94864660, 99613806] (±15%; 1 prior rows)
band-ok: c/bench_ints/read best 142255106 within band [142207643, 142257581] (±15%; 1 prior rows)
no-band: c/bench_bits/write (no prior VALID same-configuration row — first outing for this configuration)
no-band: c/bench_bits/read (no prior VALID same-configuration row — first outing for this configuration)
band-ok: c/bench_mixed/write best 86041057 within band [85313470, 86040890] (±15%; 1 prior rows)
band-ok: c/bench_mixed/read best 132094613 within band [131912747, 132092354] (±15%; 1 prior rows)
band-ok: c/bitpacker/write best 63816 within band [63659, 63815] (±15%; 1 prior rows)
band-ok: c/bitpacker/read best 60223 within band [60102, 60228] (±15%; 1 prior rows)
band-ok: cpp/rigidbody_moving/write best 132132070 within band [132110841, 132131786] (±15%; 1 prior rows)
band-ok: cpp/rigidbody_moving/read best 180844571 within band [178119256, 181313023] (±15%; 1 prior rows)
band-ok: cpp/rigidbody_at_rest/write best 308315873 within band [264192873, 308316571] (±15%; 1 prior rows)
band-ok: cpp/rigidbody_at_rest/read best 97337202 within band [97325024, 97336750] (±15%; 1 prior rows)
band-ok: cpp/chat/write best 69802995 within band [68673114, 69804218] (±15%; 1 prior rows)
band-ok: cpp/chat/read best 99960769 within band [96075989, 99966587] (±15%; 1 prior rows)
band-ok: cpp/test/write best 246676682 within band [246650262, 246676142] (±15%; 1 prior rows)
band-ok: cpp/test/read best 737134204 within band [732347756, 737063206] (±15%; 1 prior rows)
band-ok: cpp/inputpacket/write best 59672270 within band [51183702, 59671942] (±15%; 1 prior rows)
band-ok: cpp/inputpacket/read best 40198826 within band [39895869, 40638422] (±15%; 1 prior rows)
band-ok: cpp/shipcreate/write best 122919862 within band [122770143, 122904635] (±15%; 1 prior rows)
band-ok: cpp/shipcreate/read best 145667246 within band [141998477, 145675727] (±15%; 1 prior rows)
band-ok: cpp/ship_shallow/write best 145026807 within band [144935832, 145076868] (±15%; 1 prior rows)
band-ok: cpp/ship_shallow/read best 157527330 within band [155058096, 156353556] (±15%; 1 prior rows)
band-ok: cpp/probe_header/write best 336346544 within band [336314314, 336344740] (±15%; 1 prior rows)
band-ok: cpp/probe_header/read best 902435959 within band [893000643, 902057244] (±15%; 1 prior rows)
band-ok: cpp/probebits/write best 223173906 within band [196096889, 201696989] (±15%; 1 prior rows)
band-ok: cpp/probebits/read best 441371215 within band [440399654, 442182424] (±15%; 1 prior rows)
band-ok: cpp/probearray/write best 25495389 within band [23197739, 25408765] (±15%; 1 prior rows)
band-ok: cpp/probearray/read best 31097054 within band [28068261, 31002388] (±15%; 1 prior rows)
band-ok: cpp/testdata/write best 22670655 within band [21994690, 22636039] (±15%; 1 prior rows)
band-ok: cpp/testdata/read best 30456974 within band [30610873, 31092726] (±15%; 1 prior rows)
band-ok: cpp/real_packet/write best 6960914 within band [6776849, 6972884] (±15%; 1 prior rows)
band-ok: cpp/real_packet/read best 9438412 within band [9329028, 9441954] (±15%; 1 prior rows)
band-ok: cpp/message_batch/write best 105690857 within band [100569410, 105960570] (±15%; 1 prior rows)
band-ok: cpp/message_batch/read best 63289284 within band [61775791, 63224103] (±15%; 1 prior rows)
band-ok: cpp/bench_packet/write best 123327591 within band [123323450, 123327250] (±15%; 1 prior rows)
band-ok: cpp/bench_packet/read best 241699687 within band [209879999, 232670981] (±15%; 1 prior rows)
band-ok: cpp/bench_ints/write best 213451379 within band [212187407, 213451892] (±15%; 1 prior rows)
band-ok: cpp/bench_ints/read best 260085187 within band [258100617, 261050297] (±15%; 1 prior rows)
band-ok: cpp/bench_bits/write best 281892894 within band [275829810, 280077690] (±15%; 1 prior rows)
band-ok: cpp/bench_bits/read best 365222490 within band [352281951, 365126353] (±15%; 1 prior rows)
band-ok: cpp/bench_mixed/write best 211004134 within band [203324408, 211100664] (±15%; 1 prior rows)
band-ok: cpp/bench_mixed/read best 256408794 within band [255247343, 257608586] (±15%; 1 prior rows)
band-ok: cpp/bitpacker/write best 65156 within band [65093, 65154] (±15%; 1 prior rows)
band-ok: cpp/bitpacker/read best 59383 within band [59239, 59372] (±15%; 1 prior rows)
