# era: certified-space-1 (CERTIFIED tier — §2.6 controls + §2.6.1 twins/bands; WINDOW 2 of 2: fully clean end-to-end — THE reference table of this era)
# schema bench results
# date: 2026-08-17T10:13:22Z
# host: spacegame  arch: x86_64  os: Linux 6.8.0-90-generic
# cpu: AMD EPYC 9124 16-Core Processor
# build: Release
# cpp compiler: g++ (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -DBENCH_OPT="O3" -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -Igenerated/bench/cpp -Itest -I../serialize -Wno-class-memaccess -Wno-type-limits
# c compiler: gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0
# c flags: -O3 -DNDEBUG -DBENCH_OPT="O3" -std=c99 -Wall -Wextra -Werror -Igenerated/c -Igenerated/bench/c -I../serialize.c -Wno-stringop-truncation (serialize.c compiled in, no LTO)
# go: not present (go run, default optimized build)
# rust: not present (cargo run --release: opt-level 3, no LTO)
# dotnet: not present (dotnet run -c Release, workstation GC)
# pinning: taskset -c 15
# noise: QUIET: server stopped for certified-space-1 WINDOW 2 (stopped ~10:13Z; no players: journal shows only our restart, no game flows); twin gate at full-precision band (post-fix)
# schema commit: 22a4604
# serialize commit: dd24915 (main) [build-verified: /home/ubuntu/rowan-bench-quick/serialize]
# serialize.c commit: dcbf47a (main) [build-verified: /home/ubuntu/rowan-bench-quick/serialize.c]
# serialize.go commit: unknown (unknown) [UNVERIFIED — leg not run this invocation; path recorded from the environment, not proven against a build]
# serialize.rs commit: unknown (unknown) [UNVERIFIED — leg not run this invocation; path recorded from the environment, not proven against a build]
# serialize.cs commit: unknown (unknown) [UNVERIFIED — leg not run this invocation; path recorded from the environment, not proven against a build]
# rounds: 7   interleaved: yes
# langs: cpp c
# load_start: 4.83 2.95 2.90
# load_end: 1.05 1.07 1.63
# load_max: 4.83
# core_busy_pct: 98.1
# foreign_procs: 1
# control_start_median: 114162298   control_end_median: 113978440
# control_delta_pct: 0.2   window: OK
# twin_gate: OK (§2.6.1 A/A twin legs, alternating positions, same inode)
# corpus_id: 7a7c343f1a446f4c
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
c,rigidbody_moving,write,24000000,105,14,127576023,127550739,127577760,12774.93,0.02,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,rigidbody_moving,read,24000000,105,14,196353516,195294595,197480166,19662.02,1.11,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,rigidbody_at_rest,write,32000000,57,14,207217328,206622387,208364610,11264.22,0.84,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,rigidbody_at_rest,read,32000000,57,14,97325825,97317421,97326878,5290.58,0.01,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,chat,write,48000000,13,14,65972989,65390474,66018188,817.92,0.95,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,chat,read,48000000,13,14,99956569,95656095,99959933,1239.24,4.31,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,test,write,192000000,6,14,403698430,403138071,403959649,2309.98,0.20,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,test,read,192000000,6,14,738909645,726832254,740662311,4228.07,1.87,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,inputpacket,write,16000000,61,14,55218600,55218236,55219054,3212.29,0.00,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,inputpacket,read,16000000,61,14,22766884,21122399,22913176,1324.44,7.87,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,shipcreate,write,32000000,28,14,80131106,78477515,84066356,2139.73,6.97,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,shipcreate,read,32000000,28,14,135130802,134014673,138846908,3608.38,3.58,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,ship_shallow,write,32000000,28,14,94062874,90227096,98627373,2511.75,8.93,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,ship_shallow,read,32000000,28,14,156406934,153663542,156608106,4176.52,1.88,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,probe_header,write,256000000,10,14,378436679,368720792,388320566,3609.05,5.18,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,probe_header,read,256000000,10,14,888521852,869650625,896225513,8473.60,2.99,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
c,probebits,write,128000000,26,14,246651634,246422848,246653364,6115.86,0.09,7a7c343f1a446f4c,gen,hdr,removed,O3,unknown
