# schema bench results
# date: 2026-08-30T13:21:11Z
# host: macbook  arch: arm64  os: Darwin 25.6.0
# cpu: Apple M2
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -DBENCH_OPT="O3" -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -Igenerated/bench/cpp -Itest -I../serialize
# c compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# c flags: -O3 -DNDEBUG -DBENCH_OPT="O3" -std=c99 -Wall -Wextra -Werror -Igenerated/c -Igenerated/bench/c -I../serialize.c (serialize.c compiled in, no LTO)
# go: go version go1.27.0 darwin/arm64 (go run, default optimized build)
# rust: cargo 1.98.0 (797e8a9bc 2026-08-05) (Homebrew); rustc 1.98.0 (88d9e12ae 2026-08-18) (Homebrew) (cargo run --release at opt-level 3, no LTO)
# dotnet: 10.0.400 (dotnet run -c Release, workstation GC)
# node: v26.7.0 (NODE_ENV=production — serialize.js's caller-trust release mode; the runner records the mode that ran in its checks column)
# java: openjdk 21.0.12.1 2026-08-18 LTS (generated codecs, zero runtime dependency; default JVM flags, no -ea)
# dart: Dart SDK version: 3.13.2 (stable) (Tue Aug 25 01:01:12 2026 -0700) on "macos_arm64" (generated codecs, zero runtime dependency; AOT executable)
# elixir: 1.20.4 (generated codecs, zero runtime dependency; pinned BEAM toolchain)
# pinning: none
# noise: ninelang-air-1: M2 Air, macOS, unpinned by construction (§7), interactive machine quiesced, caffeinated
# schema commit: ad80d47
# serialize commit: cebaed2 (main) [build-verified: /Users/glenn/rowan-working/serialize]
# serialize.c commit: 37db942 (main) [build-verified: /Users/glenn/rowan-working/serialize.c]
# serialize.go commit: ecfb3c9 (main) [build-verified: /Users/glenn/rowan-working/serialize.go]
# serialize.rs commit: 6b52aa6 (main) [build-verified: /Users/glenn/rowan-working/serialize.rs]
# serialize.cs commit: f08327e (main) [build-verified: /Users/glenn/rowan-working/serialize.cs]
# serialize.js commit: e391f1e (main) [build-verified: /Users/glenn/rowan-working/serialize.js]
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
cpp,rigidbody_moving,write,24000000,105,7,610134595,577760441,611224885,61096.32,5.48,bc776c004485e408,gen,hdr,removed,O3,unknown
cpp,rigidbody_moving,read,24000000,105,7,460790050,454811407,462112031,46141.58,1.58,bc776c004485e408,gen,hdr,removed,O3,unknown
cpp,rigidbody_at_rest,write,32000000,57,7,823608384,795019540,827468499,44770.89,3.94,bc776c004485e408,gen,hdr,removed,O3,unknown
cpp,rigidbody_at_rest,read,32000000,57,7,484720269,483119444,485031599,26349.12,0.39,bc776c004485e408,gen,hdr,removed,O3,unknown
cpp,chat,write,48000000,13,7,128078085,127762985,128588866,1587.88,0.64,bc776c004485e408,gen,hdr,removed,O3,unknown
cpp,chat,read,48000000,13,7,226496291,226334089,226640443,2808.05,0.14,bc776c004485e408,gen,hdr,removed,O3,unknown
cpp,test,write,192000000,6,7,759963011,755347676,762925653,4348.54,1.00,bc776c004485e408,gen,hdr,removed,O3,unknown
cpp,test,read,192000000,6,7,1040382326,1036372676,1041179698,5953.12,0.46,bc776c004485e408,gen,hdr,removed,O3,unknown
cpp,inputpacket,write,16000000,61,7,111766706,111633618,111881299,6501.93,0.22,bc776c004485e408,gen,hdr,removed,O3,unknown
cpp,inputpacket,read,16000000,61,7,291683601,289488183,292761473,16968.44,1.12,bc776c004485e408,gen,hdr,removed,O3,unknown
cpp,shipcreate,write,32000000,28,7,457910950,444789107,463198348,12227.54,4.02,bc776c004485e408,gen,hdr,removed,O3,unknown
cpp,shipcreate,read,32000000,28,7,249578349,247220221,250385523,6664.46,1.27,bc776c004485e408,gen,hdr,removed,O3,unknown
cpp,probe_header,write,256000000,10,7,1050205785,1026849853,1080963723,10015.54,5.15,bc776c004485e408,gen,hdr,removed,O3,unknown
cpp,probe_header,read,256000000,10,7,1429451211,1427561365,1430806065,13632.31,0.23,bc776c004485e408,gen,hdr,removed,O3,unknown
cpp,probebits,write,128000000,26,7,598549921,593393283,600599778,14841.36,1.20,bc776c004485e408,gen,hdr,removed,O3,unknown
cpp,probebits,read,128000000,26,7,779523501,777462494,781442966,19328.70,0.51,bc776c004485e408,gen,hdr,removed,O3,unknown
cpp,probearray,write,20000000,47,7,78941772,78609426,79071490,3538.38,0.59,bc776c004485e408,gen,hdr,removed,O3,unknown
