# schema bench results
# date: 2026-08-31T09:59:21Z
# host: macbook  arch: arm64  os: Darwin 25.6.0
# cpu: Apple M2
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -DBENCH_OPT="O3" -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -Igenerated/bench/cpp -Itest -I../serialize
# c compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# c flags: -O3 -DNDEBUG -DBENCH_OPT="O3" -std=c99 -Wall -Wextra -Werror -Igenerated/c -Igenerated/bench/c -I../serialize.c (serialize.c compiled in, no LTO)
# go: go version go1.27.0 darwin/arm64 (go run, default optimized build)
# rust: cargo 1.98.0 (797e8a9bc 2026-08-05) (Homebrew); rustc 1.98.0 (88d9e12ae 2026-08-18) (Homebrew) (cargo run --release at opt-level 3, no LTO)
# dotnet: 10.0.400 (dotnet run -c Release, workstation GC)
# node: v26.7.0 (NODE_ENV=production — serialize.js's caller-trust release mode; the runner records the mode that ran in its checks column)
# java: openjdk 21.0.12.1 2026-08-18 LTS (generated codecs, zero runtime dependency; default JVM flags, no -ea)
# dart: Dart SDK version: 3.13.2 (stable) (Tue Aug 25 01:01:12 2026 -0700) on "macos_arm64" (generated codecs, zero runtime dependency; AOT executable)
# elixir: 1.20.4 (generated codecs, zero runtime dependency; pinned BEAM toolchain)
# pinning: none
# noise: NOISY: shared laptop, one node process at 100% and Safari live; load avg ~3.0 at start (uptime pasted in the PR). --quick is the iteration instrument, never certification (§2.8).
# schema commit: 1603e35
# serialize commit: cebaed2 (main) [build-verified: /Users/glenn/rowan-working/serialize]
# serialize.c commit: 37db942 (main) [build-verified: /Users/glenn/rowan-working/serialize.c]
# serialize.go commit: ecfb3c9 (main) [build-verified: /Users/glenn/rowan-working/serialize.go]
# serialize.rs commit: 6b52aa6 (main) [build-verified: /Users/glenn/rowan-working/serialize.rs]
# serialize.cs commit: f08327e (main) [build-verified: /Users/glenn/rowan-working/serialize.cs]
# serialize.js commit: e391f1e (main) [build-verified: /Users/glenn/rowan-working/serialize.js]
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
cpp,bench_mixed,write,4000000,438,3,7061598,6874236,7339905,2949.70,6.59,6b213fbfa1a03a99,gen,hdr,removed,O3,unknown
cpp,bench_mixed,round_trip,4000000,438,3,3576664,3466458,3584772,1494.01,3.31,6b213fbfa1a03a99,gen,hdr,removed,O3,unknown
cpp,bench_mixed,write,4000000,438,3,2479338,2453068,2571957,1035.64,4.80,6b213fbfa1a03a99,rt,hdr,removed,O3,unknown
cpp,bench_mixed,read,4000000,438,3,3133574,3131493,3155382,1308.92,0.76,6b213fbfa1a03a99,rt,hdr,removed,O3,unknown
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
c,bench_mixed,write,4000000,438,3,6403709,6226786,6421958,2674.89,3.05,6b213fbfa1a03a99,gen,hdr,removed,O3,unknown
c,bench_mixed,round_trip,4000000,438,3,3126302,2903826,3184810,1305.89,8.99,6b213fbfa1a03a99,gen,hdr,removed,O3,unknown
c,bench_mixed,write,4000000,438,3,3447179,3134054,4338790,1439.92,34.95,6b213fbfa1a03a99,rt,hdr,removed,O3,unknown
c,bench_mixed,read,4000000,438,3,4148943,3787473,4388515,1733.05,14.49,6b213fbfa1a03a99,rt,hdr,removed,O3,unknown
go,bench_mixed,write,4000000,438,3,1145562,1137095,1149301,478.51,1.07,6b213fbfa1a03a99,gen,pkg,always,default,unknown
go,bench_mixed,round_trip,4000000,438,3,502936,501156,503217,210.08,0.41,6b213fbfa1a03a99,gen,pkg,always,default,unknown
go,bench_mixed,write,4000000,438,3,1022172,1018141,1032323,426.97,1.39,6b213fbfa1a03a99,rt,pkg,always,default,unknown
go,bench_mixed,read,4000000,438,3,1034388,1018592,1035629,432.07,1.65,6b213fbfa1a03a99,rt,pkg,always,default,unknown
rust,bench_mixed,write,4000000,438,3,4793187,4409503,4940174,2002.16,11.07,6b213fbfa1a03a99,gen,crate,always,O3,unknown
rust,bench_mixed,round_trip,4000000,438,3,1877476,1846542,1894044,784.24,2.53,6b213fbfa1a03a99,gen,crate,always,O3,unknown
rust,bench_mixed,write,4000000,438,3,3326301,3199851,3337476,1389.43,4.14,6b213fbfa1a03a99,rt,crate,always,O3,unknown
rust,bench_mixed,read,4000000,438,3,1859490,1854621,1863749,776.73,0.49,6b213fbfa1a03a99,rt,crate,always,O3,unknown
cs,bench_mixed,write,4000000,438,3,1678488,1621179,1688592,701.12,4.02,6b213fbfa1a03a99,gen,asm,always,default,unknown
cs,bench_mixed,round_trip,4000000,438,3,785414,638541,799848,328.07,20.54,6b213fbfa1a03a99,gen,asm,always,default,unknown
cs,bench_mixed,write,4000000,438,3,909630,906602,976838,379.96,7.72,6b213fbfa1a03a99,rt,asm,always,default,unknown
cs,bench_mixed,read,4000000,438,3,896557,885021,896960,374.50,1.33,6b213fbfa1a03a99,rt,asm,always,default,unknown
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
js,bench_mixed,write,4000000,438,3,1069701,1062320,1077088,446.82,1.38,6b213fbfa1a03a99,gen,esm,contract,default,unknown,flat
js,bench_mixed,round_trip,4000000,438,3,614591,598033,616219,256.72,2.96,6b213fbfa1a03a99,gen,esm,contract,default,unknown,flat
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
java,bench_mixed,write,4000000,438,3,4649058,4617102,4723927,1941.96,2.30,6b213fbfa1a03a99,gen,class,contract,default,unknown
java,bench_mixed,round_trip,4000000,438,3,2026936,2022660,2049537,846.67,1.33,6b213fbfa1a03a99,gen,class,contract,default,unknown
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
dart,bench_mixed,write,4000000,438,3,1546362,1545575,1547660,645.93,0.13,6b213fbfa1a03a99,gen,aot,contract,default,unknown
dart,bench_mixed,round_trip,4000000,438,3,811510,807172,821596,338.98,1.78,6b213fbfa1a03a99,gen,aot,contract,default,unknown
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
elixir,bench_mixed,write,400000,438,3,116221,114554,116873,48.55,2.00,6b213fbfa1a03a99,gen,beam,contract,default,unknown
elixir,bench_mixed,round_trip,400000,438,3,69108,68466,70641,28.87,3.15,6b213fbfa1a03a99,gen,beam,contract,default,unknown
