# schema bench results
# date: 2026-08-31T03:04:26Z
# host: macbook  arch: arm64  os: Darwin 25.6.0
# cpu: Apple M2
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -DBENCH_OPT="O3" -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -Igenerated/bench/cpp -Itest -I../serialize
# c compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# c flags: -O3 -DNDEBUG -DBENCH_OPT="O3" -std=c99 -Wall -Wextra -Werror -Igenerated/c -Igenerated/bench/c -I../serialize.c (serialize.c compiled in, no LTO)
# go: go version go1.27.0 darwin/arm64 (go run, default optimized build)
# rust: cargo 1.98.0 (797e8a9bc 2026-08-05) (Homebrew); rustc 1.98.0 (88d9e12ae 2026-08-18) (Homebrew) (cargo run --release at opt-level 3, no LTO)
# dotnet: 10.0.400 (dotnet run -c Release, workstation GC)
# node: v26.7.0 (NODE_ENV=production — serialize.js's caller-trust release mode; the runner records the mode that ran in its checks column)
# java: openjdk 21.0.12.1 2026-08-18 LTS (generated codecs, zero runtime dependency; default JVM flags, no -ea)
# dart: Dart SDK version: 3.13.2 (stable) (Tue Aug 25 01:01:12 2026 -0700) on "macos_arm64" (generated codecs, zero runtime dependency; AOT executable)
# elixir: 1.20.4 (generated codecs, zero runtime dependency; pinned BEAM toolchain)
# pinning: none
# noise: unlabelled
# schema commit: cfe75e0
# serialize commit: cebaed2 (main) [build-verified: /Users/glenn/rowan-working/serialize]
# serialize.c commit: 37db942 (main) [build-verified: /Users/glenn/rowan-working/serialize.c]
# serialize.go commit: ecfb3c9 (main) [build-verified: /Users/glenn/rowan-working/serialize.go]
# serialize.rs commit: 6b52aa6 (main) [build-verified: /Users/glenn/rowan-working/serialize.rs]
# serialize.cs commit: f08327e (main) [build-verified: /Users/glenn/rowan-working/serialize.cs]
# serialize.js commit: e391f1e (main) [build-verified: /Users/glenn/rowan-working/serialize.js]
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
js,rigidbody_moving,write,24000000,105,7,14070614,13666389,14306098,1408.97,4.55,bc776c004485e408,gen,esm,contract,default,unknown,flat
js,rigidbody_moving,read,24000000,105,7,35144718,34860862,35320604,3519.24,1.31,bc776c004485e408,gen,esm,contract,default,unknown,flat
js,rigidbody_at_rest,write,32000000,57,7,16556143,15670544,17225732,899.98,9.39,bc776c004485e408,gen,esm,contract,default,unknown,flat
js,rigidbody_at_rest,read,32000000,57,7,47878598,47802224,48038824,2602.65,0.49,bc776c004485e408,gen,esm,contract,default,unknown,flat
js,chat,write,48000000,13,7,13827269,13488064,14330437,171.43,6.09,bc776c004485e408,gen,esm,contract,default,unknown,flat
js,chat,read,48000000,13,7,35676125,35572503,35750871,442.30,0.50,bc776c004485e408,gen,esm,contract,default,unknown,flat
js,test,write,192000000,6,7,22021063,21746351,23009440,126.01,5.74,bc776c004485e408,gen,esm,contract,default,unknown,flat
js,test,read,192000000,6,7,74931854,74850068,75008259,428.76,0.21,bc776c004485e408,gen,esm,contract,default,unknown,flat
js,inputpacket,write,16000000,61,7,4742639,4656042,4800186,275.90,3.04,bc776c004485e408,gen,esm,contract,default,unknown,flat
js,inputpacket,read,16000000,61,7,13677167,13583325,13717099,795.66,0.98,bc776c004485e408,gen,esm,contract,default,unknown,flat
js,shipcreate,write,32000000,28,7,7374207,7169485,7503970,196.91,4.54,bc776c004485e408,gen,esm,contract,default,unknown,flat
js,shipcreate,read,32000000,28,7,32866657,32573964,32973615,877.63,1.22,bc776c004485e408,gen,esm,contract,default,unknown,flat
js,probe_header,write,256000000,10,7,9014175,8876638,9134590,85.97,2.86,bc776c004485e408,gen,esm,contract,default,unknown,flat
js,probe_header,read,256000000,10,7,56997948,48676048,62076402,543.57,23.51,bc776c004485e408,gen,esm,contract,default,unknown,flat
js,probebits,write,128000000,26,7,4549025,4509402,4561458,112.80,1.14,bc776c004485e408,gen,esm,contract,default,unknown,flat
js,probebits,read,128000000,26,7,24890665,24804352,24969727,617.18,0.66,bc776c004485e408,gen,esm,contract,default,unknown,flat
js,probearray,write,20000000,47,7,6108561,5983793,6159239,273.80,2.87,bc776c004485e408,gen,esm,contract,default,unknown,flat
js,probearray,read,20000000,47,7,12296743,12217350,12528524,551.17,2.53,bc776c004485e408,gen,esm,contract,default,unknown,flat
js,testdata,write,8000000,92,7,2723773,2704321,2732575,238.98,1.04,bc776c004485e408,gen,esm,contract,default,unknown,flat
js,testdata,read,8000000,92,7,7417305,7384549,7433797,650.78,0.66,bc776c004485e408,gen,esm,contract,default,unknown,flat
js,real_packet,write,8000000,204,7,1414843,1384962,1420844,275.26,2.54,bc776c004485e408,gen,esm,contract,default,unknown,flat
js,real_packet,read,8000000,204,7,3634513,3418040,3651673,707.09,6.43,bc776c004485e408,gen,esm,contract,default,unknown,flat
js,rigidbody_moving,write,24000000,105,7,3335684,3302134,3373249,334.02,2.13,bc776c004485e408,gen,esm,contract,default,unknown,runtime
js,rigidbody_moving,read,24000000,105,7,2746656,2743664,2752135,275.04,0.31,bc776c004485e408,gen,esm,contract,default,unknown,runtime
js,rigidbody_at_rest,write,32000000,57,7,5025135,4958369,5064589,273.16,2.11,bc776c004485e408,gen,esm,contract,default,unknown,runtime
js,rigidbody_at_rest,read,32000000,57,7,4931440,4899154,4934432,268.07,0.72,bc776c004485e408,gen,esm,contract,default,unknown,runtime
js,chat,write,48000000,13,7,5710194,5667068,5811985,70.79,2.54,bc776c004485e408,gen,esm,contract,default,unknown,runtime
js,chat,read,48000000,13,7,9713411,9699083,9737216,120.42,0.39,bc776c004485e408,gen,esm,contract,default,unknown,runtime
js,test,write,192000000,6,7,10523927,10359554,10767394,60.22,3.88,bc776c004485e408,gen,esm,contract,default,unknown,runtime
js,test,read,192000000,6,7,16721760,16678523,16734935,95.68,0.34,bc776c004485e408,gen,esm,contract,default,unknown,runtime
js,inputpacket,write,16000000,61,7,1841283,1838339,1853109,107.12,0.80,bc776c004485e408,gen,esm,contract,default,unknown,runtime
js,inputpacket,read,16000000,61,7,2027610,2026849,2030571,117.95,0.18,bc776c004485e408,gen,esm,contract,default,unknown,runtime
js,shipcreate,write,32000000,28,7,3226332,3202320,3246524,86.15,1.37,bc776c004485e408,gen,esm,contract,default,unknown,runtime
js,shipcreate,read,32000000,28,7,4016585,4008054,4023315,107.25,0.38,bc776c004485e408,gen,esm,contract,default,unknown,runtime
js,probe_header,write,256000000,10,7,5314932,5282963,5347560,50.69,1.22,bc776c004485e408,gen,esm,contract,default,unknown,runtime
js,probe_header,read,256000000,10,7,8545872,8316932,8724522,81.50,4.77,bc776c004485e408,gen,esm,contract,default,unknown,runtime
js,probebits,write,128000000,26,7,2749834,2733959,2764865,68.18,1.12,bc776c004485e408,gen,esm,contract,default,unknown,runtime
js,probebits,read,128000000,26,7,3434016,3430776,3435248,85.15,0.13,bc776c004485e408,gen,esm,contract,default,unknown,runtime
js,probearray,write,20000000,47,7,2061388,2057406,2075017,92.40,0.85,bc776c004485e408,gen,esm,contract,default,unknown,runtime
js,probearray,read,20000000,47,7,2169360,2166592,2172797,97.24,0.29,bc776c004485e408,gen,esm,contract,default,unknown,runtime
js,testdata,write,8000000,92,7,1187880,1183819,1196492,104.22,1.07,bc776c004485e408,gen,esm,contract,default,unknown,runtime
js,testdata,read,8000000,92,7,1271054,1257786,1278045,111.52,1.59,bc776c004485e408,gen,esm,contract,default,unknown,runtime
js,real_packet,write,8000000,204,7,482209,479041,485118,93.81,1.26,bc776c004485e408,gen,esm,contract,default,unknown,runtime
js,real_packet,read,8000000,204,7,531635,527250,536940,103.43,1.82,bc776c004485e408,gen,esm,contract,default,unknown,runtime
js,bench_packet,write,32000000,49,7,6645115,6555356,6825297,310.53,4.06,bc776c004485e408,gen,esm,contract,default,unknown,flat
js,bench_packet,read,32000000,49,7,19282086,19089520,19536378,901.05,2.32,bc776c004485e408,gen,esm,contract,default,unknown,flat
js,bench_ints,write,40000000,14,7,19163175,18961839,20592449,255.86,8.51,bc776c004485e408,gen,esm,contract,default,unknown,flat
js,bench_ints,read,40000000,14,7,55705755,54036079,55783551,743.75,3.14,bc776c004485e408,gen,esm,contract,default,unknown,flat
js,bench_bits,write,48000000,20,7,8061429,7727872,8550458,153.76,10.20,bc776c004485e408,gen,esm,contract,default,unknown,flat
js,bench_bits,read,48000000,20,7,33319567,33267281,33367423,635.52,0.30,bc776c004485e408,gen,esm,contract,default,unknown,flat
js,bench_mixed,write,40000000,21,7,7887897,7751665,7973288,157.97,2.81,bc776c004485e408,gen,esm,contract,default,unknown,flat
js,bench_mixed,read,40000000,21,7,29686400,29567857,29719472,594.53,0.51,bc776c004485e408,gen,esm,contract,default,unknown,flat
js,bench_packet,write,32000000,49,7,3359403,3335233,3377911,156.99,1.27,bc776c004485e408,rt,esm,contract,default,unknown
js,bench_packet,read,32000000,49,7,3850511,3838946,3855281,179.93,0.42,bc776c004485e408,rt,esm,contract,default,unknown
js,bench_ints,write,40000000,14,7,5839423,5781177,5909432,77.96,2.20,bc776c004485e408,rt,esm,contract,default,unknown
js,bench_ints,read,40000000,14,7,6487143,6405166,6493000,86.61,1.35,bc776c004485e408,rt,esm,contract,default,unknown
js,bench_bits,write,48000000,20,7,4225201,4170669,4255992,80.59,2.02,bc776c004485e408,rt,esm,contract,default,unknown
js,bench_bits,read,48000000,20,7,6678338,6636984,6718696,127.38,1.22,bc776c004485e408,rt,esm,contract,default,unknown
js,bench_mixed,write,40000000,21,7,3613256,3520400,3653178,72.36,3.67,bc776c004485e408,rt,esm,contract,default,unknown
js,bench_mixed,read,40000000,21,7,5318003,5301791,5324231,106.50,0.42,bc776c004485e408,rt,esm,contract,default,unknown
js,bitpacker,write,24576,65518,7,6225,3164,6337,388.93,50.98,bc776c004485e408,bits,esm,contract,default,unknown
js,bitpacker,read,24576,65518,7,4841,4818,4877,302.45,1.20,bc776c004485e408,bits,esm,contract,default,unknown
