# schema bench results
# date: 2026-08-31T01:38:52Z
# host: macbook  arch: arm64  os: Darwin 25.6.0
# cpu: Apple M2
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -DBENCH_OPT="O3" -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -Igenerated/bench/cpp -Itest -I../serialize
# c compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# c flags: -O3 -DNDEBUG -DBENCH_OPT="O3" -std=c99 -Wall -Wextra -Werror -Igenerated/c -Igenerated/bench/c -I../serialize.c (serialize.c compiled in, no LTO)
# go: go version go1.27.0 darwin/arm64 (go run, default optimized build)
# rust: cargo 1.98.0 (797e8a9bc 2026-08-05) (Homebrew); rustc 1.98.0 (88d9e12ae 2026-08-18) (Homebrew) (cargo run --release at opt-level 3, no LTO)
# dotnet: 10.0.400 (dotnet run -c Release, workstation GC)
# node: v26.7.0 (NODE_ENV=production — serialize.js's caller-trust release mode; the runner records the mode that ran in its checks column)
# java: openjdk 21.0.12.1 2026-08-18 LTS (generated codecs, zero runtime dependency; default JVM flags, no -ea)
# dart: Dart SDK version: 3.13.2 (stable) (Tue Aug 25 01:01:12 2026 -0700) on "macos_arm64" (generated codecs, zero runtime dependency; AOT executable)
# elixir: 1.20.4 (generated codecs, zero runtime dependency; pinned BEAM toolchain)
# pinning: none
# noise: unlabeled
# schema commit: c89b509
# serialize commit: cebaed2 (main) [build-verified: /Users/glenn/rowan-working/serialize]
# serialize.c commit: 37db942 (main) [build-verified: /Users/glenn/rowan-working/serialize.c]
# serialize.go commit: ecfb3c9 (main) [build-verified: /Users/glenn/rowan-working/serialize.go]
# serialize.rs commit: 6b52aa6 (main) [build-verified: /Users/glenn/rowan-working/serialize.rs]
# serialize.cs commit: f08327e (main) [build-verified: /Users/glenn/rowan-working/serialize.cs]
# serialize.js commit: e391f1e (main) [build-verified: /Users/glenn/rowan-working/serialize.js]
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
cpp,bench_mixed,write,40000000,21,3,610048260,610035468,612746271,12217.53,0.44,457b96dfc5a0ffcd,gen,hdr,removed,O3,unknown
cpp,bench_mixed,read,40000000,21,3,547186572,539954369,553027567,10958.59,2.39,457b96dfc5a0ffcd,gen,hdr,removed,O3,unknown
cpp,bench_mixed,write,40000000,21,3,152044162,151962092,152183259,3045.01,0.15,457b96dfc5a0ffcd,rt,hdr,removed,O3,unknown
cpp,bench_mixed,read,40000000,21,3,186522868,183828352,186562305,3735.52,1.47,457b96dfc5a0ffcd,rt,hdr,removed,O3,unknown
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
c,bench_mixed,write,40000000,21,3,604439609,596845671,618228466,12105.21,3.54,457b96dfc5a0ffcd,gen,hdr,removed,O3,unknown
c,bench_mixed,read,40000000,21,3,479116509,476173470,481469445,9595.34,1.11,457b96dfc5a0ffcd,gen,hdr,removed,O3,unknown
c,bench_mixed,write,40000000,21,3,157544822,157409047,158027189,3155.18,0.39,457b96dfc5a0ffcd,rt,hdr,removed,O3,unknown
c,bench_mixed,read,40000000,21,3,173436470,172416023,173657842,3473.44,0.72,457b96dfc5a0ffcd,rt,hdr,removed,O3,unknown
go,bench_mixed,write,40000000,21,3,40069166,39914677,40223913,802.47,0.77,457b96dfc5a0ffcd,gen,pkg,always,default,unknown
go,bench_mixed,read,40000000,21,3,34331644,33532725,34473946,687.57,2.74,457b96dfc5a0ffcd,gen,pkg,always,default,unknown
go,bench_mixed,write,40000000,21,3,43253075,43248190,43453728,866.24,0.48,457b96dfc5a0ffcd,rt,pkg,always,default,unknown
go,bench_mixed,read,40000000,21,3,36429769,36360741,36527362,729.58,0.46,457b96dfc5a0ffcd,rt,pkg,always,default,unknown
rust,bench_mixed,write,40000000,21,3,96229314,96189368,96270733,1927.20,0.08,457b96dfc5a0ffcd,gen,crate,always,O3,unknown
rust,bench_mixed,read,40000000,21,3,99468393,99324243,99481711,1992.07,0.16,457b96dfc5a0ffcd,gen,crate,always,O3,unknown
rust,bench_mixed,write,40000000,21,3,101262479,101238185,101415860,2028.00,0.18,457b96dfc5a0ffcd,rt,crate,always,O3,unknown
rust,bench_mixed,read,40000000,21,3,99324870,98739264,99424879,1989.20,0.69,457b96dfc5a0ffcd,rt,crate,always,O3,unknown
cs,bench_mixed,write,40000000,21,3,75992173,75892299,76509748,1521.91,0.81,457b96dfc5a0ffcd,gen,asm,always,default,unknown
cs,bench_mixed,read,40000000,21,3,70609140,70543913,70911550,1414.10,0.52,457b96dfc5a0ffcd,gen,asm,always,default,unknown
cs,bench_mixed,write,40000000,21,3,47379039,46626041,47680709,948.87,2.23,457b96dfc5a0ffcd,rt,asm,always,default,unknown
cs,bench_mixed,read,40000000,21,3,41547279,38638469,41797318,832.07,7.60,457b96dfc5a0ffcd,rt,asm,always,default,unknown
js,bench_mixed,write,40000000,21,3,7872052,7707957,8002874,157.65,3.75,457b96dfc5a0ffcd,gen,esm,contract,default,unknown,flat
js,bench_mixed,read,40000000,21,3,37747494,37574716,38303796,755.98,1.93,457b96dfc5a0ffcd,gen,esm,contract,default,unknown,flat
