# schema bench results
# date: 2026-08-30T23:24:52Z
# host: macbook  arch: arm64  os: Darwin 25.6.0
# cpu: Apple M2
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -DBENCH_OPT="O3" -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -Igenerated/bench/cpp -Itest -I../serialize
# c compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# c flags: -O3 -DNDEBUG -DBENCH_OPT="O3" -std=c99 -Wall -Wextra -Werror -Igenerated/c -Igenerated/bench/c -I../serialize.c (serialize.c compiled in, no LTO)
# go: go version go1.27.0 darwin/arm64 (go run, default optimized build)
# rust: cargo 1.98.0 (797e8a9bc 2026-08-05) (Homebrew); rustc 1.98.0 (88d9e12ae 2026-08-18) (Homebrew) (cargo run --release at opt-level 3, no LTO)
# dotnet: 10.0.400 (dotnet run -c Release, workstation GC)
# node: v26.7.0 (NODE_ENV=production — serialize.js's caller-trust release mode; the runner records the mode that ran in its checks column)
# java: openjdk 21.0.12.1 2026-08-18 LTS (generated codecs, zero runtime dependency; default JVM flags, no -ea)
# dart: Dart SDK version: 3.13.2 (stable) (Tue Aug 25 01:01:12 2026 -0700) on "macos_arm64" (generated codecs, zero runtime dependency; AOT executable)
# elixir: 1.20.4 (generated codecs, zero runtime dependency; pinned BEAM toolchain)
# pinning: none
# noise: unlabelled
# schema commit: fd80f07
# serialize commit: cebaed2 (main) [build-verified: /Users/glenn/rowan-working/serialize]
# serialize.c commit: 37db942 (main) [build-verified: /Users/glenn/rowan-working/serialize.c]
# serialize.go commit: ecfb3c9 (main) [build-verified: /Users/glenn/rowan-working/serialize.go]
# serialize.rs commit: 6b52aa6 (main) [build-verified: /Users/glenn/rowan-working/serialize.rs]
# serialize.cs commit: f08327e (main) [build-verified: /Users/glenn/rowan-working/serialize.cs]
# serialize.js commit: e391f1e (main) [build-verified: /Users/glenn/rowan-working/serialize.js]
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
c,rigidbody_moving,write,24000000,105,7,606336213,601926164,611355936,60715.96,1.56,bc776c004485e408,gen,hdr,removed,O3,unknown
c,rigidbody_moving,read,24000000,105,7,453995157,432681907,459814158,45461.17,5.98,bc776c004485e408,gen,hdr,removed,O3,unknown
c,rigidbody_at_rest,write,32000000,57,7,819021781,798841680,832856176,44521.56,4.15,bc776c004485e408,gen,hdr,removed,O3,unknown
c,rigidbody_at_rest,read,32000000,57,7,479063431,457469621,486381323,26041.62,6.04,bc776c004485e408,gen,hdr,removed,O3,unknown
c,chat,write,48000000,13,7,122755555,121770853,124543018,1521.89,2.26,bc776c004485e408,gen,hdr,removed,O3,unknown
c,chat,read,48000000,13,7,227364233,223301513,228337654,2818.81,2.22,bc776c004485e408,gen,hdr,removed,O3,unknown
c,test,write,192000000,6,7,753334092,743589446,759821284,4310.61,2.15,bc776c004485e408,gen,hdr,removed,O3,unknown
c,test,read,192000000,6,7,1024595632,995731837,1035676912,5862.78,3.90,bc776c004485e408,gen,hdr,removed,O3,unknown
c,inputpacket,write,16000000,61,7,101190890,100219857,101409593,5886.69,1.18,bc776c004485e408,gen,hdr,removed,O3,unknown
c,inputpacket,read,16000000,61,7,239678830,235654530,240844159,13943.11,2.17,bc776c004485e408,gen,hdr,removed,O3,unknown
c,shipcreate,write,32000000,28,7,450038675,441775385,455697645,12017.33,3.09,bc776c004485e408,gen,hdr,removed,O3,unknown
c,shipcreate,read,32000000,28,7,248792965,246605324,249361012,6643.49,1.11,bc776c004485e408,gen,hdr,removed,O3,unknown
c,probe_header,write,256000000,10,7,1053094906,1035611274,1061522705,10043.10,2.46,bc776c004485e408,gen,hdr,removed,O3,unknown
c,probe_header,read,256000000,10,7,1416704944,1411510426,1417936902,13510.75,0.45,bc776c004485e408,gen,hdr,removed,O3,unknown
c,probebits,write,128000000,26,7,590005854,579741653,594806595,14629.51,2.55,bc776c004485e408,gen,hdr,removed,O3,unknown
c,probebits,read,128000000,26,7,766187201,762440285,770842868,18998.02,1.10,bc776c004485e408,gen,hdr,removed,O3,unknown
c,probearray,write,20000000,47,7,80760114,80368409,81007736,3619.89,0.79,bc776c004485e408,gen,hdr,removed,O3,unknown
c,probearray,read,20000000,47,7,131414679,130884056,131801796,5890.36,0.70,bc776c004485e408,gen,hdr,removed,O3,unknown
c,testdata,write,8000000,92,7,43834656,43757692,43918641,3845.97,0.37,bc776c004485e408,gen,hdr,removed,O3,unknown
c,testdata,read,8000000,92,7,71837790,71619129,72071423,6302.91,0.63,bc776c004485e408,gen,hdr,removed,O3,unknown
c,real_packet,write,8000000,204,7,24449878,23879742,24612431,4756.71,3.00,bc776c004485e408,gen,hdr,removed,O3,unknown
c,real_packet,read,8000000,204,7,29664678,28357833,30014595,5771.25,5.58,bc776c004485e408,gen,hdr,removed,O3,unknown
c,bench_packet,write,32000000,49,7,494988244,483471324,501111842,23130.82,3.56,bc776c004485e408,gen,hdr,removed,O3,unknown
c,bench_packet,read,32000000,49,7,384107550,373356357,388868635,17949.36,4.04,bc776c004485e408,gen,hdr,removed,O3,unknown
c,bench_ints,write,40000000,14,7,443581924,437067713,454091363,5922.46,3.84,bc776c004485e408,gen,hdr,removed,O3,unknown
c,bench_ints,read,40000000,14,7,523046747,519197321,528618060,6983.43,1.80,bc776c004485e408,gen,hdr,removed,O3,unknown
c,bench_bits,write,48000000,20,7,382074345,381073357,382732390,7287.49,0.43,bc776c004485e408,gen,hdr,removed,O3,unknown
c,bench_bits,read,48000000,20,7,783392088,770366566,791635056,14942.02,2.71,bc776c004485e408,gen,hdr,removed,O3,unknown
c,bench_mixed,write,40000000,21,7,595716796,584205991,605171188,11930.52,3.52,bc776c004485e408,gen,hdr,removed,O3,unknown
c,bench_mixed,read,40000000,21,7,473754027,470726684,475765685,9487.95,1.06,bc776c004485e408,gen,hdr,removed,O3,unknown
c,bench_packet,write,32000000,49,7,117342486,117196799,117411373,5483.42,0.18,bc776c004485e408,rt,hdr,removed,O3,unknown
c,bench_packet,read,32000000,49,7,139560037,139207301,139701388,6521.65,0.35,bc776c004485e408,rt,hdr,removed,O3,unknown
c,bench_ints,write,40000000,14,7,190106840,189197754,190729588,2538.20,0.81,bc776c004485e408,rt,hdr,removed,O3,unknown
c,bench_ints,read,40000000,14,7,177344270,176142394,177583620,2367.80,0.81,bc776c004485e408,rt,hdr,removed,O3,unknown
c,bench_bits,write,48000000,20,7,189941791,189796838,190404411,3622.85,0.32,bc776c004485e408,rt,hdr,removed,O3,unknown
c,bench_bits,read,48000000,20,7,220596345,219479742,221623019,4207.54,0.97,bc776c004485e408,rt,hdr,removed,O3,unknown
c,bench_mixed,write,40000000,21,7,157779101,157322992,158121516,3159.87,0.51,bc776c004485e408,rt,hdr,removed,O3,unknown
c,bench_mixed,read,40000000,21,7,172006020,168338832,172401903,3444.79,2.36,bc776c004485e408,rt,hdr,removed,O3,unknown
c,bitpacker,write,24576,65518,7,59913,59041,60127,3743.54,1.81,bc776c004485e408,bits,hdr,removed,O3,unknown
c,bitpacker,read,24576,65518,7,56963,56202,57114,3559.19,1.60,bc776c004485e408,bits,hdr,removed,O3,unknown
