# schema bench results
# date: 2026-08-30T23:13:29Z
# host: macbook  arch: arm64  os: Darwin 25.6.0
# cpu: Apple M2
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -DBENCH_OPT="O3" -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -Igenerated/bench/cpp -Itest -I../serialize
# c compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# c flags: -O3 -DNDEBUG -DBENCH_OPT="O3" -std=c99 -Wall -Wextra -Werror -Igenerated/c -Igenerated/bench/c -I../serialize.c (serialize.c compiled in, no LTO)
# go: go version go1.27.0 darwin/arm64 (go run, default optimized build)
# rust: cargo 1.98.0 (797e8a9bc 2026-08-05) (Homebrew); rustc 1.98.0 (88d9e12ae 2026-08-18) (Homebrew) (cargo run --release at opt-level 3, no LTO)
# dotnet: 10.0.400 (dotnet run -c Release, workstation GC)
# node: v26.7.0 (NODE_ENV=production — serialize.js's caller-trust release mode; the runner records the mode that ran in its checks column)
# java: not present (generated codecs, zero runtime dependency; default JVM flags, no -ea)
# dart: not present (generated codecs, zero runtime dependency; AOT executable)
# elixir: not present (generated codecs, zero runtime dependency; pinned BEAM toolchain)
# pinning: none
# noise: unlabelled
# schema commit: 7b3bf3f
# serialize commit: cebaed2 (main) [build-verified: /Users/glenn/rowan-working/serialize]
# serialize.c commit: 37db942 (main) [build-verified: /Users/glenn/rowan-working/serialize.c]
# serialize.go commit: ecfb3c9 (main) [build-verified: /Users/glenn/rowan-working/serialize.go]
# serialize.rs commit: 6b52aa6 (main) [build-verified: /Users/glenn/rowan-working/serialize.rs]
# serialize.cs commit: f08327e (main) [build-verified: /Users/glenn/rowan-working/serialize.cs]
# serialize.js commit: e391f1e (main) [build-verified: /Users/glenn/rowan-working/serialize.js]
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
cpp,rigidbody_moving,write,24000000,105,7,599607137,591911763,611896928,60042.14,3.33,bc776c004485e408,gen,hdr,removed,O3,unknown
cpp,rigidbody_moving,read,24000000,105,7,455179447,436948878,458875659,45579.76,4.82,bc776c004485e408,gen,hdr,removed,O3,unknown
cpp,rigidbody_at_rest,write,32000000,57,7,815994346,795425468,827257258,44356.99,3.90,bc776c004485e408,gen,hdr,removed,O3,unknown
cpp,rigidbody_at_rest,read,32000000,57,7,485520983,479242796,485593120,26392.65,1.31,bc776c004485e408,gen,hdr,removed,O3,unknown
cpp,chat,write,48000000,13,7,122976807,122007364,124240939,1524.64,1.82,bc776c004485e408,gen,hdr,removed,O3,unknown
cpp,chat,read,48000000,13,7,225630664,222172551,227295149,2797.32,2.27,bc776c004485e408,gen,hdr,removed,O3,unknown
cpp,test,write,192000000,6,7,747359547,728887763,757827805,4276.43,3.87,bc776c004485e408,gen,hdr,removed,O3,unknown
cpp,test,read,192000000,6,7,1032525911,1028253768,1036835095,5908.16,0.83,bc776c004485e408,gen,hdr,removed,O3,unknown
cpp,inputpacket,write,16000000,61,7,111135197,110030640,111454214,6465.19,1.28,bc776c004485e408,gen,hdr,removed,O3,unknown
cpp,inputpacket,read,16000000,61,7,289627489,289480766,291674072,16848.83,0.76,bc776c004485e408,gen,hdr,removed,O3,unknown
cpp,shipcreate,write,32000000,28,7,455882122,453747581,463338071,12173.37,2.10,bc776c004485e408,gen,hdr,removed,O3,unknown
cpp,shipcreate,read,32000000,28,7,242160451,240322031,242845926,6466.38,1.04,bc776c004485e408,gen,hdr,removed,O3,unknown
cpp,probe_header,write,256000000,10,7,1048809947,1034713071,1065143104,10002.23,2.90,bc776c004485e408,gen,hdr,removed,O3,unknown
cpp,probe_header,read,256000000,10,7,1415895600,1411779953,1420738994,13503.03,0.63,bc776c004485e408,gen,hdr,removed,O3,unknown
cpp,probebits,write,128000000,26,7,588279791,584625602,594644485,14586.71,1.70,bc776c004485e408,gen,hdr,removed,O3,unknown
cpp,probebits,read,128000000,26,7,763013893,756609433,766603820,18919.34,1.31,bc776c004485e408,gen,hdr,removed,O3,unknown
cpp,probearray,write,20000000,47,7,82094575,80696790,82714939,3679.70,2.46,bc776c004485e408,gen,hdr,removed,O3,unknown
cpp,probearray,read,20000000,47,7,141193580,139903799,141484407,6328.68,1.12,bc776c004485e408,gen,hdr,removed,O3,unknown
cpp,testdata,write,8000000,92,7,46442122,45864371,46643151,4074.74,1.68,bc776c004485e408,gen,hdr,removed,O3,unknown
cpp,testdata,read,8000000,92,7,71905965,71253988,71932555,6308.89,0.94,bc776c004485e408,gen,hdr,removed,O3,unknown
cpp,real_packet,write,8000000,204,7,20420003,20302737,20480363,3972.70,0.87,bc776c004485e408,gen,hdr,removed,O3,unknown
cpp,real_packet,read,8000000,204,7,26577863,26380283,26617303,5170.71,0.89,bc776c004485e408,gen,hdr,removed,O3,unknown
cpp,bench_packet,write,32000000,49,7,498964065,497481183,508852240,23316.61,2.28,bc776c004485e408,gen,hdr,removed,O3,unknown
cpp,bench_packet,read,32000000,49,7,389516727,379325387,393040921,18202.13,3.52,bc776c004485e408,gen,hdr,removed,O3,unknown
cpp,bench_ints,write,40000000,14,7,451453470,450525919,454350120,6027.55,0.85,bc776c004485e408,gen,hdr,removed,O3,unknown
cpp,bench_ints,read,40000000,14,7,490632242,486532921,498745866,6550.65,2.49,bc776c004485e408,gen,hdr,removed,O3,unknown
cpp,bench_bits,write,48000000,20,7,380101175,378552380,381788808,7249.85,0.85,bc776c004485e408,gen,hdr,removed,O3,unknown
cpp,bench_bits,read,48000000,20,7,635042435,617802027,645873496,12112.47,4.42,bc776c004485e408,gen,hdr,removed,O3,unknown
cpp,bench_mixed,write,40000000,21,7,594524056,555768793,603963890,11906.63,8.11,bc776c004485e408,gen,hdr,removed,O3,unknown
cpp,bench_mixed,read,40000000,21,7,550243853,542897066,558306378,11019.82,2.80,bc776c004485e408,gen,hdr,removed,O3,unknown
cpp,bench_packet,write,32000000,49,7,92451403,91850317,93301318,4320.26,1.57,bc776c004485e408,rt,hdr,removed,O3,unknown
cpp,bench_packet,read,32000000,49,7,128420556,125556565,132192894,6001.10,5.17,bc776c004485e408,rt,hdr,removed,O3,unknown
cpp,bench_ints,write,40000000,14,7,184910708,182558790,185667693,2468.82,1.68,bc776c004485e408,rt,hdr,removed,O3,unknown
cpp,bench_ints,read,40000000,14,7,184369676,160461192,189035321,2461.60,15.50,bc776c004485e408,rt,hdr,removed,O3,unknown
cpp,bench_bits,write,48000000,20,7,186289663,180482085,188085349,3553.19,4.08,bc776c004485e408,rt,hdr,removed,O3,unknown
cpp,bench_bits,read,48000000,20,7,220519280,211428480,232081711,4206.07,9.37,bc776c004485e408,rt,hdr,removed,O3,unknown
cpp,bench_mixed,write,40000000,21,7,147797266,146305021,152025671,2959.96,3.87,bc776c004485e408,rt,hdr,removed,O3,unknown
cpp,bench_mixed,read,40000000,21,7,181253036,156885842,184864596,3629.98,15.44,bc776c004485e408,rt,hdr,removed,O3,unknown
cpp,bitpacker,write,24576,65518,7,60192,59958,60254,3760.99,0.49,bc776c004485e408,bits,hdr,removed,O3,unknown
cpp,bitpacker,read,24576,65518,7,92114,86842,92468,5755.53,6.11,bc776c004485e408,bits,hdr,removed,O3,unknown
