# schema bench results
# date: 2026-08-30T23:51:43Z
# host: macbook  arch: arm64  os: Darwin 25.6.0
# cpu: Apple M2
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -DBENCH_OPT="O3" -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -Igenerated/bench/cpp -Itest -I../serialize
# c compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# c flags: -O3 -DNDEBUG -DBENCH_OPT="O3" -std=c99 -Wall -Wextra -Werror -Igenerated/c -Igenerated/bench/c -I../serialize.c (serialize.c compiled in, no LTO)
# go: go version go1.27.0 darwin/arm64 (go run, default optimized build)
# rust: cargo 1.98.0 (797e8a9bc 2026-08-05) (Homebrew); rustc 1.98.0 (88d9e12ae 2026-08-18) (Homebrew) (cargo run --release at opt-level 3, no LTO)
# dotnet: 10.0.400 (dotnet run -c Release, workstation GC)
# node: v26.7.0 (NODE_ENV=production — serialize.js's caller-trust release mode; the runner records the mode that ran in its checks column)
# java: openjdk 21.0.12.1 2026-08-18 LTS (generated codecs, zero runtime dependency; default JVM flags, no -ea)
# dart: Dart SDK version: 3.13.2 (stable) (Tue Aug 25 01:01:12 2026 -0700) on "macos_arm64" (generated codecs, zero runtime dependency; AOT executable)
# elixir: 1.20.4 (generated codecs, zero runtime dependency; pinned BEAM toolchain)
# pinning: none
# noise: unlabelled
# schema commit: c3f57ae
# serialize commit: cebaed2 (main) [build-verified: /Users/glenn/rowan-working/serialize]
# serialize.c commit: 37db942 (main) [build-verified: /Users/glenn/rowan-working/serialize.c]
# serialize.go commit: ecfb3c9 (main) [build-verified: /Users/glenn/rowan-working/serialize.go]
# serialize.rs commit: 6b52aa6 (main) [build-verified: /Users/glenn/rowan-working/serialize.rs]
# serialize.cs commit: f08327e (main) [build-verified: /Users/glenn/rowan-working/serialize.cs]
# serialize.js commit: e391f1e (main) [build-verified: /Users/glenn/rowan-working/serialize.js]
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
cpp,bench_mixed,write,40000000,21,3,600182681,593613097,600664103,12019.95,1.17,457b96dfc5a0ffcd,gen,hdr,removed,O3,unknown
cpp,bench_mixed,read,40000000,21,3,551693068,546341111,554465553,11048.85,1.47,457b96dfc5a0ffcd,gen,hdr,removed,O3,unknown
cpp,bench_mixed,write,40000000,21,3,150849021,148967215,152917913,3021.08,2.62,457b96dfc5a0ffcd,rt,hdr,removed,O3,unknown
cpp,bench_mixed,read,40000000,21,3,185870151,184069441,187286157,3722.45,1.73,457b96dfc5a0ffcd,rt,hdr,removed,O3,unknown
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
c,bench_mixed,write,40000000,21,3,603837387,586725339,605381845,12093.15,3.09,457b96dfc5a0ffcd,gen,hdr,removed,O3,unknown
c,bench_mixed,read,40000000,21,3,472550711,467262426,475437700,9463.85,1.73,457b96dfc5a0ffcd,gen,hdr,removed,O3,unknown
c,bench_mixed,write,40000000,21,3,157211693,156094515,158262906,3148.50,1.38,457b96dfc5a0ffcd,rt,hdr,removed,O3,unknown
c,bench_mixed,read,40000000,21,3,171876678,170851824,171966088,3442.20,0.65,457b96dfc5a0ffcd,rt,hdr,removed,O3,unknown
go,bench_mixed,write,40000000,21,3,40239504,39918893,40357404,805.88,1.09,457b96dfc5a0ffcd,gen,pkg,always,default,unknown
go,bench_mixed,read,40000000,21,3,34609124,34588278,34652989,693.12,0.19,457b96dfc5a0ffcd,gen,pkg,always,default,unknown
go,bench_mixed,write,40000000,21,3,43287783,43273396,43433274,866.93,0.37,457b96dfc5a0ffcd,rt,pkg,always,default,unknown
go,bench_mixed,read,40000000,21,3,36384073,36370069,36589061,728.67,0.60,457b96dfc5a0ffcd,rt,pkg,always,default,unknown
