# schema bench results
# date: 2026-08-31T07:46:20Z
# host: macbook  arch: arm64  os: Darwin 25.6.0
# cpu: Apple M2
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -DBENCH_OPT="O3" -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -Igenerated/bench/cpp -Itest -I../serialize
# c compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# c flags: -O3 -DNDEBUG -DBENCH_OPT="O3" -std=c99 -Wall -Wextra -Werror -Igenerated/c -Igenerated/bench/c -I../serialize.c (serialize.c compiled in, no LTO)
# go: go version go1.27.0 darwin/arm64 (go run, default optimized build)
# rust: cargo 1.98.0 (797e8a9bc 2026-08-05) (Homebrew); rustc 1.98.0 (88d9e12ae 2026-08-18) (Homebrew) (cargo run --release at opt-level 3, no LTO)
# dotnet: 10.0.400 (dotnet run -c Release, workstation GC)
# node: v26.7.0 (NODE_ENV=production — serialize.js's caller-trust release mode; the runner records the mode that ran in its checks column)
# java: openjdk 21.0.12.1 2026-08-18 LTS (generated codecs, zero runtime dependency; default JVM flags, no -ea)
# dart: Dart SDK version: 3.13.2 (stable) (Tue Aug 25 01:01:12 2026 -0700) on "macos_arm64" (generated codecs, zero runtime dependency; AOT executable)
# elixir: 1.20.4 (generated codecs, zero runtime dependency; pinned BEAM toolchain)
# pinning: none
# noise: unlabeled
# schema commit: 6f1d0e1
# serialize commit: cebaed2 (main) [build-verified: /Users/glenn/rowan-working/serialize]
# serialize.c commit: 37db942 (main) [build-verified: /Users/glenn/rowan-working/serialize.c]
# serialize.go commit: ecfb3c9 (main) [build-verified: /Users/glenn/rowan-working/serialize.go]
# serialize.rs commit: 6b52aa6 (main) [build-verified: /Users/glenn/rowan-working/serialize.rs]
# serialize.cs commit: f08327e (main) [build-verified: /Users/glenn/rowan-working/serialize.cs]
# serialize.js commit: e391f1e (main) [build-verified: /Users/glenn/rowan-working/serialize.js]
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
c,rigidbody_moving,write,24000000,105,7,590871042,578118225,598563448,59167.35,3.46,e94aaac5e22f569a,gen,hdr,removed,O3,unknown
c,rigidbody_moving,read,24000000,105,7,437047019,415534048,445997175,43764.05,6.97,e94aaac5e22f569a,gen,hdr,removed,O3,unknown
c,rigidbody_at_rest,write,32000000,57,7,797527664,795129830,804525455,43353.15,1.18,e94aaac5e22f569a,gen,hdr,removed,O3,unknown
c,rigidbody_at_rest,read,32000000,57,7,470789013,466363530,471830259,25591.83,1.16,e94aaac5e22f569a,gen,hdr,removed,O3,unknown
c,chat,write,48000000,13,7,121785683,121395441,121922721,1509.87,0.43,e94aaac5e22f569a,gen,hdr,removed,O3,unknown
c,chat,read,48000000,13,7,206336242,205323877,206853754,2558.11,0.74,e94aaac5e22f569a,gen,hdr,removed,O3,unknown
c,test,write,192000000,6,7,720417842,707573245,723441774,4122.26,2.20,e94aaac5e22f569a,gen,hdr,removed,O3,unknown
c,test,read,192000000,6,7,1001241122,993608818,1005883370,5729.15,1.23,e94aaac5e22f569a,gen,hdr,removed,O3,unknown
c,inputpacket,write,16000000,61,7,98497907,98041619,98664332,5730.03,0.63,e94aaac5e22f569a,gen,hdr,removed,O3,unknown
c,inputpacket,read,16000000,61,7,234209178,227179145,235380655,13624.92,3.50,e94aaac5e22f569a,gen,hdr,removed,O3,unknown
c,shipcreate,write,32000000,28,7,432012096,427481732,435795122,11535.97,1.92,e94aaac5e22f569a,gen,hdr,removed,O3,unknown
c,shipcreate,read,32000000,28,7,238845184,237896991,241389195,6377.85,1.46,e94aaac5e22f569a,gen,hdr,removed,O3,unknown
c,probe_header,write,256000000,10,7,996372581,986128713,1014496200,9502.15,2.85,e94aaac5e22f569a,gen,hdr,removed,O3,unknown
c,probe_header,read,256000000,10,7,1359879311,1331952820,1380254808,12968.82,3.55,e94aaac5e22f569a,gen,hdr,removed,O3,unknown
c,probebits,write,128000000,26,7,563747512,561142627,565528394,13978.42,0.78,e94aaac5e22f569a,gen,hdr,removed,O3,unknown
c,probebits,read,128000000,26,7,723924576,718967832,731524715,17950.10,1.73,e94aaac5e22f569a,gen,hdr,removed,O3,unknown
