# schema bench results
# date: 2026-08-31T07:44:41Z
# host: macbook  arch: arm64  os: Darwin 25.6.0
# cpu: Apple M2
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -DBENCH_OPT="O3" -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -Igenerated/bench/cpp -Itest -I../serialize
# c compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# c flags: -O3 -DNDEBUG -DBENCH_OPT="O3" -std=c99 -Wall -Wextra -Werror -Igenerated/c -Igenerated/bench/c -I../serialize.c (serialize.c compiled in, no LTO)
# go: go version go1.27.0 darwin/arm64 (go run, default optimized build)
# rust: cargo 1.98.0 (797e8a9bc 2026-08-05) (Homebrew); rustc 1.98.0 (88d9e12ae 2026-08-18) (Homebrew) (cargo run --release at opt-level 3, no LTO)
# dotnet: 10.0.400 (dotnet run -c Release, workstation GC)
# node: v26.7.0 (NODE_ENV=production — serialize.js's caller-trust release mode; the runner records the mode that ran in its checks column)
# java: openjdk 21.0.12.1 2026-08-18 LTS (generated codecs, zero runtime dependency; default JVM flags, no -ea)
# dart: Dart SDK version: 3.13.2 (stable) (Tue Aug 25 01:01:12 2026 -0700) on "macos_arm64" (generated codecs, zero runtime dependency; AOT executable)
# elixir: 1.20.4 (generated codecs, zero runtime dependency; pinned BEAM toolchain)
# pinning: none
# noise: unlabelled
# schema commit: 6f1d0e1
# serialize commit: cebaed2 (main) [build-verified: /Users/glenn/rowan-working/serialize]
# serialize.c commit: 37db942 (main) [build-verified: /Users/glenn/rowan-working/serialize.c]
# serialize.go commit: ecfb3c9 (main) [build-verified: /Users/glenn/rowan-working/serialize.go]
# serialize.rs commit: 6b52aa6 (main) [build-verified: /Users/glenn/rowan-working/serialize.rs]
# serialize.cs commit: f08327e (main) [build-verified: /Users/glenn/rowan-working/serialize.cs]
# serialize.js commit: e391f1e (main) [build-verified: /Users/glenn/rowan-working/serialize.js]
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
cpp,rigidbody_moving,write,24000000,105,7,593738537,588156614,596664896,59454.49,1.43,e94aaac5e22f569a,gen,hdr,removed,O3,unknown
cpp,rigidbody_moving,read,24000000,105,7,444635539,440573112,445884967,44523.94,1.19,e94aaac5e22f569a,gen,hdr,removed,O3,unknown
cpp,rigidbody_at_rest,write,32000000,57,7,793504020,779729470,799584376,43134.43,2.50,e94aaac5e22f569a,gen,hdr,removed,O3,unknown
cpp,rigidbody_at_rest,read,32000000,57,7,471090501,469492757,471617297,25608.21,0.45,e94aaac5e22f569a,gen,hdr,removed,O3,unknown
cpp,chat,write,48000000,13,7,119971532,119070654,120245401,1487.38,0.98,e94aaac5e22f569a,gen,hdr,removed,O3,unknown
cpp,chat,read,48000000,13,7,220027339,219846909,220522320,2727.85,0.31,e94aaac5e22f569a,gen,hdr,removed,O3,unknown
cpp,test,write,192000000,6,7,717554262,711735968,720841922,4105.88,1.27,e94aaac5e22f569a,gen,hdr,removed,O3,unknown
cpp,test,read,192000000,6,7,1003009902,996049093,1007309114,5739.27,1.12,e94aaac5e22f569a,gen,hdr,removed,O3,unknown
cpp,inputpacket,write,16000000,61,7,108686268,108270056,108802551,6322.73,0.49,e94aaac5e22f569a,gen,hdr,removed,O3,unknown
cpp,inputpacket,read,16000000,61,7,281144024,279761447,284815337,16355.31,1.80,e94aaac5e22f569a,gen,hdr,removed,O3,unknown
cpp,shipcreate,write,32000000,28,7,446814267,441824438,448332590,11931.23,1.46,e94aaac5e22f569a,gen,hdr,removed,O3,unknown
cpp,shipcreate,read,32000000,28,7,239412989,238111847,239759492,6393.02,0.69,e94aaac5e22f569a,gen,hdr,removed,O3,unknown
cpp,probe_header,write,256000000,10,7,1008982971,987362280,1019394210,9622.41,3.17,e94aaac5e22f569a,gen,hdr,removed,O3,unknown
cpp,probe_header,read,256000000,10,7,1376497343,1372185420,1389795589,13127.30,1.28,e94aaac5e22f569a,gen,hdr,removed,O3,unknown
cpp,probebits,write,128000000,26,7,565196378,562063667,567143765,14014.35,0.90,e94aaac5e22f569a,gen,hdr,removed,O3,unknown
cpp,probebits,read,128000000,26,7,743669011,736405973,746765357,18439.67,1.39,e94aaac5e22f569a,gen,hdr,removed,O3,unknown
cpp,probearray,write,20000000,47,7,76621050,76303684,76765093,3434.36,0.60,e94aaac5e22f569a,gen,hdr,removed,O3,unknown
cpp,probearray,read,20000000,47,7,138402677,138096671,138443434,6203.58,0.25,e94aaac5e22f569a,gen,hdr,removed,O3,unknown
cpp,testdata,write,8000000,92,7,45905109,45699205,45995692,4027.62,0.65,e94aaac5e22f569a,gen,hdr,removed,O3,unknown
cpp,testdata,read,8000000,92,7,70196913,69726320,70390159,6158.94,0.95,e94aaac5e22f569a,gen,hdr,removed,O3,unknown
cpp,real_packet,write,8000000,204,7,19932177,19889238,19974300,3877.80,0.43,e94aaac5e22f569a,gen,hdr,removed,O3,unknown
cpp,real_packet,read,8000000,204,7,25983102,25848497,26046037,5055.00,0.76,e94aaac5e22f569a,gen,hdr,removed,O3,unknown
cpp,bench_packet,write,32000000,49,7,488963618,486560973,494443307,22849.29,1.61,e94aaac5e22f569a,gen,hdr,removed,O3,unknown
cpp,bench_packet,read,32000000,49,7,381267076,374551378,391732606,17816.63,4.51,e94aaac5e22f569a,gen,hdr,removed,O3,unknown
cpp,bench_ints,write,40000000,14,7,442786048,438261308,443247882,5911.83,1.13,e94aaac5e22f569a,gen,hdr,removed,O3,unknown
cpp,bench_ints,read,40000000,14,7,485311001,478429795,487889170,6479.60,1.95,e94aaac5e22f569a,gen,hdr,removed,O3,unknown
cpp,bench_bits,write,48000000,20,7,363414163,361845980,364004044,6931.58,0.59,e94aaac5e22f569a,gen,hdr,removed,O3,unknown
cpp,bench_bits,read,48000000,20,7,604831088,588091759,614279440,11536.24,4.33,e94aaac5e22f569a,gen,hdr,removed,O3,unknown
cpp,bench_mixed,write,4000000,438,7,4869209,4844519,4884103,2033.91,0.81,e94aaac5e22f569a,gen,hdr,removed,O3,unknown
cpp,bench_mixed,read,4000000,438,7,6259107,6224296,6271970,2614.49,0.76,e94aaac5e22f569a,gen,hdr,removed,O3,unknown
cpp,bench_packet,write,32000000,49,7,88663812,87403604,89920592,4143.26,2.84,e94aaac5e22f569a,rt,hdr,removed,O3,unknown
cpp,bench_packet,read,32000000,49,7,128524724,125640267,131020883,6005.97,4.19,e94aaac5e22f569a,rt,hdr,removed,O3,unknown
cpp,bench_ints,write,40000000,14,7,176227757,172199225,180567478,2352.89,4.75,e94aaac5e22f569a,rt,hdr,removed,O3,unknown
cpp,bench_ints,read,40000000,14,7,185667980,182841366,186076840,2478.93,1.74,e94aaac5e22f569a,rt,hdr,removed,O3,unknown
cpp,bench_bits,write,48000000,20,7,175818031,172437071,178427386,3353.46,3.41,e94aaac5e22f569a,rt,hdr,removed,O3,unknown
cpp,bench_bits,read,48000000,20,7,216190734,200653902,225864594,4123.51,11.66,e94aaac5e22f569a,rt,hdr,removed,O3,unknown
cpp,bench_mixed,write,4000000,438,7,2613440,2604765,2616751,1091.66,0.46,e94aaac5e22f569a,rt,hdr,removed,O3,unknown
cpp,bench_mixed,read,4000000,438,7,3378788,3348597,3386822,1411.35,1.13,e94aaac5e22f569a,rt,hdr,removed,O3,unknown
cpp,bitpacker,write,24576,65518,7,58658,58398,58774,3665.10,0.64,e94aaac5e22f569a,bits,hdr,removed,O3,unknown
cpp,bitpacker,read,24576,65518,7,90503,90177,90961,5654.87,0.87,e94aaac5e22f569a,bits,hdr,removed,O3,unknown
