# schema bench results
# date: 2026-08-31T08:17:13Z
# host: macbook  arch: arm64  os: Darwin 25.6.0
# cpu: Apple M2
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -DBENCH_OPT="O3" -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -Igenerated/bench/cpp -Itest -I../serialize
# c compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# c flags: -O3 -DNDEBUG -DBENCH_OPT="O3" -std=c99 -Wall -Wextra -Werror -Igenerated/c -Igenerated/bench/c -I../serialize.c (serialize.c compiled in, no LTO)
# go: go version go1.27.0 darwin/arm64 (go run, default optimized build)
# rust: cargo 1.98.0 (797e8a9bc 2026-08-05) (Homebrew); rustc 1.98.0 (88d9e12ae 2026-08-18) (Homebrew) (cargo run --release at opt-level 3, no LTO)
# dotnet: 10.0.400 (dotnet run -c Release, workstation GC)
# node: v26.7.0 (NODE_ENV=production — serialize.js's caller-trust release mode; the runner records the mode that ran in its checks column)
# java: openjdk 21.0.12.1 2026-08-18 LTS (generated codecs, zero runtime dependency; default JVM flags, no -ea)
# dart: Dart SDK version: 3.13.2 (stable) (Tue Aug 25 01:01:12 2026 -0700) on "macos_arm64" (generated codecs, zero runtime dependency; AOT executable)
# elixir: 1.20.4 (generated codecs, zero runtime dependency; pinned BEAM toolchain)
# pinning: none
# noise: unlabelled
# schema commit: 84bac7a
# serialize commit: cebaed2 (main) [build-verified: /Users/glenn/rowan-working/serialize]
# serialize.c commit: 37db942 (main) [build-verified: /Users/glenn/rowan-working/serialize.c]
# serialize.go commit: ecfb3c9 (main) [build-verified: /Users/glenn/rowan-working/serialize.go]
# serialize.rs commit: 6b52aa6 (main) [build-verified: /Users/glenn/rowan-working/serialize.rs]
# serialize.cs commit: f08327e (main) [build-verified: /Users/glenn/rowan-working/serialize.cs]
# serialize.js commit: e391f1e (main) [build-verified: /Users/glenn/rowan-working/serialize.js]
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
cpp,bench_mixed,write,4000000,438,3,3323443,3313339,3343303,1388.23,0.90,409f416533f1a995,gen,hdr,removed,O3,unknown
cpp,bench_mixed,read,4000000,438,3,4199098,4180366,4207862,1754.00,0.65,409f416533f1a995,gen,hdr,removed,O3,unknown
cpp,bench_mixed,write,4000000,438,3,1820832,1788089,1826054,760.58,2.09,409f416533f1a995,rt,hdr,removed,O3,unknown
cpp,bench_mixed,read,4000000,438,3,2383337,2381829,2384411,995.54,0.11,409f416533f1a995,rt,hdr,removed,O3,unknown
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
c,bench_mixed,write,4000000,438,3,3575748,3568723,3639060,1493.62,1.97,409f416533f1a995,gen,hdr,removed,O3,unknown
c,bench_mixed,read,4000000,438,3,4543823,4454368,4598309,1898.00,3.17,409f416533f1a995,gen,hdr,removed,O3,unknown
c,bench_mixed,write,4000000,438,3,3685838,3507849,3692077,1539.61,5.00,409f416533f1a995,rt,hdr,removed,O3,unknown
c,bench_mixed,read,4000000,438,3,3537838,3489403,3568784,1477.79,2.24,409f416533f1a995,rt,hdr,removed,O3,unknown
go,bench_mixed,write,4000000,438,3,837034,830231,843655,349.64,1.60,409f416533f1a995,gen,pkg,always,default,unknown
go,bench_mixed,read,4000000,438,3,755710,753246,791521,315.67,5.06,409f416533f1a995,gen,pkg,always,default,unknown
go,bench_mixed,write,4000000,438,3,1135783,1135585,1136254,474.43,0.06,409f416533f1a995,rt,pkg,always,default,unknown
go,bench_mixed,read,4000000,438,3,1217460,1217006,1217722,508.54,0.06,409f416533f1a995,rt,pkg,always,default,unknown
rust,bench_mixed,write,4000000,438,3,4989183,4983554,4997506,2084.03,0.28,409f416533f1a995,gen,crate,always,O3,unknown
rust,bench_mixed,read,4000000,438,3,3659736,3656674,3662404,1528.71,0.16,409f416533f1a995,gen,crate,always,O3,unknown
rust,bench_mixed,write,4000000,438,3,4162765,4159161,4163585,1738.83,0.11,409f416533f1a995,rt,crate,always,O3,unknown
rust,bench_mixed,read,4000000,438,3,2150598,2148280,2151612,898.32,0.15,409f416533f1a995,rt,crate,always,O3,unknown
cs,bench_mixed,write,4000000,438,3,1816482,1805936,1816566,758.76,0.59,409f416533f1a995,gen,asm,always,default,unknown
cs,bench_mixed,read,4000000,438,3,1815441,1788904,1817168,758.33,1.56,409f416533f1a995,gen,asm,always,default,unknown
cs,bench_mixed,write,4000000,438,3,1135116,1120493,1137133,474.15,1.47,409f416533f1a995,rt,asm,always,default,unknown
cs,bench_mixed,read,4000000,438,3,1082681,1073350,1085859,452.25,1.16,409f416533f1a995,rt,asm,always,default,unknown
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
js,bench_mixed,write,4000000,438,3,829739,778293,841807,346.59,7.65,409f416533f1a995,gen,esm,contract,default,unknown,flat
js,bench_mixed,read,4000000,438,3,1209136,1111739,1241673,505.07,10.75,409f416533f1a995,gen,esm,contract,default,unknown,flat
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
java,bench_mixed,write,4000000,438,3,3720272,3711873,3784489,1553.99,1.95,409f416533f1a995,gen,class,contract,default,unknown
java,bench_mixed,read,4000000,438,3,2753405,2737160,2777739,1150.12,1.47,409f416533f1a995,gen,class,contract,default,unknown
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
dart,bench_mixed,write,4000000,438,3,1151622,1138857,1164965,481.04,2.27,409f416533f1a995,gen,aot,contract,default,unknown
dart,bench_mixed,read,4000000,438,3,1214058,1213027,1221801,507.12,0.72,409f416533f1a995,gen,aot,contract,default,unknown
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
elixir,bench_mixed,write,400000,438,3,54482,53028,55048,22.76,3.71,409f416533f1a995,gen,beam,contract,default,unknown
elixir,bench_mixed,read,400000,438,3,124646,124447,124657,52.07,0.17,409f416533f1a995,gen,beam,contract,default,unknown
