# schema bench results
# date: 2026-08-31T05:10:50Z
# host: macbook  arch: arm64  os: Darwin 25.6.0
# cpu: Apple M2
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -DBENCH_OPT="O3" -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -Igenerated/bench/cpp -Itest -I../serialize
# c compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# c flags: -O3 -DNDEBUG -DBENCH_OPT="O3" -std=c99 -Wall -Wextra -Werror -Igenerated/c -Igenerated/bench/c -I../serialize.c (serialize.c compiled in, no LTO)
# go: go version go1.27.0 darwin/arm64 (go run, default optimized build)
# rust: cargo 1.98.0 (797e8a9bc 2026-08-05) (Homebrew); rustc 1.98.0 (88d9e12ae 2026-08-18) (Homebrew) (cargo run --release at opt-level 3, no LTO)
# dotnet: 10.0.400 (dotnet run -c Release, workstation GC)
# node: v26.7.0 (NODE_ENV=production — serialize.js's caller-trust release mode; the runner records the mode that ran in its checks column)
# java: openjdk 21.0.12.1 2026-08-18 LTS (generated codecs, zero runtime dependency; default JVM flags, no -ea)
# dart: Dart SDK version: 3.13.2 (stable) (Tue Aug 25 01:01:12 2026 -0700) on "macos_arm64" (generated codecs, zero runtime dependency; AOT executable)
# elixir: 1.20.4 (generated codecs, zero runtime dependency; pinned BEAM toolchain)
# pinning: none
# noise: unlabelled
# schema commit: 75cfe97
# serialize commit: cebaed2 (main) [build-verified: /Users/glenn/rowan-working/serialize]
# serialize.c commit: 37db942 (main) [build-verified: /Users/glenn/rowan-working/serialize.c]
# serialize.go commit: ecfb3c9 (main) [build-verified: /Users/glenn/rowan-working/serialize.go]
# serialize.rs commit: 6b52aa6 (main) [build-verified: /Users/glenn/rowan-working/serialize.rs]
# serialize.cs commit: f08327e (main) [build-verified: /Users/glenn/rowan-working/serialize.cs]
# serialize.js commit: e391f1e (main) [build-verified: /Users/glenn/rowan-working/serialize.js]
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
cpp,bench_mixed,write,40000000,21,3,618336774,604567508,627434987,12383.53,3.70,457b96dfc5a0ffcd,gen,hdr,removed,O3,unknown
cpp,bench_mixed,read,40000000,21,3,554142623,541571539,555766863,11097.90,2.56,457b96dfc5a0ffcd,gen,hdr,removed,O3,unknown
cpp,bench_mixed,write,40000000,21,3,150277026,148586363,151047016,3009.62,1.64,457b96dfc5a0ffcd,rt,hdr,removed,O3,unknown
cpp,bench_mixed,read,40000000,21,3,185776344,178364664,189759435,3720.57,6.13,457b96dfc5a0ffcd,rt,hdr,removed,O3,unknown
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
c,bench_mixed,write,40000000,21,3,610379503,598381379,616741446,12224.17,3.01,457b96dfc5a0ffcd,gen,hdr,removed,O3,unknown
c,bench_mixed,read,40000000,21,3,477811623,473238370,477925802,9569.21,0.98,457b96dfc5a0ffcd,gen,hdr,removed,O3,unknown
c,bench_mixed,write,40000000,21,3,158789390,158580388,158890310,3180.10,0.20,457b96dfc5a0ffcd,rt,hdr,removed,O3,unknown
c,bench_mixed,read,40000000,21,3,173858618,173591522,174250180,3481.89,0.38,457b96dfc5a0ffcd,rt,hdr,removed,O3,unknown
go,bench_mixed,write,40000000,21,3,40810229,40603184,40844690,817.31,0.59,457b96dfc5a0ffcd,gen,pkg,always,default,unknown
go,bench_mixed,read,40000000,21,3,34938509,34908244,34940415,699.72,0.09,457b96dfc5a0ffcd,gen,pkg,always,default,unknown
go,bench_mixed,write,40000000,21,3,43735321,43712789,43744450,875.89,0.07,457b96dfc5a0ffcd,rt,pkg,always,default,unknown
go,bench_mixed,read,40000000,21,3,36738144,36729786,36748763,735.76,0.05,457b96dfc5a0ffcd,rt,pkg,always,default,unknown
rust,bench_mixed,write,40000000,21,3,126075963,126023217,126178985,2524.94,0.12,457b96dfc5a0ffcd,gen,crate,always,O3,unknown
rust,bench_mixed,read,40000000,21,3,140006347,140000487,140256532,2803.93,0.18,457b96dfc5a0ffcd,gen,crate,always,O3,unknown
rust,bench_mixed,write,40000000,21,3,102603456,102594168,102616211,2054.86,0.02,457b96dfc5a0ffcd,rt,crate,always,O3,unknown
rust,bench_mixed,read,40000000,21,3,99820334,99765593,99879676,1999.12,0.11,457b96dfc5a0ffcd,rt,crate,always,O3,unknown
cs,bench_mixed,write,40000000,21,3,76467142,76330590,76722639,1531.42,0.51,457b96dfc5a0ffcd,gen,asm,always,default,unknown
cs,bench_mixed,read,40000000,21,3,71292517,71290548,71301159,1427.79,0.01,457b96dfc5a0ffcd,gen,asm,always,default,unknown
cs,bench_mixed,write,40000000,21,3,48130202,47920192,48203492,963.91,0.59,457b96dfc5a0ffcd,rt,asm,always,default,unknown
cs,bench_mixed,read,40000000,21,3,41638218,38543228,41811500,833.90,7.85,457b96dfc5a0ffcd,rt,asm,always,default,unknown
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
js,bench_mixed,write,40000000,21,3,7995172,7836305,8097342,160.12,3.26,457b96dfc5a0ffcd,gen,esm,contract,default,unknown,flat
js,bench_mixed,read,40000000,21,3,38131277,38045732,38635217,763.66,1.55,457b96dfc5a0ffcd,gen,esm,contract,default,unknown,flat
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
java,bench_mixed,write,40000000,21,3,175386512,175330200,175473326,3512.49,0.08,457b96dfc5a0ffcd,gen,class,contract,default,unknown
java,bench_mixed,read,40000000,21,3,136780058,136519296,136861782,2739.32,0.25,457b96dfc5a0ffcd,gen,class,contract,default,unknown
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
dart,bench_mixed,write,40000000,21,3,52786605,52738444,52838344,1057.17,0.19,457b96dfc5a0ffcd,gen,aot,contract,default,unknown
dart,bench_mixed,read,40000000,21,3,75332120,75287740,75400423,1508.69,0.15,457b96dfc5a0ffcd,gen,aot,contract,default,unknown
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
elixir,bench_mixed,write,8000000,21,3,2359955,2356839,2366423,47.26,0.41,457b96dfc5a0ffcd,gen,beam,contract,default,unknown
elixir,bench_mixed,read,8000000,21,3,6457263,6346965,6595646,129.32,3.85,457b96dfc5a0ffcd,gen,beam,contract,default,unknown
