# schema bench results
# date: 2026-09-07T13:53:09Z
# host: studio  arch: arm64  os: Darwin 25.6.0
# cpu: Apple M3 Ultra
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -DBENCH_OPT="O3" -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/bench/cpp -I/private/tmp/claude-501/-Users-glenn-rowan-new/568d2972-6e92-425c-aaef-4d7db11753c2/scratchpad/bench/old/serialize
# c compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# c flags: -O3 -DNDEBUG -DBENCH_OPT="O3" -std=c99 -Wall -Wextra -Werror -Igenerated/bench/c -I/private/tmp/claude-501/-Users-glenn-rowan-new/568d2972-6e92-425c-aaef-4d7db11753c2/scratchpad/bench/old/serialize.c (serialize.c compiled in, no LTO)
# go: go version go1.27.1 darwin/arm64 (go run, default optimized build)
# rust: cargo 1.98.0 (797e8a9bc 2026-08-05) (Homebrew); rustc 1.98.0 (88d9e12ae 2026-08-18) (Homebrew) (cargo run --release at opt-level 3, no LTO)
# dotnet: not present (dotnet run -c Release, workstation GC)
# node: not present (NODE_ENV=production — serialize.js's caller-trust release mode; the runner records the mode that ran in its checks column)
# java: not present (generated codecs, zero runtime dependency; default JVM flags, no -ea)
# dart: not present (generated codecs, zero runtime dependency; AOT executable)
# elixir: not present (generated codecs, zero runtime dependency; pinned BEAM toolchain)
# pinning: none
# noise: NOISY: desktop session with agents running; a Codex session live on this account; the keeper's estate under user rowan; A/B leg: schema at today's main, runtimes at the README sitting's commits (cebaed2, 37db942, 287e2fe, 6b52aa6)
# schema commit: a7b80a42 (bench-tools-aggregate-walks-the-column-list)
# serialize commit: cebaed2 (HEAD) [build-verified: /private/tmp/claude-501/-Users-glenn-rowan-new/568d2972-6e92-425c-aaef-4d7db11753c2/scratchpad/bench/old/serialize]
# serialize.c commit: 37db942 (HEAD) [build-verified: /private/tmp/claude-501/-Users-glenn-rowan-new/568d2972-6e92-425c-aaef-4d7db11753c2/scratchpad/bench/old/serialize.c]
# serialize.go commit: 287e2fe (HEAD) [build-verified: /private/tmp/claude-501/-Users-glenn-rowan-new/568d2972-6e92-425c-aaef-4d7db11753c2/scratchpad/bench/old/serialize.go]
# serialize.rs commit: 6b52aa6 (HEAD) [build-verified: /private/tmp/claude-501/-Users-glenn-rowan-new/568d2972-6e92-425c-aaef-4d7db11753c2/scratchpad/bench/old/serialize.rs]
# serialize.cs commit: 1bf2b19 (HEAD) [UNVERIFIED — leg not run this invocation; path recorded from the environment, not proven against a build]
# serialize.js commit: de0591c (HEAD) [UNVERIFIED — leg not run this invocation; path recorded from the environment, not proven against a build]
# rounds: 7   interleaved: yes
# langs: cpp c go rust
# load_start: 4.53 7.70 6.99
# load_end: 5.52 5.83 6.24
# load_max: 5.98
# core_busy_pct: n/a
# foreign_procs: 13
# control_start_median: 6675256   control_end_median: 6631368
# control_delta_pct: 0.7   window: OK
# twin_gate: OK (§2.6.1 A/A twin legs, alternating positions, same inode)
# corpus_id: 6b213fbfa1a03a99
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
c,bench_mixed,write,4000000,438,14,8696428,7834212,8810903,3632.58,11.23,6b213fbfa1a03a99,gen,hdr,removed,O3,unknown
c,bench_mixed,round_trip,4000000,438,14,4244224,3774721,4359488,1772.85,13.78,6b213fbfa1a03a99,gen,hdr,removed,O3,unknown
c,bitpacker,write,24576,65518,14,91742,88605,93601,5732.33,5.45,6b213fbfa1a03a99,bits,hdr,removed,O3,unknown
c,bitpacker,read,24576,65518,14,75818,71506,77793,4737.35,8.29,6b213fbfa1a03a99,bits,hdr,removed,O3,unknown
cpp,bench_mixed,write,4000000,438,14,8772360,7955560,8937536,3664.30,11.19,6b213fbfa1a03a99,gen,hdr,removed,O3,unknown
cpp,bench_mixed,round_trip,4000000,438,14,4418354,3911269,4504872,1845.59,13.43,6b213fbfa1a03a99,gen,hdr,removed,O3,unknown
cpp,bitpacker,write,24576,65518,14,92038,87948,93305,5750.83,5.82,6b213fbfa1a03a99,bits,hdr,removed,O3,unknown
cpp,bitpacker,read,24576,65518,14,123218,120870,124981,7698.98,3.34,6b213fbfa1a03a99,bits,hdr,removed,O3,unknown
rust,bench_mixed,write,4000000,438,14,7462460,7330681,7523765,3117.14,2.59,6b213fbfa1a03a99,gen,crate,always,O3,unknown
rust,bench_mixed,round_trip,4000000,438,14,2638709,2603708,2671639,1102.21,2.57,6b213fbfa1a03a99,gen,crate,always,O3,unknown
rust,bitpacker,write,24576,65518,14,36427,31550,37421,2276.06,16.12,6b213fbfa1a03a99,bits,crate,always,O3,unknown
rust,bitpacker,read,24576,65518,14,44744,43784,45233,2795.73,3.24,6b213fbfa1a03a99,bits,crate,always,O3,unknown
go,bench_mixed,write,4000000,438,14,3984716,3821090,4065040,1664.45,6.12,6b213fbfa1a03a99,gen,pkg,always,default,unknown
go,bench_mixed,round_trip,4000000,438,14,1999790,1823882,2017175,835.33,9.67,6b213fbfa1a03a99,gen,pkg,always,default,unknown
go,bitpacker,write,24576,65518,14,12160,11877,12356,759.79,3.94,6b213fbfa1a03a99,bits,pkg,always,default,unknown
go,bitpacker,read,24576,65518,14,13908,13064,14165,869.04,7.92,6b213fbfa1a03a99,bits,pkg,always,default,unknown
