# schema bench results
# date: 2026-09-07T13:38:14Z
# host: studio  arch: arm64  os: Darwin 25.6.0
# cpu: Apple M3 Ultra
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -DBENCH_OPT="O3" -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/bench/cpp -I../serialize
# c compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# c flags: -O3 -DNDEBUG -DBENCH_OPT="O3" -std=c99 -Wall -Wextra -Werror -Igenerated/bench/c -I../serialize.c (serialize.c compiled in, no LTO)
# go: go version go1.27.1 darwin/arm64 (go run, default optimized build)
# rust: cargo 1.98.0 (797e8a9bc 2026-08-05) (Homebrew); rustc 1.98.0 (88d9e12ae 2026-08-18) (Homebrew) (cargo run --release at opt-level 3, no LTO)
# dotnet: not present (dotnet run -c Release, workstation GC)
# node: not present (NODE_ENV=production — serialize.js's caller-trust release mode; the runner records the mode that ran in its checks column)
# java: not present (generated codecs, zero runtime dependency; default JVM flags, no -ea)
# dart: not present (generated codecs, zero runtime dependency; AOT executable)
# elixir: not present (generated codecs, zero runtime dependency; pinned BEAM toolchain)
# pinning: none
# noise: NOISY: desktop session with agents running; a Codex session live on this account; the keeper's estate under user rowan
# schema commit: b414f078-dirty (bench-tools-aggregate-walks-the-column-list)
# serialize commit: 93b8ea2 (HEAD) [build-verified: /private/tmp/claude-501/-Users-glenn-rowan-new/568d2972-6e92-425c-aaef-4d7db11753c2/scratchpad/bench/serialize]
# serialize.c commit: ddea231 (HEAD) [build-verified: /private/tmp/claude-501/-Users-glenn-rowan-new/568d2972-6e92-425c-aaef-4d7db11753c2/scratchpad/bench/serialize.c]
# serialize.go commit: 963f6df (HEAD) [build-verified: /private/tmp/claude-501/-Users-glenn-rowan-new/568d2972-6e92-425c-aaef-4d7db11753c2/scratchpad/bench/serialize.go]
# serialize.rs commit: 5e26a78 (HEAD) [build-verified: /private/tmp/claude-501/-Users-glenn-rowan-new/568d2972-6e92-425c-aaef-4d7db11753c2/scratchpad/bench/serialize.rs]
# serialize.cs commit: 1bf2b19 (HEAD) [UNVERIFIED — leg not run this invocation; path recorded from the environment, not proven against a build]
# serialize.js commit: de0591c (HEAD) [UNVERIFIED — leg not run this invocation; path recorded from the environment, not proven against a build]
# rounds: 7   interleaved: yes
# langs: cpp c go rust
# load_start: 3.45 4.06 5.00
# load_end: 7.07 6.18 5.59
# load_max: 10.51
# core_busy_pct: n/a
# foreign_procs: 18
# control_start_median: 6886362   control_end_median: 6935947
# control_delta_pct: 0.7   window: OK
# twin_gate: OK (§2.6.1 A/A twin legs, alternating positions, same inode)
# corpus_id: 6b213fbfa1a03a99
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
c,bench_mixed,write,4000000,438,14,8911126,8381685,9019084,3722.26,7.15,6b213fbfa1a03a99,gen,hdr,removed,O3,unknown
c,bench_mixed,round_trip,4000000,438,14,4343136,4258042,4434673,1814.17,4.07,6b213fbfa1a03a99,gen,hdr,removed,O3,unknown
c,bitpacker,write,24576,65518,14,93193,90124,97211,5822.96,7.60,6b213fbfa1a03a99,bits,hdr,removed,O3,unknown
c,bitpacker,read,24576,65518,14,77058,75443,80053,4814.77,5.98,6b213fbfa1a03a99,bits,hdr,removed,O3,unknown
cpp,bench_mixed,write,4000000,438,14,9029799,8701782,9184407,3771.83,5.34,6b213fbfa1a03a99,gen,hdr,removed,O3,unknown
cpp,bench_mixed,round_trip,4000000,438,14,4611742,4420236,4733118,1926.37,6.78,6b213fbfa1a03a99,gen,hdr,removed,O3,unknown
cpp,bitpacker,write,24576,65518,14,93956,91386,97261,5870.67,6.25,6b213fbfa1a03a99,bits,hdr,removed,O3,unknown
cpp,bitpacker,read,24576,65518,14,124153,122634,127681,7757.43,4.07,6b213fbfa1a03a99,bits,hdr,removed,O3,unknown
rust,bench_mixed,write,4000000,438,14,7490488,7407478,7602581,3128.85,2.60,6b213fbfa1a03a99,gen,crate,always,O3,unknown
rust,bench_mixed,round_trip,4000000,438,14,2686471,2628755,2727040,1122.16,3.66,6b213fbfa1a03a99,gen,crate,always,O3,unknown
rust,bitpacker,write,24576,65518,14,35702,33836,36949,2230.79,8.72,6b213fbfa1a03a99,bits,crate,always,O3,unknown
rust,bitpacker,read,24576,65518,14,44992,43554,46248,2811.23,5.99,6b213fbfa1a03a99,bits,crate,always,O3,unknown
go,bench_mixed,write,4000000,438,14,4065728,3993981,4120119,1698.29,3.10,6b213fbfa1a03a99,gen,pkg,always,default,unknown
go,bench_mixed,round_trip,4000000,438,14,2000956,1967944,2033271,835.82,3.26,6b213fbfa1a03a99,gen,pkg,always,default,unknown
go,bitpacker,write,24576,65518,14,12301,12134,12606,768.60,3.84,6b213fbfa1a03a99,bits,pkg,always,default,unknown
go,bitpacker,read,24576,65518,14,14095,13484,14221,880.70,5.23,6b213fbfa1a03a99,bits,pkg,always,default,unknown
