# schema bench results
# date: 2026-09-07T13:45:29Z
# host: studio  arch: arm64  os: Darwin 25.6.0
# cpu: Apple M3 Ultra
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -DBENCH_OPT="O3" -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/bench/cpp -I../serialize
# c compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# c flags: -O3 -DNDEBUG -DBENCH_OPT="O3" -std=c99 -Wall -Wextra -Werror -Igenerated/bench/c -I../serialize.c (serialize.c compiled in, no LTO)
# go: go version go1.27.1 darwin/arm64 (go run, default optimized build)
# rust: cargo 1.98.0 (797e8a9bc 2026-08-05) (Homebrew); rustc 1.98.0 (88d9e12ae 2026-08-18) (Homebrew) (cargo run --release at opt-level 3, no LTO)
# dotnet: not present (dotnet run -c Release, workstation GC)
# node: not present (NODE_ENV=production — serialize.js's caller-trust release mode; the runner records the mode that ran in its checks column)
# java: not present (generated codecs, zero runtime dependency; default JVM flags, no -ea)
# dart: not present (generated codecs, zero runtime dependency; AOT executable)
# elixir: not present (generated codecs, zero runtime dependency; pinned BEAM toolchain)
# pinning: none
# noise: NOISY: desktop session with agents running; a Codex session live on this account; the keeper's estate under user rowan; A/B leg: schema at 7eba63f (the README sitting's commit), runtimes at today's CI tags
# schema commit: 7eba63fe (HEAD)
# serialize commit: 93b8ea2 (HEAD) [build-verified: /private/tmp/claude-501/-Users-glenn-rowan-new/568d2972-6e92-425c-aaef-4d7db11753c2/scratchpad/bench/serialize]
# serialize.c commit: ddea231 (HEAD) [build-verified: /private/tmp/claude-501/-Users-glenn-rowan-new/568d2972-6e92-425c-aaef-4d7db11753c2/scratchpad/bench/serialize.c]
# serialize.go commit: 963f6df (HEAD) [build-verified: /private/tmp/claude-501/-Users-glenn-rowan-new/568d2972-6e92-425c-aaef-4d7db11753c2/scratchpad/bench/serialize.go]
# serialize.rs commit: 5e26a78 (HEAD) [build-verified: /private/tmp/claude-501/-Users-glenn-rowan-new/568d2972-6e92-425c-aaef-4d7db11753c2/scratchpad/bench/serialize.rs]
# serialize.cs commit: 1bf2b19 (HEAD) [UNVERIFIED — leg not run this invocation; path recorded from the environment, not proven against a build]
# serialize.js commit: de0591c (HEAD) [UNVERIFIED — leg not run this invocation; path recorded from the environment, not proven against a build]
# rounds: 7   interleaved: yes
# langs: cpp c go rust
# load_start: 6.74 6.13 5.58
# load_end: 4.53 7.70 6.99
# load_max: 20.48
# core_busy_pct: n/a
# foreign_procs: 15
# control_start_median: 6994002   control_end_median: 6717419
# control_delta_pct: 4.0   window: OK
# twin_gate: OK (§2.6.1 A/A twin legs, alternating positions, same inode)
# corpus_id: 6b213fbfa1a03a99
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
c,bench_mixed,write,4000000,438,14,8666778,8402426,8951490,3620.19,6.34,6b213fbfa1a03a99,gen,hdr,removed,O3,unknown
c,bench_mixed,round_trip,4000000,438,14,4350430,4279645,4454055,1817.22,4.01,6b213fbfa1a03a99,gen,hdr,removed,O3,unknown
c,bitpacker,write,24576,65518,14,92900,90244,94240,5804.62,4.30,6b213fbfa1a03a99,bits,hdr,removed,O3,unknown
c,bitpacker,read,24576,65518,14,76603,75219,78174,4786.37,3.86,6b213fbfa1a03a99,bits,hdr,removed,O3,unknown
cpp,bench_mixed,write,4000000,438,14,8826262,8392794,9293341,3686.81,10.20,6b213fbfa1a03a99,gen,hdr,removed,O3,unknown
cpp,bench_mixed,round_trip,4000000,438,14,4446318,4405345,4538961,1857.27,3.01,6b213fbfa1a03a99,gen,hdr,removed,O3,unknown
cpp,bitpacker,write,24576,65518,14,92086,85683,94578,5753.79,9.66,6b213fbfa1a03a99,bits,hdr,removed,O3,unknown
cpp,bitpacker,read,24576,65518,14,123668,121152,126141,7727.13,4.03,6b213fbfa1a03a99,bits,hdr,removed,O3,unknown
rust,bench_mixed,write,4000000,438,14,7339759,6502403,7518050,3065.89,13.84,6b213fbfa1a03a99,gen,crate,always,O3,unknown
rust,bench_mixed,round_trip,4000000,438,14,2657060,2540033,2714060,1109.88,6.55,6b213fbfa1a03a99,gen,crate,always,O3,unknown
rust,bitpacker,write,24576,65518,14,35276,33288,37396,2204.18,11.65,6b213fbfa1a03a99,bits,crate,always,O3,unknown
rust,bitpacker,read,24576,65518,14,44464,43822,45434,2778.24,3.63,6b213fbfa1a03a99,bits,crate,always,O3,unknown
go,bench_mixed,write,4000000,438,14,4015024,3839308,4086064,1677.11,6.15,6b213fbfa1a03a99,gen,pkg,always,default,unknown
go,bench_mixed,round_trip,4000000,438,14,2008673,1963164,2040720,839.04,3.86,6b213fbfa1a03a99,gen,pkg,always,default,unknown
go,bitpacker,write,24576,65518,14,12125,11902,12361,757.60,3.79,6b213fbfa1a03a99,bits,pkg,always,default,unknown
go,bitpacker,read,24576,65518,14,14022,13635,14163,876.10,3.77,6b213fbfa1a03a99,bits,pkg,always,default,unknown
