# schema bench results
# date: 2026-09-07T19:07:43Z
# host: studio  arch: arm64  os: Darwin 25.6.0
# cpu: Apple M3 Ultra
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -DBENCH_OPT="O3" -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/bench/cpp -I../serialize
# c compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# c flags: -O3 -DNDEBUG -DBENCH_OPT="O3" -std=c99 -Wall -Wextra -Werror -Igenerated/bench/c -I../serialize.c (serialize.c compiled in, no LTO)
# go: go version go1.27.1 darwin/arm64 (go run, default optimized build)
# rust: cargo 1.98.0 (797e8a9bc 2026-08-05) (Homebrew); rustc 1.98.0 (88d9e12ae 2026-08-18) (Homebrew) (cargo run --release at opt-level 3, no LTO)
# dotnet: 10.0.400 (dotnet run -c Release, workstation GC)
# node: v26.7.0 (NODE_ENV=production — serialize.js's caller-trust release mode; the runner records the mode that ran in its checks column)
# java: openjdk 21.0.12.1 2026-08-18 LTS (generated codecs, zero runtime dependency; default JVM flags, no -ea)
# dart: Dart SDK version: 3.13.2 (stable) (Tue Aug 25 01:01:12 2026 -0700) on "macos_arm64" (generated codecs, zero runtime dependency; AOT executable)
# elixir: 1.20.4 (generated codecs, zero runtime dependency; pinned BEAM toolchain)
# pinning: none
# noise: unlabelled
# schema commit: eb3fe549 (studio-final-sitting)
# serialize commit: 93b8ea2 (HEAD) [build-verified: /private/tmp/claude-501/-Users-glenn-rowan-new/568d2972-6e92-425c-aaef-4d7db11753c2/scratchpad/bench/serialize]
# serialize.c commit: a742a3d (HEAD) [build-verified: /private/tmp/claude-501/-Users-glenn-rowan-new/568d2972-6e92-425c-aaef-4d7db11753c2/scratchpad/bench/serialize.c]
# serialize.go commit: 963f6df (HEAD) [build-verified: /private/tmp/claude-501/-Users-glenn-rowan-new/568d2972-6e92-425c-aaef-4d7db11753c2/scratchpad/bench/serialize.go]
# serialize.rs commit: 5e26a78 (HEAD) [build-verified: /private/tmp/claude-501/-Users-glenn-rowan-new/568d2972-6e92-425c-aaef-4d7db11753c2/scratchpad/bench/serialize.rs]
# serialize.cs commit: 1bf2b19 (HEAD) [build-verified: /private/tmp/claude-501/-Users-glenn-rowan-new/568d2972-6e92-425c-aaef-4d7db11753c2/scratchpad/bench/serialize.cs]
# serialize.js commit: de0591c (HEAD) [build-verified: /private/tmp/claude-501/-Users-glenn-rowan-new/568d2972-6e92-425c-aaef-4d7db11753c2/scratchpad/bench/serialize.js]
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
cpp,bench_mixed,write,4000000,438,7,8870572,8791528,9039191,3705.32,2.79,6b213fbfa1a03a99,gen,hdr,removed,O3,unknown
cpp,bench_mixed,round_trip,4000000,438,7,4562910,4480206,4602160,1905.97,2.67,6b213fbfa1a03a99,gen,hdr,removed,O3,unknown
cpp,bitpacker,write,24576,65518,7,91173,90148,91815,5696.76,1.83,6b213fbfa1a03a99,bits,hdr,removed,O3,unknown
cpp,bitpacker,read,24576,65518,7,119895,119612,124780,7491.37,4.31,6b213fbfa1a03a99,bits,hdr,removed,O3,unknown
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
c,bench_mixed,write,4000000,438,7,8815641,8301494,9072866,3682.38,8.75,6b213fbfa1a03a99,gen,hdr,removed,O3,unknown
c,bench_mixed,round_trip,4000000,438,7,4602044,4548235,4630594,1922.32,1.79,6b213fbfa1a03a99,gen,hdr,removed,O3,unknown
c,bitpacker,write,24576,65518,7,91780,90942,92795,5734.65,2.02,6b213fbfa1a03a99,bits,hdr,removed,O3,unknown
c,bitpacker,read,24576,65518,7,121849,120821,122501,7613.44,1.38,6b213fbfa1a03a99,bits,hdr,removed,O3,unknown
go,bench_mixed,write,4000000,438,7,4033981,3936207,4046120,1685.03,2.72,6b213fbfa1a03a99,gen,pkg,always,default,unknown
go,bench_mixed,round_trip,4000000,438,7,2012640,2000983,2016309,840.70,0.76,6b213fbfa1a03a99,gen,pkg,always,default,unknown
go,bitpacker,write,24576,65518,7,12183,12117,12264,761.22,1.21,6b213fbfa1a03a99,bits,pkg,always,default,unknown
go,bitpacker,read,24576,65518,7,14103,13972,14164,881.17,1.36,6b213fbfa1a03a99,bits,pkg,always,default,unknown
rust,bench_mixed,write,4000000,438,7,8330767,8300637,8430347,3479.84,1.56,6b213fbfa1a03a99,gen,crate,removed,O3,unknown
rust,bench_mixed,round_trip,4000000,438,7,2749713,2729240,2779604,1148.58,1.83,6b213fbfa1a03a99,gen,crate,removed,O3,unknown
rust,bitpacker,write,24576,65518,7,35788,35608,36309,2236.16,1.96,6b213fbfa1a03a99,bits,crate,removed,O3,unknown
rust,bitpacker,read,24576,65518,7,45726,45347,45882,2857.12,1.17,6b213fbfa1a03a99,bits,crate,removed,O3,unknown
cs,bench_mixed,write,4000000,438,7,4088214,4073332,4114886,1707.69,1.02,6b213fbfa1a03a99,gen,asm,removed,default,unknown
cs,bench_mixed,round_trip,4000000,438,7,1930028,1912274,1936083,806.19,1.23,6b213fbfa1a03a99,gen,asm,removed,default,unknown
cs,bitpacker,write,24576,65518,7,21726,21477,21975,1357.52,2.29,6b213fbfa1a03a99,bits,asm,removed,default,unknown
cs,bitpacker,read,24576,65518,7,23091,22763,23188,1442.79,1.84,6b213fbfa1a03a99,bits,asm,removed,default,unknown
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
js,bench_mixed,write,4000000,438,7,2939070,2917958,2977833,1227.68,2.04,6b213fbfa1a03a99,gen,esm,contract,default,unknown,flat
js,bench_mixed,round_trip,4000000,438,7,1584723,1580576,1599166,661.95,1.17,6b213fbfa1a03a99,gen,esm,contract,default,unknown,flat
js,bitpacker,write,24576,65518,7,8265,8106,8301,516.40,2.35,6b213fbfa1a03a99,bits,esm,contract,default,unknown
js,bitpacker,read,24576,65518,7,6036,5947,6068,377.17,2.01,6b213fbfa1a03a99,bits,esm,contract,default,unknown
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
java,bench_mixed,write,4000000,438,7,6644412,6623934,6776821,2775.43,2.30,6b213fbfa1a03a99,gen,class,contract,default,unknown
java,bench_mixed,round_trip,4000000,438,7,2701378,2667923,2709171,1128.39,1.53,6b213fbfa1a03a99,gen,class,contract,default,unknown
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
dart,bench_mixed,write,4000000,438,7,2943313,2936940,2950146,1229.45,0.45,6b213fbfa1a03a99,gen,aot,contract,default,unknown
dart,bench_mixed,round_trip,4000000,438,7,1714885,1675924,1727886,716.32,3.03,6b213fbfa1a03a99,gen,aot,contract,default,unknown
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
elixir,bench_mixed,write,4000000,438,7,467055,442220,473543,195.09,6.71,6b213fbfa1a03a99,gen,beam,contract,default,unknown
elixir,bench_mixed,round_trip,4000000,438,7,308146,304572,311093,128.72,2.12,6b213fbfa1a03a99,gen,beam,contract,default,unknown
