# schema bench results
# date: 2026-08-16T13:20:24Z
# host: macbook  arch: arm64  os: Darwin 25.5.0
# cpu: Apple M2
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -DBENCH_OPT="O3" -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -Itest -I/private/tmp/claude-501/-Users-glenn-rowan-working-rowan-new/2a3ae0b6-7621-44cd-a9b7-ab68b69bf06c/scratchpad/serialize
# c compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# c flags: -O3 -DNDEBUG -DBENCH_OPT="O3" -std=c99 -Wall -Wextra -Werror -Igenerated/c -I/private/tmp/claude-501/-Users-glenn-rowan-working-rowan-new/2a3ae0b6-7621-44cd-a9b7-ab68b69bf06c/scratchpad/serialize.c (serialize.c compiled in, no LTO)
# go: go version go1.26.5 darwin/arm64 (go run, default optimized build)
# rust: cargo 1.97.1 (c980f4866 2026-06-30); rustc 1.97.1 (8bab26f4f 2026-07-14) (cargo run --release: opt-level 3, no LTO)
# dotnet: 10.0.302 (dotnet run -c Release, workstation GC)
# pinning: none
# noise: [leg cpp-off] confirmation pass — the shipping decision; machine quiet except one compile-only attribution worker (low CPU, remark reproductions)
# schema commit: 6b51a2b
# serialize commit: b6f4c2c (main) [build-verified: /private/tmp/claude-501/-Users-glenn-rowan-working-rowan-new/2a3ae0b6-7621-44cd-a9b7-ab68b69bf06c/scratchpad/serialize]
# serialize.c commit: 80e5457 (main) [build-verified: /private/tmp/claude-501/-Users-glenn-rowan-working-rowan-new/2a3ae0b6-7621-44cd-a9b7-ab68b69bf06c/scratchpad/serialize.c]
# serialize.go commit: a094849 (main) [build-verified: /Users/glenn/rowan-working/serialize.go]
# serialize.rs commit: eac4d71 (debug-assert-check-model) [build-verified: /Users/glenn/rowan-working/serialize.rs]
# serialize.cs commit: 2faa767 (main) [build-verified: /Users/glenn/rowan-working/serialize.cs]
# rounds: 7   interleaved: yes (four tournament legs per round)
# load_start: 1.94 1.44 1.51
# load_end: 1.68 1.81 1.70
# load_max: 2.24
# control_start_median: 103852728   control_end_median: 103521556
# control_delta_pct: 0.3   window: OK
# era: CONFIRMATION — the shipping-decision pass: all five switches on mains, winners become defaults and
# era:   the #ifdefs get deleted per the lifecycle ruling. Air-on-external-power hotel window, 2026-08-16,
# era:   machine quiet except one compile-only attribution worker (low CPU, named in noise).
# era: mains: serialize.c 80e5457 (#22 fixed/compressed-float join the demand set; #23 SERIALIZE_WORD_COPY,
# era:   all five bitpacker groups unroll), serialize b6f4c2c, schema 6b51a2b
# era:   (#52 C twins; #53 interior-null; #55 SCHEMA_WRITE_SPINE_DEMAND — the C++ write twin,
# era:   13 generated Write symbols vanish armed).
# era: legs: cpp-off | cpp-armed (SCHEMA_READ_SPINE_DEMAND + SERIALIZE_READ_SPINE_DEMAND + SCHEMA_WRITE_SPINE_DEMAND) |
# era:   c-off | c-armed (SCHEMA_C_READ_SPINE_DEMAND + SCHEMA_C_WRITE_SPINE_DEMAND); same-language legs
# era:   differ ONLY by those defines. NOT comparable to phase4-air, postlaw-air, or any other era/host
# era:   (§5.3 rule 8). checks=removed both languages (post-#20); linkage hdr vs hdr+tu caption applies.
# corpus_id: 6b118770d85af4f6
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
cpp,rigidbody_moving,write,24000000,105,7,59799783,58263953,59960033,5988.10,2.84,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,rigidbody_moving,read,24000000,105,7,92254986,91262069,95240426,9238.03,4.31,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,rigidbody_at_rest,write,32000000,57,7,105027207,99160979,107037805,5709.22,7.50,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,rigidbody_at_rest,read,32000000,57,7,140670033,135752725,141860582,7646.74,4.34,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,chat,write,48000000,13,7,95238418,90588621,97588067,1180.74,7.35,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,chat,read,48000000,13,7,226815723,220956115,232951188,2812.01,5.29,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,test,write,192000000,6,7,762874372,723595023,765023675,4365.20,5.43,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,test,read,192000000,6,7,1042391018,981587354,1045282419,5964.61,6.11,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,inputpacket,write,16000000,61,7,65953782,63349569,66038123,3836.80,4.08,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,inputpacket,read,16000000,61,7,47752624,47662969,49064723,2777.97,2.94,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,shipcreate,write,32000000,28,7,99908469,98531863,100040081,2667.84,1.51,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,shipcreate,read,32000000,28,7,115483877,113088791,116174361,3083.75,2.67,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,ship_shallow,write,32000000,28,7,125854248,122419722,125977949,3360.67,2.83,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,ship_shallow,read,32000000,28,7,125321872,124624828,126085704,3346.46,1.17,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probe_header,write,256000000,10,7,1071956661,1048868138,1089250460,10222.98,3.77,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probe_header,read,256000000,10,7,1430404670,1370089987,1431771677,13641.40,4.31,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probebits,write,128000000,26,7,188427300,184378618,190440459,4672.16,3.22,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probebits,read,128000000,26,7,775578371,770355939,777401506,19230.88,0.91,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probearray,write,20000000,47,7,73860267,73704573,73893184,3310.62,0.26,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probearray,read,20000000,47,7,73862756,71907785,77395063,3310.73,7.43,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,testdata,write,8000000,92,7,27795890,27767963,27823031,2438.76,0.20,6b118770d85af4f6,gen,hdr,removed,O3,partial:2
cpp,testdata,read,8000000,92,7,33125660,32558056,33195084,2906.38,1.92,6b118770d85af4f6,gen,hdr,removed,O3,partial:5
cpp,message_batch,write,26214400,25,7,87691078,73289946,91748418,2090.72,21.05,6b118770d85af4f6,gen,hdr,removed,O3,partial:2
cpp,message_batch,read,26214400,25,7,74933451,72923331,76705214,1786.55,5.05,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,bench_packet,write,32000000,49,7,82484936,81730551,82540458,3854.52,0.98,6b118770d85af4f6,rt,hdr,removed,O3,partial:1
cpp,bench_packet,read,32000000,49,7,113181788,109588979,113242368,5288.99,3.23,6b118770d85af4f6,rt,hdr,removed,O3,full
