# schema bench results
# date: 2026-08-16T13:33:14Z
# host: macbook  arch: arm64  os: Darwin 25.5.0
# cpu: Apple M2
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -DSCHEMA_READ_SPINE_DEMAND -DSERIALIZE_READ_SPINE_DEMAND -DSCHEMA_WRITE_SPINE_DEMAND -O3 -DNDEBUG -DSERIALIZE_RELEASE -DBENCH_OPT="O3" -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -Itest -I/private/tmp/claude-501/-Users-glenn-rowan-working-rowan-new/2a3ae0b6-7621-44cd-a9b7-ab68b69bf06c/scratchpad/serialize
# c compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# c flags: -O3 -DNDEBUG -DBENCH_OPT="O3" -std=c99 -Wall -Wextra -Werror -Igenerated/c -I/private/tmp/claude-501/-Users-glenn-rowan-working-rowan-new/2a3ae0b6-7621-44cd-a9b7-ab68b69bf06c/scratchpad/serialize.c (serialize.c compiled in, no LTO)
# go: go version go1.26.5 darwin/arm64 (go run, default optimized build)
# rust: cargo 1.97.1 (c980f4866 2026-06-30); rustc 1.97.1 (8bab26f4f 2026-07-14) (cargo run --release: opt-level 3, no LTO)
# dotnet: 10.0.302 (dotnet run -c Release, workstation GC)
# pinning: none
# noise: [leg cpp-armed] confirmation r2 — re-measure per §2.3 (r1 cpp-armed batch write invalid, layout-noise class); same binaries, fresh window
# schema commit: dfe45af
# serialize commit: b6f4c2c (main) [build-verified: /private/tmp/claude-501/-Users-glenn-rowan-working-rowan-new/2a3ae0b6-7621-44cd-a9b7-ab68b69bf06c/scratchpad/serialize]
# serialize.c commit: 80e5457 (main) [build-verified: /private/tmp/claude-501/-Users-glenn-rowan-working-rowan-new/2a3ae0b6-7621-44cd-a9b7-ab68b69bf06c/scratchpad/serialize.c]
# serialize.go commit: a094849 (main) [build-verified: /Users/glenn/rowan-working/serialize.go]
# serialize.rs commit: eac4d71 (debug-assert-check-model) [build-verified: /Users/glenn/rowan-working/serialize.rs]
# serialize.cs commit: 2faa767 (main) [build-verified: /Users/glenn/rowan-working/serialize.cs]
# rounds: 7   interleaved: yes (four tournament legs per round)
# load_start: 2.07 2.02 1.81
# load_end: 1.65 1.82 1.80
# load_max: 2.09
# control_start_median: 103566900   control_end_median: 103591806
# control_delta_pct: 0.0   window: OK
# era: CONFIRMATION R2 — the §2.3 re-measure (r1 cpp-armed batch write spread 44.6% INVALID, layout-noise
# era:   class; r1 rides in this directory as the failure record). Same binaries, fresh window.
# era: CONFIRMATION — the shipping-decision pass: all five switches on mains, winners become defaults and
# era:   the #ifdefs get deleted per the lifecycle ruling. Air-on-external-power hotel window, 2026-08-16,
# era:   machine quiet except one compile-only attribution worker (low CPU, named in noise).
# era: mains: serialize.c 80e5457 (#22 fixed/compressed-float join the demand set; #23 SERIALIZE_WORD_COPY,
# era:   all five bitpacker groups unroll), serialize b6f4c2c, schema dfe45af
# era:   (#52 C twins; #53 interior-null; #55 SCHEMA_WRITE_SPINE_DEMAND — the C++ write twin,
# era:   13 generated Write symbols vanish armed).
# era: legs: cpp-off | cpp-armed (SCHEMA_READ_SPINE_DEMAND + SERIALIZE_READ_SPINE_DEMAND + SCHEMA_WRITE_SPINE_DEMAND) |
# era:   c-off | c-armed (SCHEMA_C_READ_SPINE_DEMAND + SCHEMA_C_WRITE_SPINE_DEMAND); same-language legs
# era:   differ ONLY by those defines. NOT comparable to phase4-air, postlaw-air, or any other era/host
# era:   (§5.3 rule 8). checks=removed both languages (post-#20); linkage hdr vs hdr+tu caption applies.
# corpus_id: 6b118770d85af4f6
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
cpp,rigidbody_moving,write,24000000,105,7,612972677,584365776,616552508,61380.51,5.25,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,rigidbody_moving,read,24000000,105,7,461970450,459454352,462526515,46259.78,0.67,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,rigidbody_at_rest,write,32000000,57,7,825321037,785962376,827754785,44863.99,5.06,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,rigidbody_at_rest,read,32000000,57,7,483869441,481876909,484734337,26302.87,0.59,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,chat,write,48000000,13,7,107254990,106239133,107677711,1329.72,1.34,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,chat,read,48000000,13,7,213249139,208980691,214218412,2643.81,2.46,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,test,write,192000000,6,7,765995772,728742864,769934846,4383.06,5.38,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,test,read,192000000,6,7,1038175716,982046326,1043477319,5940.49,5.92,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,inputpacket,write,16000000,61,7,111806895,108651180,111960534,6504.27,2.96,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,inputpacket,read,16000000,61,7,291996779,288662988,292520166,16986.66,1.32,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,shipcreate,write,32000000,28,7,462191193,443851613,473337182,12341.84,6.38,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,shipcreate,read,32000000,28,7,250112191,241784139,251013615,6678.72,3.69,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,ship_shallow,write,32000000,28,7,422717779,403612966,424974085,11287.78,5.05,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,ship_shallow,read,32000000,28,7,286533059,280879768,287862330,7651.26,2.44,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probe_header,write,256000000,10,7,1062658085,1003670651,1097704254,10134.30,8.85,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probe_header,read,256000000,10,7,1430361046,1395379889,1431476454,13640.99,2.52,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probebits,write,128000000,26,7,596205593,571188239,600163874,14783.23,4.86,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probebits,read,128000000,26,7,94210917,91336672,94251988,2336.01,3.09,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probearray,write,20000000,47,7,84512473,82052306,85288119,3788.08,3.83,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,probearray,read,20000000,47,7,143962052,143851646,144769828,6452.77,0.64,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,testdata,write,8000000,92,7,36541750,36300468,36910925,3206.10,1.67,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,testdata,read,8000000,92,7,73890716,73838713,73966805,6483.03,0.17,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,message_batch,write,26214400,25,7,137156670,92045348,155500439,3270.07,46.26,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,message_batch,read,26214400,25,7,124003124,117965559,131627771,2956.46,11.02,6b118770d85af4f6,gen,hdr,removed,O3,full
cpp,bench_packet,write,32000000,49,7,83719008,82369929,83902717,3912.19,1.83,6b118770d85af4f6,rt,hdr,removed,O3,partial:1
cpp,bench_packet,read,32000000,49,7,135983621,106723630,136738428,6354.52,22.07,6b118770d85af4f6,rt,hdr,removed,O3,full
cpp,bench_ints,write,40000000,14,7,183374468,183007558,186130956,2448.31,1.70,6b118770d85af4f6,rt,hdr,removed,O3,full
cpp,bench_ints,read,40000000,14,7,191516306,191386568,191887400,2557.02,0.26,6b118770d85af4f6,rt,hdr,removed,O3,full
