# schema bench results
# date: 2026-08-31T13:16:26Z
# host: macbook  arch: arm64  os: Darwin 25.6.0
# cpu: Apple M2
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -DBENCH_OPT="O3" -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -Igenerated/bench/cpp -Itest -I../serialize
# c compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# c flags: -O3 -DNDEBUG -DBENCH_OPT="O3" -std=c99 -Wall -Wextra -Werror -Igenerated/c -Igenerated/bench/c -I../serialize.c (serialize.c compiled in, no LTO)
# go: go version go1.27.0 darwin/arm64 (go run, default optimized build)
# rust: cargo 1.98.0 (797e8a9bc 2026-08-05) (Homebrew); rustc 1.98.0 (88d9e12ae 2026-08-18) (Homebrew) (cargo run --release at opt-level 3, no LTO)
# dotnet: 10.0.400 (dotnet run -c Release, workstation GC)
# node: v26.7.0 (NODE_ENV=production — serialize.js's caller-trust release mode; the runner records the mode that ran in its checks column)
# java: openjdk 21.0.12.1 2026-08-18 LTS (generated codecs, zero runtime dependency; default JVM flags, no -ea)
# dart: Dart SDK version: 3.13.2 (stable) (Tue Aug 25 01:01:12 2026 -0700) on "macos_arm64" (generated codecs, zero runtime dependency; AOT executable)
# elixir: 1.20.4 (generated codecs, zero runtime dependency; pinned BEAM toolchain)
# pinning: none
# noise: unlabelled
# schema commit: ced73c1
# serialize commit: cebaed2 (main) [build-verified: /Users/glenn/rowan-working/serialize]
# serialize.c commit: 37db942 (main) [build-verified: /Users/glenn/rowan-working/serialize.c]
# serialize.go commit: ae730d5 (main) [build-verified: /Users/glenn/rowan-working/serialize.go]
# serialize.rs commit: 6b52aa6 (main) [build-verified: /Users/glenn/rowan-working/serialize.rs]
# serialize.cs commit: f08327e (main) [build-verified: /Users/glenn/rowan-working/serialize.cs]
# serialize.js commit: e391f1e (main) [build-verified: /Users/glenn/rowan-working/serialize.js]
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
cpp,rigidbody_moving,write,24000000,105,7,564872021,556898919,573478977,56563.91,2.94,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
cpp,rigidbody_moving,read,24000000,105,7,388966064,368484826,394054700,38949.43,6.57,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
cpp,rigidbody_at_rest,write,32000000,57,7,760070928,744737377,791396041,41317.03,6.14,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
cpp,rigidbody_at_rest,read,32000000,57,7,412682023,410694305,418286984,22433.16,1.84,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
cpp,chat,write,48000000,13,7,119735273,118451749,121447963,1484.45,2.50,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
cpp,chat,read,48000000,13,7,211957728,209930171,212310234,2627.80,1.12,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
cpp,test,write,192000000,6,7,691046865,679822591,695567642,3954.20,2.28,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
cpp,test,read,192000000,6,7,964786547,960469631,980444934,5520.55,2.07,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
cpp,inputpacket,write,16000000,61,7,105604549,104867490,106493260,6143.45,1.54,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
cpp,inputpacket,read,16000000,61,7,250612827,246874054,256464028,14579.18,3.83,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
cpp,shipcreate,write,32000000,28,7,430752840,428268150,437319274,11502.34,2.10,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
cpp,shipcreate,read,32000000,28,7,232896864,230657713,233938222,6219.02,1.41,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
cpp,probe_header,write,256000000,10,7,959247890,956284686,967568199,9148.10,1.18,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
cpp,probe_header,read,256000000,10,7,1338062429,1101558927,1357360797,12760.76,19.12,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
cpp,probebits,write,128000000,26,7,545227143,542390022,548001408,13519.20,1.03,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
cpp,probebits,read,128000000,26,7,625817159,598936069,629733635,15517.47,4.92,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
