# schema bench results
# date: 2026-08-31T13:19:24Z
# host: macbook  arch: arm64  os: Darwin 25.6.0
# cpu: Apple M2
# build: Release
# cpp compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# cpp flags: -O3 -DNDEBUG -DSERIALIZE_RELEASE -DBENCH_OPT="O3" -std=c++17 -Wall -Wextra -Werror -ffp-contract=off -fno-rtti -Igenerated/cpp -Igenerated/bench/cpp -Itest -I../serialize
# c compiler: Apple clang version 21.0.0 (clang-2100.1.1.101)
# c flags: -O3 -DNDEBUG -DBENCH_OPT="O3" -std=c99 -Wall -Wextra -Werror -Igenerated/c -Igenerated/bench/c -I../serialize.c (serialize.c compiled in, no LTO)
# go: go version go1.27.0 darwin/arm64 (go run, default optimized build)
# rust: cargo 1.98.0 (797e8a9bc 2026-08-05) (Homebrew); rustc 1.98.0 (88d9e12ae 2026-08-18) (Homebrew) (cargo run --release at opt-level 3, no LTO)
# dotnet: 10.0.400 (dotnet run -c Release, workstation GC)
# node: v26.7.0 (NODE_ENV=production — serialize.js's caller-trust release mode; the runner records the mode that ran in its checks column)
# java: openjdk 21.0.12.1 2026-08-18 LTS (generated codecs, zero runtime dependency; default JVM flags, no -ea)
# dart: Dart SDK version: 3.13.2 (stable) (Tue Aug 25 01:01:12 2026 -0700) on "macos_arm64" (generated codecs, zero runtime dependency; AOT executable)
# elixir: 1.20.4 (generated codecs, zero runtime dependency; pinned BEAM toolchain)
# pinning: none
# noise: unlabeled
# schema commit: ced73c1
# serialize commit: cebaed2 (main) [build-verified: /Users/glenn/rowan-working/serialize]
# serialize.c commit: 37db942 (main) [build-verified: /Users/glenn/rowan-working/serialize.c]
# serialize.go commit: ae730d5 (main) [build-verified: /Users/glenn/rowan-working/serialize.go]
# serialize.rs commit: 6b52aa6 (main) [build-verified: /Users/glenn/rowan-working/serialize.rs]
# serialize.cs commit: f08327e (main) [build-verified: /Users/glenn/rowan-working/serialize.cs]
# serialize.js commit: e391f1e (main) [build-verified: /Users/glenn/rowan-working/serialize.js]
lang,bench,path,iters,bytes_per_op,runs,median_msgs_per_sec,min_msgs_per_sec,max_msgs_per_sec,median_mb_per_sec,spread_pct,corpus_id,family,linkage,checks,opt,inline
cpp,rigidbody_moving,write,24000000,105,7,566006592,550637623,586224945,56677.52,6.29,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
cpp,rigidbody_moving,read,24000000,105,7,396827857,391234183,402634457,39736.68,2.87,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
cpp,rigidbody_at_rest,write,32000000,57,7,751451534,634598513,778396254,40848.48,19.14,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
cpp,rigidbody_at_rest,read,32000000,57,7,411802873,401846187,418045864,22385.37,3.93,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
cpp,chat,write,48000000,13,7,120475338,108598483,121287518,1493.63,10.53,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
cpp,chat,read,48000000,13,7,212187091,186368593,213371306,2630.65,12.73,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
cpp,test,write,192000000,6,7,692763568,679596202,698899672,3964.02,2.79,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
cpp,test,read,192000000,6,7,968475170,942471602,977013259,5541.66,3.57,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
cpp,inputpacket,write,16000000,61,7,104262829,100318302,105785765,6065.40,5.24,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
cpp,inputpacket,read,16000000,61,7,248307598,245756854,252836010,14445.08,2.85,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
cpp,shipcreate,write,32000000,28,7,426338625,372526371,438150096,11384.47,15.39,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
cpp,shipcreate,read,32000000,28,7,232526385,230609440,234427870,6209.12,1.64,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
cpp,probe_header,write,256000000,10,7,962598567,907363423,979269264,9180.06,7.47,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
cpp,probe_header,read,256000000,10,7,1330695334,1186906012,1360523430,12690.50,13.05,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
cpp,probebits,write,128000000,26,7,543196019,538766456,544443092,13468.83,1.05,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
cpp,probebits,read,128000000,26,7,624176097,511944368,629830210,15476.78,18.89,a4bc52bae5343e60,gen,hdr,removed,O3,unknown
